device,VD,VG,ID,IG,IS,absIg,absId,r
bot1,0.0,-5,5.034e-12,-1.78e-12,-3.13e-12,1.78e-12,5.034e-12,-40584415584.41559
bot1,0.1,-5,2.57e-12,-2.1570000000000003e-11,-5.44e-12,2.1570000000000003e-11,2.57e-12,-114377216058.56116
bot1,0.2,-5,3.2854e-12,-4.016e-11,-7.29e-12,4.016e-11,3.2854e-12,166750041687.5104
bot1,0.3,-5,3.7694e-12,-5.2540000000000007e-11,-1.074e-11,5.2540000000000007e-11,3.7694e-12,250752256770.31088
bot1,0.4,-5,4.083e-12,-6.024e-11,-1.608e-11,6.024e-11,4.083e-12,369822485207.1004
bot1,0.5,-5,4.3102e-12,-6.123e-11,-2.326e-11,6.123e-11,4.3102e-12,-22242982339.07202
bot1,0.6,-5,-4.9086e-12,1.918e-11,3.6180000000000005e-11,1.918e-11,4.9086e-12,-24081878386.51416
bot1,0.7,-5,-3.9948e-12,5.800000000000003e-13,1.129e-11,5.800000000000003e-13,3.9948e-12,34829856152.69411
bot1,0.8,-5,8.336e-13,-1.9900000000000002e-12,1.32e-12,1.9900000000000002e-12,8.336e-13,59007493951.73186
bot1,0.9,-5,-6.054e-13,1.37e-12,2.6000000000000002e-12,1.37e-12,6.054e-13,-78161638267.93808
bot1,1.0,-5,-1.7252e-12,9.02e-12,3.440000000000001e-12,9.02e-12,1.7252e-12,-102901831652.60344
bot1,1.1,-5,-2.549e-12,2.285e-11,5.29e-12,2.285e-11,2.549e-12,-120612712579.9059
bot1,1.2,-5,-3.3834e-12,4.107e-11,7.2300000000000005e-12,4.107e-11,3.3834e-12,-155520995334.37015
bot1,1.3,-5,-3.835e-12,5.289e-11,1.072e-11,5.289e-11,3.835e-12,-245941957697.98343
bot1,1.4,-5,-4.1966e-12,6.066e-11,1.551e-11,6.066e-11,4.1966e-12,-415973377703.8267
bot1,1.5,-5,-4.3158e-12,6.068e-11,2.223e-11,6.068e-11,4.3158e-12,22251396275.116257
bot1,1.6,-5,4.7916e-12,-2.002e-11,-3.6550000000000006e-11,2.002e-11,4.7916e-12,24166847918.026047
