VG,VD,W,L,ID,abs_ID,log_ID,device
-5,0.0,5,5,4.578e-13,4.578e-13,-12.339324211661475,top1rep
-5,0.1,5,5,4.8138e-12,4.8138e-12,-11.317511957413862,top1rep
-5,0.2,5,5,3.2222e-12,3.2222e-12,-11.491847506685055,top1rep
-5,0.3,5,5,-5.82e-14,5.82e-14,-13.235077015350111,top1rep
-5,0.4,5,5,1.2662e-12,1.2662e-12,-11.897497690814548,top1rep
-5,0.5,5,5,2.4132e-12,2.4132e-12,-11.617406683355632,top1rep
-5,0.6,5,5,3.2584e-12,3.2584e-12,-11.48699560292206,top1rep
-5,0.7,5,5,3.8348e-12,3.8348e-12,-11.416257281300751,top1rep
-5,0.8,5,5,4.0916e-12,4.0916e-12,-11.388106830063474,top1rep
-5,0.9,5,5,4.3176e-12,4.3176e-12,-11.364757594942843,top1rep
-5,1.0,5,5,-4.79e-12,4.79e-12,-11.319664486585436,top1rep
-5,1.1,5,5,-3.4274e-12,3.4274e-12,-11.465035207605334,top1rep
-5,1.2,5,5,1.786e-13,1.786e-13,-12.748118545447472,top1rep
-5,1.3,5,5,-1.0934e-12,1.0934e-12,-11.961220930444462,top1rep
-5,1.4,5,5,-2.3132e-12,2.3132e-12,-11.635786816368443,top1rep
-5,1.5,5,5,-3.2402e-12,3.2402e-12,-11.489428182319418,top1rep
-5,1.6,5,5,-3.755e-12,3.755e-12,-11.425390058659813,top1rep
-5,1.7,5,5,-4.0384e-12,4.0384e-12,-11.393790666771979,top1rep
-5,1.8,5,5,-4.1596e-12,4.1596e-12,-11.380948430465832,top1rep
-5,1.9,5,5,4.7324e-12,4.7324e-12,-11.3249185543123,top1rep
-5,2.0,5,5,3.6802e-12,3.6802e-12,-11.43412857900687,top1rep
-5,2.1,5,5,-4.778e-13,4.778e-13,-12.32075385458614,top1rep
-5,2.2,5,5,9.42e-13,9.42e-13,-12.025949097207123,top1rep
-5,2.3000000000000003,5,5,2.048e-12,2.048e-12,-11.688670047696206,top1rep
-5,2.4,5,5,3.0472e-12,3.0472e-12,-11.51609904034711,top1rep
-5,2.5,5,5,3.5988e-12,3.5988e-12,-11.443842288192847,top1rep
-5,2.6,5,5,3.9478e-12,3.9478e-12,-11.403644857293315,top1rep
-5,2.7,5,5,4.1868e-12,4.1868e-12,-11.378117784504264,top1rep
-5,2.8000000000000003,5,5,-4.7794e-12,4.7794e-12,-11.32062662076125,top1rep
-5,2.9,5,5,-3.7606e-12,3.7606e-12,-11.424742858290248,top1rep
-5,3.0,5,5,3.912e-13,3.912e-13,-12.407601153884436,top1rep
-5,3.1,5,5,-1.0316e-12,1.0316e-12,-11.9864886665341,top1rep
-5,3.2,5,5,-1.995e-12,1.995e-12,-11.700057099977233,top1rep
-5,3.3000000000000003,5,5,-2.9842e-12,2.9842e-12,-11.525172073965559,top1rep
-5,3.4,5,5,-3.59e-12,3.59e-12,-11.44490555142168,top1rep
-5,3.5,5,5,-4.0158e-12,4.0158e-12,-11.396227924612857,top1rep
-5,3.6,5,5,-4.1446e-12,4.1446e-12,-11.382517377339363,top1rep
-5,3.7,5,5,4.8016e-12,4.8016e-12,-11.318614021919222,top1rep
-5,3.8,5,5,4.0048e-12,4.0048e-12,-11.397419167735851,top1rep
-5,3.9,5,5,-1.2302e-12,1.2302e-12,-11.91002427731227,top1rep
-5,4.0,5,5,3.608e-13,3.608e-13,-12.442733471130095,top1rep
-5,4.1,5,5,1.6344e-12,1.6344e-12,-11.786641646375609,top1rep
-5,4.2,5,5,2.6882e-12,2.6882e-12,-11.570538423242771,top1rep
-5,4.3,5,5,3.448e-12,3.448e-12,-11.462432742847325,top1rep
-5,4.4,5,5,3.9792e-12,3.9792e-12,-11.40020423207414,top1rep
-5,4.5,5,5,4.245e-12,4.245e-12,-11.372122305420028,top1rep
-5,4.6000000000000005,5,5,4.4114e-12,4.4114e-12,-11.355423561147763,top1rep
-5,4.7,5,5,-4.6644e-12,4.6644e-12,-11.331204213321108,top1rep
-5,4.8,5,5,-3.209e-12,3.209e-12,-11.493630282904496,top1rep
-5,4.9,5,5,2.226e-13,2.226e-13,-12.652474840001311,top1rep
-5,5.0,5,5,-1.2874e-12,1.2874e-12,-11.89028649520705,top1rep
-4,0.0,5,5,-4.4304e-12,4.4304e-12,-11.3535570615985,top1rep
-4,0.1,5,5,-4.0078e-12,4.0078e-12,-11.397093959062865,top1rep
-4,0.2,5,5,1.377e-12,1.377e-12,-11.861066059743075,top1rep
-4,0.3,5,5,2e-13,2e-13,-12.698970004336019,top1rep
-4,0.4,5,5,-1.2728e-12,1.2728e-12,-11.895239833361474,top1rep
-4,0.5,5,5,-2.3042e-12,2.3042e-12,-11.637479827711203,top1rep
-4,0.6,5,5,-3.1518e-12,3.1518e-12,-11.501441348813248,top1rep
-4,0.7,5,5,-3.6738e-12,3.6738e-12,-11.434884490180623,top1rep
-4,0.8,5,5,-4.0276e-12,4.0276e-12,-11.394953667815253,top1rep
-4,0.9,5,5,-4.1596e-12,4.1596e-12,-11.380948430465832,top1rep
-4,1.0,5,5,4.6628e-12,4.6628e-12,-11.331353212201343,top1rep
-4,1.1,5,5,4.0816e-12,4.0816e-12,-11.389169558734284,top1rep
-4,1.2,5,5,-1.393e-12,1.393e-12,-11.856048883576037,top1rep
-4,1.3,5,5,-1.028e-13,1.028e-13,-12.988006885340743,top1rep
-4,1.4,5,5,1.0318e-12,1.0318e-12,-11.986404476462711,top1rep
-4,1.5,5,5,2.0856e-12,2.0856e-12,-11.680768981839728,top1rep
-4,1.6,5,5,3.0008e-12,3.0008e-12,-11.522762948857334,top1rep
-4,1.7,5,5,3.5836e-12,3.5836e-12,-11.445680472081216,top1rep
-4,1.8,5,5,3.8706e-12,3.8706e-12,-11.412221707722306,top1rep
-4,1.9,5,5,4.1452e-12,4.1452e-12,-11.382454510517583,top1rep
-4,2.0,5,5,-4.742e-12,4.742e-12,-11.32403845035783,top1rep
-4,2.1,5,5,-4.0076e-12,4.0076e-12,-11.397115632066432,top1rep
-4,2.2,5,5,1.1806e-12,1.1806e-12,-11.927897221114824,top1rep
-4,2.3000000000000003,5,5,-2.254e-13,2.254e-13,-12.647046088289912,top1rep
-4,2.4,5,5,-1.48e-12,1.48e-12,-11.829738284605043,top1rep
-4,2.5,5,5,-2.3852e-12,2.3852e-12,-11.6224751993263,top1rep
-4,2.6,5,5,-3.0892e-12,3.0892e-12,-11.510153973833667,top1rep
-4,2.7,5,5,-3.593e-12,3.593e-12,-11.44454278279535,top1rep
-4,2.8000000000000003,5,5,-3.9254e-12,3.9254e-12,-11.40611608186357,top1rep
-4,2.9,5,5,-4.0964e-12,4.0964e-12,-11.38759764253247,top1rep
-4,3.0,5,5,-4.3438e-12,4.3438e-12,-11.36213017902141,top1rep
-4,3.1,5,5,4.8706e-12,4.8706e-12,-11.312417535574173,top1rep
-4,3.2,5,5,3.6148e-12,3.6148e-12,-11.441915726391361,top1rep
-4,3.3000000000000003,5,5,-7.53e-13,7.53e-13,-12.123205023799299,top1rep
-4,3.4,5,5,3.612e-13,3.612e-13,-12.442252258358533,top1rep
-4,3.5,5,5,1.3348e-12,1.3348e-12,-11.874583802017245,top1rep
-4,3.6,5,5,2.1506e-12,2.1506e-12,-11.667440358532597,top1rep
-4,3.7,5,5,2.8368e-12,2.8368e-12,-11.547171281743157,top1rep
-4,3.8,5,5,3.3976e-12,3.3976e-12,-11.468827752017377,top1rep
-4,3.9,5,5,3.8132e-12,3.8132e-12,-11.418710415649882,top1rep
-4,4.0,5,5,4.0242e-12,4.0242e-12,-11.395320443275704,top1rep
-4,4.1,5,5,4.1714e-12,4.1714e-12,-11.379718163195765,top1rep
-4,4.2,5,5,-4.6782e-12,4.6782e-12,-11.32992121539568,top1rep
-4,4.3,5,5,-4.2172e-12,4.2172e-12,-11.374975802154045,top1rep
-4,4.4,5,5,1.8182e-12,1.8182e-12,-11.740358346571139,top1rep
-4,4.5,5,5,7.112e-13,7.112e-13,-12.148008252037842,top1rep
-4,4.6000000000000005,5,5,-4.692e-13,4.692e-13,-12.328641996556508,top1rep
-4,4.7,5,5,-1.49e-12,1.49e-12,-11.826813731587727,top1rep
-4,4.8,5,5,-2.3064e-12,2.3064e-12,-11.63706537061985,top1rep
-4,4.9,5,5,-2.9226e-12,2.9226e-12,-11.534230620044587,top1rep
-4,5.0,5,5,-3.5328e-12,3.5328e-12,-11.451880948286913,top1rep
-3,0.0,5,5,-4.838e-12,4.838e-12,-11.315334135974139,top1rep
-3,0.1,5,5,-2.3414e-12,2.3414e-12,-11.630524385981667,top1rep
-3,0.2,5,5,-1.2798e-12,1.2798e-12,-11.892857894166928,top1rep
-3,0.3,5,5,-2.388e-13,2.388e-13,-12.621965677542669,top1rep
