
SetupTitle, Generic C-f
ApplicationTest, Generic C-f, Public
TestParameter, Name, Port1, Vbias, FreqStart, FreqStop, NoOfSteps, OscLevel, Single_Double, Linear_Log, OnAbnormalStatus, IntegTime, G_Min, G_Max, Cp_Min, Cp_Max, HoldTime, DelayTime, Range
TestParameter, Value, CMU1:MF/SC	MFCMU/SCUU, 5, 1000, 5000000, 76, 0.05, 0, 1, 1, MEDIUM, 0, 0.001, 0, 1E-10, 0, 0, 0
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 06/11/2026 14:25:11
MetaData, TestRecord.TestTarget, 160-20 cg
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 7b3018bd-4296-4c47-bd81-ec6b6d9dab8a
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Freq
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, Hz
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 1000
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 10000000
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Cp, G
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, false, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, F, S
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 0, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-10, 0.001
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Freq, Cp, G, Cs, Rs, Rp, D, X, Z, Theta, DcMon, AcMon
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, Hz, F, S, F, ohm, ohm, , ohm, ohm, rad, V, V
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Direct Control LogSweep
Dimension1, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647, 2147483647
Dimension2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
DataName, DcMon, AcMon, Freq, G, B, PI, Cp, Rp, D, Rs, X, Cs, Z, Theta
DataValue, 5.007376, 0.049610560000000005, 1000, 2.0333500000000003E-10, 3.94154E-08, 3.141592653589, 6.2731557439458755E-12, 4917992475.4715118, 0.0051587704298319955, 130878.61961518369, -25370118.983845923, 6.2733226908898319E-12, 25370456.567976296, -1.5656376021276357
DataValue, 5.007648, 0.049633024000000005, 1120.262, -5.28092E-11, 4.42737E-08, 3.141592653589, 6.2899377145430505E-12, -18936094468.388084, -0.0011927893986723496, -26941.22473698296, -22586740.598944172, 6.2899466635302312E-12, 22586756.666542083, 1.5696035379619029
DataValue, 5.0074, 0.049633152, 1254.987, 2.32122E-10, 4.9385900000000004E-08, 3.141592653589, 6.2630211341185357E-12, 4308079372.0543509, 0.0047001674567032289, 95170.15230864042, -20248247.149771608, 6.2631594941141409E-12, 20248470.806362748, -1.5660961939491005
DataValue, 5.007432, 0.049617024, 1405.914, 8.3261E-11, 5.53866E-08, 3.141592653589, 6.2699789397187861E-12, 12010425048.942482, 0.0015032697439452862, 27141.336475502125, -18054867.787247885, 6.2699931087421106E-12, 18054888.187611327, -1.5692930581833229
DataValue, 5.007504, 0.049626624, 1574.992, 1.1334700000000002E-10, 6.18466E-08, 3.141592653589, 6.24967752434914E-12, 8822465526.2159557, 0.0018327119033220906, 29633.088117530988, -16168983.277631449, 6.2496985159717516E-12, 16169010.432065308, -1.5689636169434948
DataValue, 5.007432, 0.049634816000000005, 1764.404, -5.61968E-13, 6.95464E-08, 3.141592653589, 6.273310043645891E-12, -1779460752213.6492, -8.080475768695432E-06, -116.18826809393191, -14378889.488668084, 6.2733100440555005E-12, 14378889.489137514, 1.5707882463191281
DataValue, 5.0074, 0.04963904, 1976.595, 2.8441900000000003E-10, 7.77989E-08, 3.141592653589, 6.2643482868848614E-12, 3515939511.776639, 0.0036558228972389073, 46990.047901304541, -12853480.38516696, 6.2644320101569052E-12, 12853566.2785265, -1.5671405201842681
DataValue, 5.0077359999999995, 0.049646848, 2214.304, 1.57036E-10, 8.71886E-08, 3.141592653589, 6.2667531970612571E-12, 6367966580.9113836, 0.0018011070254597503, 20657.530717453858, -11469352.140348693, 6.2667735263241352E-12, 11469370.743545458, -1.568995221717022
DataValue, 5.0074559999999995, 0.049651968000000005, 2480.6, 1.6658200000000003E-10, 9.75137E-08, 3.141592653589, 6.2564651189970472E-12, 6003049549.1709776, 0.0017082932962240178, 17518.444187681787, -10254939.375108628, 6.2564833770263966E-12, 10254954.338418094, -1.5690880351604211
DataValue, 5.007512, 0.049658944000000003, 2778.922, 2.4014800000000003E-10, 1.09219E-07, 3.141592653589, 6.2552110960862177E-12, 4164098805.7364621, 0.0021987749384264647, 20131.701519477821, -9155871.830104135, 6.2552413376000277E-12, 9155893.962617768, -1.5685975553998672
DataValue, 5.007592, 0.049668032, 3113.121, 3.01882E-10, 1.22597E-07, 3.141592653589, 6.2676389893749769E-12, 3312552586.772315, 0.0024623930438754621, 20085.141671839287, -8156756.9896266777, 6.2676769924487543E-12, 8156781.7183457622, -1.5683339387278108
DataValue, 5.007616, 0.049647680000000007, 3487.511, 3.5155100000000005E-10, 1.37217E-07, 3.141592653589, 6.2619913818898689E-12, 2844537492.4264183, 0.0025620076229621695, 18671.088905559191, -7287678.9039260736, 6.262032484869024E-12, 7287702.8216228783, -1.5682343247774853
DataValue, 5.0076719999999995, 0.049652032000000006, 3906.926, 3.5572000000000004E-10, 1.53619E-07, 3.141592653589, 6.2579181696402863E-12, 2811199820.0832114, 0.0023155989818967708, 15073.568801546313, -6509576.5369524984, 6.2579517245890324E-12, 6509593.9890993889, -1.5684807319517327
DataValue, 5.00784, 0.049671424000000006, 4376.781, 4.3061700000000003E-10, 1.7223799999999998E-07, 3.141592653589, 6.263171286904414E-12, 2322249237.7216873, 0.0025001277302337467, 14515.45015000385, -5805883.4252627343, 6.263210435725041E-12, 5805901.5704740984, -1.5682962042737749
DataValue, 5.007632, 0.049630592, 4903.1410000000005, 1.7592500000000002E-10, 1.92821E-07, 3.141592653589, 6.2589297925411684E-12, 5684240443.3707542, 0.00091237468947884314, 4731.7145435073253, -5186152.7923468864, 6.2589350026469104E-12, 5186154.95089473, -1.5698839523585797
DataValue, 5.007688, 0.049653248000000004, 5492.803, 3.8942000000000004E-10, 2.15796E-07, 3.141592653589, 6.2527274507145664E-12, 2567921524.3182168, 0.0018045746909117872, 8362.3830578501111, -4633991.1004874492, 6.2527478126578254E-12, 4633998.645753717, -1.5689917540628406
DataValue, 5.007808, 0.049657152, 6153.378, 5.9193500000000009E-10, 2.41903E-07, 3.141592653589, 6.2567354384483578E-12, 1689374677.9629517, 0.0024469932162891742, 10115.536245231113, -4133863.6240974795, 6.2567729023774078E-12, 4133876.0004032385, -1.5683493384626055
DataValue, 5.007752, 0.049666368, 6893.396, 6.10583E-10, 2.71189E-07, 3.141592653589, 6.2612201391243015E-12, 1637778975.1761842, 0.0022515035639351154, 8302.298952086303, -3687446.5068914997, 6.2612518789290619E-12, 3687455.8532074946, -1.5685448270354419
DataValue, 5.007808, 0.049693056000000006, 7722.4090000000006, 7.87367E-10, 3.03514E-07, 3.141592653589, 6.2552700067564042E-12, 1270055768.1487794, 0.0025941702853904598, 8547.0615110659473, -3294718.7619873197, 6.2553121029687548E-12, 3294729.8482351676, -1.5682021623288287
DataValue, 5.0080399999999994, 0.049614912000000004, 8651.121000000001, 9.39555E-10, 3.3987899999999997E-07, 3.141592653589, 6.2527645727234591E-12, 1064333647.3117592, 0.0027643808531859874, 8133.3643105271685, -2942201.0723136622, 6.25281235510916E-12, 2942212.3141504712, -1.5680319529832949
DataValue, 5.0078239999999994, 0.049611648, 9691.522, 1.15946E-09, 3.80987E-07, 3.141592653589, 6.25659873689264E-12, 862470460.38673174, 0.0030433059395727413, 7987.8782048037538, -2624737.1652437923, 6.2566566837022448E-12, 2624749.3199942415, -1.5677530302506784
DataValue, 5.007872, 0.0496112, 10857.04, 9.8182300000000016E-10, 4.26616E-07, 3.141592653589, 6.2538265680249092E-12, 1018513520.2577245, 0.0023014209499878117, 5394.5673872709012, -2344015.9381965613, 6.2538596916574049E-12, 2344022.1457735421, -1.5684949099080841
DataValue, 5.008, 0.049614848, 12162.73, 1.06141E-09, 4.77848E-07, 3.141592653589, 6.2528619188780149E-12, 942142998.464307, 0.0022212293448962851, 4648.37853400282, -2092705.3501626886, 6.2528927696220865E-12, 2092710.5127137238, -1.5685751011030675
DataValue, 5.008024, 0.049618688, 13625.44, 1.3754E-09, 5.35189E-07, 3.141592653589, 6.2513926037199439E-12, 727061218.55460227, 0.0025699332385381614, 4801.8854374437542, -1868486.4514905375, 6.25143389139779E-12, 1868492.6217428462, -1.5682263992140928
DataValue, 5.0079839999999995, 0.049637504000000006, 15264.07, 1.5732E-09, 5.99281E-07, 3.141592653589, 6.2485649928936524E-12, 635647088.73633361, 0.0026251457997166603, 4380.4621019798469, -1668654.7857466214, 6.2486080541948951E-12, 1668660.5354125595, -1.5681711870254567
