VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,-3.022e-12,4.1100000000000005e-11,-4.293e-11,4.1100000000000005e-11,3.022e-12,14570887367.040651
0.1,-5,3.841e-12,-5.800000000000002e-13,-1.3190000000000002e-11,5.800000000000002e-13,3.841e-12,131457867753.38506
0.2,-5,-1.5006e-12,2.1500000000000003e-12,-1.04e-12,2.1500000000000003e-12,1.5006e-12,-41890080428.954414
0.3,-5,-9.334e-13,1.7200000000000001e-12,-1.4700000000000002e-12,1.7200000000000001e-12,9.334e-13,144990575612.5852
0.4,-5,-1.212e-13,-2.300000000000001e-13,-1.9900000000000002e-12,2.300000000000001e-13,1.212e-13,143636885952.31256
0.5,-5,4.59e-13,-6.900000000000001e-13,-2.67e-12,6.900000000000001e-13,4.59e-13,149387511204.06332
0.6,-5,1.2176e-12,-5.39e-12,-3.6200000000000003e-12,5.39e-12,1.2176e-12,147318797878.60938
0.7,-5,1.8166e-12,-1.178e-11,-4.400000000000001e-12,1.178e-11,1.8166e-12,174764068507.51492
0.8,-5,2.362e-12,-1.604e-11,-5.48e-12,1.604e-11,2.362e-12,191460846256.9404
0.9,-5,2.8612e-12,-2.661e-11,-7.53e-12,2.661e-11,2.8612e-12,234796900680.91092
1.0,-5,3.2138e-12,-3.2790000000000004e-11,-8.96e-12,3.2790000000000004e-11,3.2138e-12,300120048019.20776
1.1,-5,3.5276e-12,-3.947e-11,-1.113e-11,3.947e-11,3.5276e-12,312695434646.6542
1.2,-5,3.8534e-12,-4.5290000000000006e-11,-1.455e-11,4.5290000000000006e-11,3.8534e-12,422297297297.2976
1.3,-5,4.0012e-12,-4.8270000000000005e-11,-1.8530000000000003e-11,4.8270000000000005e-11,4.0012e-12,713775874375.4458
1.4,-5,4.1336e-12,-4.952e-11,-2.346e-11,4.952e-11,4.1336e-12,788643533123.0269
1.5,-5,4.2548e-12,-4.92e-11,-2.848e-11,4.92e-11,4.2548e-12,-22730889005.06898
1.6,-5,-4.665e-12,2.074e-11,4.153e-11,2.074e-11,4.665e-12,299850074962.5185
1.7,-5,4.9218e-12,-1.9900000000000002e-12,-3.741e-11,1.9900000000000002e-12,4.9218e-12,27150304083.405727
1.8,-5,2.7014e-12,-1.23e-12,-2.67e-12,1.23e-12,2.7014e-12,-43813529617.94606
1.9,-5,3.57e-13,-2.6e-13,-2.42e-12,2.6e-13,3.57e-13,-118906064209.27467
2.0,-5,1.0194e-12,-3.3200000000000004e-12,-3.2400000000000007e-12,3.3200000000000004e-12,1.0194e-12,176678445229.68195
2.1,-5,1.489e-12,-7.670000000000001e-12,-4.11e-12,7.670000000000001e-12,1.489e-12,160000000000.00015
2.2,-5,2.2694e-12,-1.57e-11,-5.49e-12,1.57e-11,2.2694e-12,161082474226.80426
2.3000000000000003,-5,2.7306e-12,-2.4520000000000003e-11,-7.100000000000001e-12,2.4520000000000003e-11,2.7306e-12,257532835436.5179
2.4,-5,3.046e-12,-3.067e-11,-8.270000000000003e-12,3.067e-11,3.046e-12,330469266358.22833
2.5,-5,3.3358e-12,-3.74e-11,-1.062e-11,3.74e-11,3.3358e-12,327225130890.0524
2.6,-5,3.6572e-12,-4.147e-11,-1.185e-11,4.147e-11,3.6572e-12,379218809252.9393
2.7,-5,3.8632e-12,-4.537e-11,-1.475e-11,4.537e-11,3.8632e-12,555247084952.8044
2.8000000000000003,-5,4.0174e-12,-4.734e-11,-1.6740000000000002e-11,4.734e-11,4.0174e-12,910746812386.1572
2.9,-5,4.0828e-12,-4.956e-11,-2.096e-11,4.956e-11,4.0828e-12,3816793893129.7617
3.0,-5,4.0698e-12,-4.983e-11,-2.425e-11,4.983e-11,4.0698e-12,1259445843828.713
3.1,-5,4.2416e-12,-4.8930000000000006e-11,-2.967e-11,4.8930000000000006e-11,4.2416e-12,-22735023303.398903
3.2,-5,-4.7272e-12,1.983e-11,4.174e-11,1.983e-11,4.7272e-12,-23490169364.12114
3.3000000000000003,-5,-4.2726e-12,1.6200000000000004e-12,2.023e-11,1.6200000000000004e-12,4.2726e-12,28142853122.44952
3.4,-5,2.3794e-12,-1.4200000000000002e-12,-1.88e-12,1.4200000000000002e-12,2.3794e-12,43282548476.45424
3.5,-5,3.482e-13,-8.500000000000002e-13,-2.6100000000000004e-12,8.500000000000002e-13,3.482e-13,-155714730613.51614
3.6,-5,1.095e-12,-4.11e-12,-3.43e-12,4.11e-12,1.095e-12,160179400929.04065
3.7,-5,1.5968e-12,-8.44e-12,-4.26e-12,8.44e-12,1.5968e-12,191717791411.04312
3.8,-5,2.1382e-12,-1.374e-11,-5.560000000000001e-12,1.374e-11,2.1382e-12,201979398101.39343
3.9,-5,2.587e-12,-2.174e-11,-6.7700000000000004e-12,2.174e-11,2.587e-12,184467810367.09067
4.0,-5,3.2224e-12,-3.1480000000000004e-11,-8.43e-12,3.1480000000000004e-11,3.2224e-12,214730513205.9262
4.1,-5,3.5184e-12,-3.7020000000000005e-11,-1.063e-11,3.7020000000000005e-11,3.5184e-12,309214594928.8811
4.2,-5,3.8692e-12,-4.3540000000000006e-11,-1.2570000000000002e-11,4.3540000000000006e-11,3.8692e-12,402252614641.9956
4.3,-5,4.0156e-12,-4.541e-11,-1.582e-11,4.541e-11,4.0156e-12,686341798215.5116
4.4,-5,4.1606e-12,-4.87e-11,-1.988e-11,4.87e-11,4.1606e-12,824402308326.4646
4.5,-5,4.2582e-12,-4.979e-11,-2.365e-11,4.979e-11,4.2582e-12,856898029134.5331
4.6000000000000005,-5,4.394e-12,-4.941000000000001e-11,-2.7940000000000003e-11,4.941000000000001e-11,4.394e-12,-22881724366.7483
4.7,-5,-4.4824e-12,2.225e-11,4.155e-11,2.225e-11,4.4824e-12,-23413720440.17786
4.8,-5,-4.148e-12,3.000000000000001e-13,2.416e-11,3.000000000000001e-13,4.148e-12,26968716289.104664
4.9,-5,2.9336e-12,-2.2700000000000002e-12,-3.02e-12,2.2700000000000002e-12,2.9336e-12,43125754700.707306
5.0,-5,4.896e-13,-3.4e-13,-2.69e-12,3.4e-13,4.896e-13,-40916530278.232254
0.0,-4,4.6498e-12,-1.4390000000000001e-11,-4.265e-11,1.4390000000000001e-11,4.6498e-12,-145645208272.64786
0.1,-4,3.9632e-12,-1.88e-12,-1.4210000000000002e-11,1.88e-12,3.9632e-12,-31706775737.975204
0.2,-4,-1.658e-12,1.69e-12,-7.200000000000002e-13,1.69e-12,1.658e-12,-39747207758.65495
0.3,-4,-1.0686e-12,1.6700000000000004e-12,-1.65e-12,1.6700000000000004e-12,1.0686e-12,155666251556.66254
0.4,-4,-3.732e-13,1.07e-12,-2.03e-12,1.07e-12,3.732e-13,163185378590.07834
0.5,-4,1.57e-13,3.3e-13,-2.49e-12,3.3e-13,1.57e-13,173160173160.17313
0.6,-4,7.818e-13,-3.02e-12,-2.92e-12,3.02e-12,7.818e-13,189035916824.1967
0.7,-4,1.215e-12,-4.52e-12,-3.92e-12,4.52e-12,1.215e-12,186254423542.5592
0.8,-4,1.8556e-12,-1.048e-11,-4.610000000000001e-12,1.048e-11,1.8556e-12,181719062329.63837
0.9,-4,2.3156e-12,-1.777e-11,-5.84e-12,1.777e-11,2.3156e-12,208855472013.36676
1.0,-4,2.8132e-12,-2.5120000000000003e-11,-7.07e-12,2.5120000000000003e-11,2.8132e-12,233590282644.2421
1.1,-4,3.1718e-12,-3.3050000000000005e-11,-8.990000000000003e-12,3.3050000000000005e-11,3.1718e-12,276778300581.2343
1.2,-4,3.5358e-12,-3.9320000000000006e-11,-1.102e-11,3.9320000000000006e-11,3.5358e-12,351000351000.3508
1.3,-4,3.7416e-12,-4.433e-11,-1.391e-11,4.433e-11,3.7416e-12,551571980143.4097
1.4,-4,3.8984e-12,-4.661e-11,-1.7140000000000002e-11,4.661e-11,3.8984e-12,781250000000.0006
1.5,-4,3.9976e-12,-4.854e-11,-2.06e-11,4.854e-11,3.9976e-12,970873786407.7642
1.6,-4,4.1044e-12,-5.008e-11,-2.3940000000000003e-11,5.008e-11,4.1044e-12,844594594594.5946
1.7,-4,4.2344e-12,-4.9730000000000006e-11,-2.7870000000000003e-11,4.9730000000000006e-11,4.2344e-12,-22685510764.274853
1.8,-4,-4.7118e-12,2.3590000000000003e-11,4.174e-11,2.3590000000000003e-11,4.7118e-12,-23157797230.327477
1.9,-4,-4.402e-12,3.900000000000001e-13,2.451e-11,3.900000000000001e-13,4.402e-12,26716537536.73524
2.0,-4,2.7742e-12,-1.51e-12,-3.730000000000001e-12,1.51e-12,2.7742e-12,45616275887.23656
2.1,-4,-1.76e-14,-9e-14,-2.1700000000000002e-12,9e-14,1.76e-14,-88222320247.02258
2.2,-4,5.072e-13,-1.2500000000000001e-12,-2.85e-12,1.2500000000000001e-12,5.072e-13,169491525423.72897
2.3000000000000003,-4,1.1624e-12,-4.98e-12,-4.17e-12,4.98e-12,1.1624e-12,164798945286.74994
2.4,-4,1.7208e-12,-9.39e-12,-4.38e-12,9.39e-12,1.7208e-12,197044334975.3692
2.5,-4,2.1774e-12,-1.395e-11,-5.3500000000000004e-12,1.395e-11,2.1774e-12,245881485124.1704
2.6,-4,2.5342e-12,-2.096e-11,-6.890000000000001e-12,2.096e-11,2.5342e-12,237304224015.18768
2.7,-4,3.0202e-12,-2.947e-11,-8.04e-12,2.947e-11,3.0202e-12,213310580204.77835
2.8000000000000003,-4,3.4718e-12,-3.865e-11,-1.033e-11,3.865e-11,3.4718e-12,316957210776.54486
2.9,-4,3.6512e-12,-4.1970000000000005e-11,-1.273e-11,4.1970000000000005e-11,3.6512e-12,524658971668.4148
