VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,3.8374e-12,-5.931e-11,3.354e-11,5.931e-11,3.8374e-12,-16244314489.928528
0.1,-5,-2.3186e-12,3.05e-12,5.7e-13,3.05e-12,2.3186e-12,-39102213185.26629
0.2,-5,-1.2774e-12,1.85e-12,-1.41e-12,1.85e-12,1.2774e-12,98000784006.27205
0.3,-5,-2.778e-13,1.69e-12,-1.95e-12,1.69e-12,2.778e-13,103755965968.04317
0.4,-5,6.502e-13,-3.0800000000000002e-12,-2.57e-12,3.0800000000000002e-12,6.502e-13,108885017421.6028
0.5,-5,1.559e-12,-7.470000000000003e-12,-3.640000000000001e-12,7.470000000000003e-12,1.559e-12,111557340473.0031
0.6,-5,2.443e-12,-2.01e-11,-5.02e-12,2.01e-11,2.443e-12,135574837310.19524
0.7,-5,3.0342e-12,-3.118e-11,-7.07e-12,3.118e-11,3.0342e-12,193986420950.53357
0.8,-5,3.474e-12,-4.556e-11,-9.01e-12,4.556e-11,3.474e-12,236016049091.33823
0.9,-5,3.8816e-12,-5.463e-11,-1.261e-11,5.463e-11,3.8816e-12,310462589257.9943
1.0,-5,4.1182e-12,-5.959000000000001e-11,-1.582e-11,5.959000000000001e-11,4.1182e-12,555555555555.5557
1.1,-5,4.2416e-12,-6.100000000000001e-11,-2.032e-11,6.100000000000001e-11,4.2416e-12,-22513395470.30483
1.2,-5,-4.7654e-12,2.98e-11,3.5230000000000004e-11,2.98e-11,4.7654e-12,-22786829212.71504
1.3,-5,-4.5354e-12,2.03e-12,1.991e-11,2.03e-12,4.5354e-12,27950918187.662487
1.4,-5,2.39e-12,-1.8700000000000003e-12,-1.8700000000000003e-12,1.8700000000000003e-12,2.39e-12,38719169860.99817
1.5,-5,6.3e-13,-5.7e-13,-2.5000000000000007e-12,5.7e-13,6.3e-13,-259942812581.23203
1.6,-5,1.6206e-12,-8.42e-12,-3.3e-12,8.42e-12,1.6206e-12,105407399599.45186
1.7,-5,2.5274e-12,-2.054e-11,-5.100000000000001e-12,2.054e-11,2.5274e-12,122458976242.95856
1.8,-5,3.2538e-12,-3.9020000000000005e-11,-7.770000000000001e-12,3.9020000000000005e-11,3.2538e-12,158528852251.10983
1.9,-5,3.789e-12,-5.1990000000000006e-11,-1.104e-11,5.1990000000000006e-11,3.789e-12,251889168765.74316
2.0,-5,4.0478e-12,-5.7670000000000006e-11,-1.3990000000000002e-11,5.7670000000000006e-11,4.0478e-12,457875457875.4578
2.1,-5,4.2258e-12,-6.134e-11,-1.887e-11,6.134e-11,4.2258e-12,640614990390.7753
