VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
-5.0,0.1,1.0839e-06,-9.9998e-07,-8.96184e-08,20,10,4.1000000000001115e-08,9.9998e-07,1.0839e-06,1.33e-07,1.541353383458688,0.016396790744766,-5.300000000000112e-07
-4.9,0.1,1.0880000000000002e-06,-9.9998e-07,-9.02676e-08,20,10,-1.1999999999999833e-08,9.9998e-07,1.0880000000000002e-06,1.33e-07,-0.4511278195488658,-0.0048134625628692,2.2999999999998949e-07
-4.8,0.1,1.0815000000000001e-06,-1e-06,-8.182619999999999e-08,20,10,8.699999999999905e-08,1e-06,1.0815000000000001e-06,1.33e-07,3.2706766917292867,0.0344528244179764,5.449999999999998e-07
-4.7,0.1,1.1054e-06,-9.9998e-07,-9.65744e-08,20,10,9.700000000000023e-08,9.9998e-07,1.1054e-06,1.33e-07,3.6466165413533913,0.0386067397407786,-7.699999999999965e-07
-4.6000000000000005,0.1,1.1009e-06,-1e-06,-8.8119e-08,20,10,-6.699999999999969e-08,1e-06,1.1009e-06,1.33e-07,-2.5187969924811906,-0.0264841093851897,-1.370000000000002e-06
-4.5,0.1,1.092e-06,-9.9998e-07,-7.58824e-08,20,10,-1.7700000000000046e-07,9.9998e-07,1.092e-06,1.33e-07,-6.65413533834588,-0.0709720883652264,3.675000000000006e-07
-4.4,0.1,1.0655e-06,-9.9998e-07,-1.0064e-07,20,10,6.500000000000482e-09,9.9998e-07,1.0655e-06,1.33e-07,0.2443609022556571,0.002583548680155,1.0900000000000057e-06
-4.3,0.1,1.0933000000000002e-06,-9.9998e-07,-9.861739999999998e-08,20,10,4.100000000000092e-08,9.9998e-07,1.0933000000000002e-06,1.33e-07,1.5413533834586808,0.0166474952972306,8.249999999999545e-08
-4.2,0.1,1.0737000000000002e-06,-1e-06,-8.541999999999998e-08,20,10,2.2999999999999594e-08,1e-06,1.0737000000000002e-06,1.33e-07,0.8646616541353227,0.0091171848828119,4.299999999999946e-07
-4.1,0.1,1.0979e-06,-9.9998e-07,-6.944e-08,20,10,1.2699999999999993e-07,9.9998e-07,1.0979e-06,1.33e-07,4.774436090225559,0.0507712737868093,4.0000000000003276e-08
-4.0,0.1,1.0991000000000002e-06,-9.9998e-07,-8.597799999999999e-08,20,10,3.100000000000025e-08,9.9998e-07,1.0991000000000002e-06,1.33e-07,1.1654135338345957,0.0122281239931965,-9.350000000000026e-07
-3.9,0.1,1.1041000000000002e-06,-9.9998e-07,-1.1238e-07,20,10,-6.000000000000035e-08,9.9998e-07,1.1041000000000002e-06,1.33e-07,-2.2556390977443734,-0.0238385606210656,-1.042500000000007e-06
-3.8,0.1,1.0871000000000001e-06,-1e-06,-1.0172e-07,20,10,-1.775000000000009e-07,1e-06,1.0871000000000001e-06,1.33e-07,-6.672932330827099,-0.0709662001653211,8.224999999999994e-07
-3.7,0.1,1.0686e-06,-1e-06,-1.059378e-07,20,10,1.0449999999999929e-07,1e-06,1.0686e-06,1.33e-07,3.928571428571401,0.0413513232479756,1.5750000000000063e-06
-3.6,0.1,1.108e-06,-9.9998e-07,-8.18402e-08,20,10,1.375000000000007e-07,9.9998e-07,1.108e-06,1.33e-07,5.16917293233085,0.0551750395138883,-1.3699999999999943e-06
-3.5,0.1,1.0961000000000002e-06,-9.9998e-07,-7.21e-08,20,10,-1.694999999999999e-07,9.9998e-07,1.0961000000000002e-06,1.33e-07,-6.3721804511278135,-0.0674752190435289,-1.0425000000000027e-06
-3.4,0.1,1.0741e-06,-9.9998e-07,-9.20858e-08,20,10,-7.100000000000013e-08,9.9998e-07,1.0741e-06,1.33e-07,-2.6691729323308317,-0.0283152847810575,8.275000000000043e-07
-3.3000000000000003,0.1,1.0819000000000002e-06,-1e-06,-1.2054e-07,20,10,-3.999999999999247e-09,1e-06,1.0819000000000002e-06,1.33e-07,-0.1503759398495957,-0.001617936116216,1.1150000000000003e-06
-3.2,0.1,1.0733000000000002e-06,-9.9998e-07,-9.648e-08,20,10,1.5199999999999964e-07,9.9998e-07,1.0733000000000002e-06,1.33e-07,5.714285714285699,0.0601740821409135,8.974999999999917e-07
-3.1,0.1,1.1123e-06,-9.9998e-07,-8.076e-08,20,10,1.7549999999999926e-07,9.9998e-07,1.1123e-06,1.33e-07,6.597744360902227,0.0698769387486608,-1.7349999999999948e-06
-3.0,0.1,1.1084e-06,-9.9996e-07,-1.0808e-07,20,10,-1.9499999999999967e-07,9.9996e-07,1.1084e-06,1.33e-07,-7.3308270676691585,-0.0775040393058689,-1.532499999999992e-06
-2.9,0.1,1.0733000000000002e-06,-9.9998e-07,-7.103999999999999e-08,20,10,-1.3099999999999944e-07,9.9998e-07,1.0733000000000002e-06,1.33e-07,-4.924812030075166,-0.051944937568158,1.0774999999999969e-06
-2.8000000000000003,0.1,1.0822000000000002e-06,-1e-06,-1.0438e-07,20,10,2.049999999999945e-08,1e-06,1.0822000000000002e-06,1.33e-07,0.7706766917293024,0.0082792092473704,1.5974999999999953e-06
-2.7,0.1,1.0774e-06,-9.9998e-07,-8.196e-08,20,10,1.884999999999992e-07,9.9998e-07,1.0774e-06,1.33e-07,7.0864661654135,0.0743585752470243,6.550000000000056e-07
-2.6,0.1,1.1199e-06,-9.9998e-07,-1.1036e-07,20,10,1.5150000000000066e-07,9.9998e-07,1.1199e-06,1.33e-07,5.695488721804536,0.0602259225095335,-1.1999999999999927e-06
-2.5,0.1,1.1077000000000002e-06,-1e-06,-1.1518e-07,20,10,-5.1499999999999594e-08,1e-06,1.1077000000000002e-06,1.33e-07,-1.9360902255638937,-0.0200639829036974,-9.050000000000033e-07
-2.4,0.1,1.1096e-06,-9.9998e-07,-8.362e-08,20,10,-2.9500000000000135e-08,9.9998e-07,1.1096e-06,1.33e-07,-1.1090225563909824,-0.0115969383727021,-5.000000000000977e-09
-2.3000000000000003,0.1,1.1018000000000002e-06,-1e-06,-1.0503280000000001e-07,20,10,-5.2499999999999775e-08,1e-06,1.1018000000000002e-06,1.33e-07,-1.9736842105263073,-0.0206462009909947,1.3499999999999998e-07
-2.2,0.1,1.0991000000000002e-06,-9.9998e-07,-8.38e-08,20,10,-2.5000000000001853e-09,9.9998e-07,1.0991000000000002e-06,1.33e-07,-0.093984962406022,-0.0009856440682654,5.099999999999958e-07
-2.1,0.1,1.1013000000000002e-06,-9.9998e-07,-8.939999999999998e-08,20,10,4.9499999999999444e-08,9.9998e-07,1.1013000000000002e-06,1.33e-07,1.8609022556390764,0.0194716914106551,3.324999999999983e-07
-2.0,0.1,1.109e-06,-1e-06,-1.129e-07,20,10,6.399999999999953e-08,1e-06,1.109e-06,1.33e-07,2.4060150375939666,0.025092675031928,-9.44999999999997e-07
-1.9,0.1,1.1141e-06,-9.9998e-07,-1.027e-07,20,10,-1.3949999999999992e-07,9.9998e-07,1.1141e-06,1.33e-07,-5.244360902255633,-0.0553283940062998,-8.824999999999972e-07
-1.8,0.1,1.0811e-06,-9.9998e-07,-1.2972e-07,20,10,-1.1249999999999989e-07,9.9998e-07,1.0811e-06,1.33e-07,-4.229323308270671,-0.0443032361608785,1.1149999999999984e-06
-1.7,0.1,1.0916e-06,-9.9998e-07,-1.2376e-07,20,10,8.349999999999993e-08,9.9998e-07,1.0916e-06,1.33e-07,3.139097744360899,0.0332867954884808,1.297500000000002e-06
-1.6,0.1,1.0978e-06,-1e-06,-1.7786e-07,20,10,1.4700000000000048e-07,1e-06,1.0978e-06,1.33e-07,5.526315789473701,0.0577104279855689,6.874999999999992e-07
-1.5,0.1,1.1210000000000002e-06,-1e-06,-1.2434e-07,20,10,2.209999999999997e-07,1e-06,1.1210000000000002e-06,1.33e-07,8.308270676691714,0.0857143873211674,-4.000000000000037e-07
-1.4,0.1,1.142e-06,-1e-06,-1.361e-07,20,10,6.699999999999975e-08,1e-06,1.142e-06,1.33e-07,2.518796992481193,0.0258030262200925,-1.0624999999999955e-06
-1.3,0.1,1.1344e-06,-1e-06,-1.629e-07,20,10,8.50000000000063e-09,1e-06,1.1344e-06,1.33e-07,0.3195488721804747,0.0032300859927847,-5.7e-07
-1.2,0.1,1.1437000000000002e-06,-9.9998e-07,-1.3006e-07,20,10,-4.700000000000037e-08,9.9998e-07,1.1437000000000002e-06,1.33e-07,-1.766917293233096,-0.0180684769580485,-3.1500000000000254e-07
-1.1,0.1,1.125e-06,-9.9998e-07,-1.292e-07,20,10,-5.449999999999987e-08,9.9998e-07,1.125e-06,1.33e-07,-2.0488721804511227,-0.0207944038134622,1.0500000000000275e-07
