VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
-5.0,0.1,4.9714e-12,-3.745e-11,4.233e-11,-6.678800000000022e-11,3.745e-11,4.9714e-12,20,5,1.33e-07,-0.0012554135338345,-4.64143430894202,5.223000000000042e-10
-4.9,0.1,-1.7074e-12,2.0700000000000007e-12,-1.02e-12,-1.4557999999999982e-11,2.0700000000000007e-12,1.7074e-12,20,5,1.33e-07,-0.0002736466165413,-1.9132682708523048,4.746000000000006e-10
-4.8,0.1,2.0598e-12,-1.2370000000000002e-11,-5.18e-12,2.8131999999999973e-11,1.2370000000000002e-11,2.0598e-12,20,5,1.33e-07,0.0005287969924812,1.8041999319622437,-9.900000000000059e-11
-4.7,0.1,3.919e-12,-4.539e-11,-1.6250000000000002e-11,-3.435800000000012e-11,4.539e-11,3.919e-12,20,5,1.33e-07,-0.0006458270676691,1.842412570030356,-1.6643000000000043e-10
-4.6000000000000005,0.1,-4.8118e-12,7.53e-12,4.2270000000000006e-11,-5.153999999999995e-12,7.53e-12,4.8118e-12,20,5,1.33e-07,-9.68796992481202e-05,-0.662739999133572,2.677000000000003e-10
-4.5,0.1,2.8882e-12,-1.98e-12,-4.440000000000001e-12,1.9181999999999983e-11,1.98e-12,2.8882e-12,20,5,1.33e-07,0.0003605639097744,-3.465624082799576,-1.3444999999999975e-10
-4.4,0.1,-9.754e-13,3.02e-12,3.0100000000000007e-12,-3.204399999999997e-11,3.02e-12,9.754e-13,20,5,1.33e-07,-0.0006023308270676,0.4299471049340293,4.437999999999992e-11
-4.3,0.1,-3.5206e-12,4.064e-11,1.17e-11,2.805799999999997e-11,4.064e-11,3.5206e-12,20,5,1.33e-07,0.0005274060150375,3.3848970568656225,1.5348499999999968e-10
-4.2,0.1,4.6362e-12,-2.1590000000000003e-11,-4.22e-11,-1.346999999999999e-12,2.1590000000000003e-11,4.6362e-12,20,5,1.33e-07,-2.5319548872180425e-05,0.1601126266493933,-2.615799999999995e-10
-4.1,0.1,-3.79e-12,1.12e-12,1.2580000000000002e-11,-2.4257999999999975e-11,1.12e-12,3.79e-12,20,5,1.33e-07,-0.000455977443609,-6.664582318333541,1.7426500000000007e-10
-4.0,0.1,-2.154e-13,1.23e-12,-2.1000000000000003e-12,3.3506000000000046e-11,1.23e-12,2.154e-13,20,5,1.33e-07,0.0006298120300751,-0.5728358369494664,2.3205500000000034e-10
-3.9,0.1,2.9112e-12,-2.9000000000000003e-11,-8.13e-12,2.215300000000003e-11,2.9000000000000003e-11,2.9112e-12,20,5,1.33e-07,0.000416409774436,6.457862433013855,-3.6296500000000093e-10
-3.8,0.1,4.2152e-12,-4.993e-11,-2.56e-11,-3.9087000000000056e-11,4.993e-11,4.2152e-12,20,5,1.33e-07,-0.0007347180451127,1.133366027787847,-1.842700000000003e-10
-3.7,0.1,-4.9062e-12,1.37e-12,3.608e-11,-1.4700999999999988e-11,1.37e-12,4.9062e-12,20,5,1.33e-07,-0.0002763345864661,-2.596540003973782,2.5833e-10
-3.6,0.1,1.275e-12,-1.86e-12,1e-12,1.257899999999999e-11,1.86e-12,1.275e-12,20,5,1.33e-07,0.000236447368421,-1.561373340002222,-5.923999999999989e-11
-3.5,0.1,-2.3904e-12,1.677e-11,5.5e-12,-2.6548999999999977e-11,1.677e-11,2.3904e-12,20,5,1.33e-07,-0.0004990413533834,2.50155913693116,1.1813000000000016e-10
-3.4,0.1,-4.0348e-12,4.77e-11,1.929e-11,3.6205000000000045e-11,4.77e-11,4.0348e-12,20,5,1.33e-07,0.0006805451127819,1.5366244114815262,1.7268500000000016e-10
-3.3000000000000003,0.1,4.8506e-12,-2.64e-12,-4.152e-11,7.98800000000001e-12,2.64e-12,4.8506e-12,20,5,1.33e-07,0.0001501503759398,-1.094654213518888,-2.693400000000005e-10
-3.2,0.1,-2.4372e-12,1.9200000000000003e-12,2.34e-12,-1.7662999999999984e-11,1.9200000000000003e-12,2.4372e-12,20,5,1.33e-07,-0.0003320112781954,-2.8294002608680886,1.1020499999999969e-10
-3.1,0.1,1.318e-12,-6.030000000000001e-12,-3.61e-12,3.002899999999997e-11,6.030000000000001e-12,1.318e-12,20,5,1.33e-07,0.000564454887218,0.8280335084753779,-6.168999999999988e-11
-3.0,0.1,3.5686e-12,-4.189e-11,-1.212e-11,-3.000099999999997e-11,4.189e-11,3.5686e-12,20,5,1.33e-07,-0.0005639285714285,2.7526727518578715,-2.885149999999997e-10
-2.9,0.1,-4.6822e-12,1.9750000000000003e-11,4.22e-11,-2.7674000000000034e-11,1.9750000000000003e-11,4.6822e-12,20,5,1.33e-07,-0.0005201879699248,-1.2943508969074298,3.0923000000000044e-10
-2.8000000000000003,0.1,-1.9662e-12,1.98e-12,-1.1000000000000001e-13,3.184500000000004e-11,1.98e-12,1.9662e-12,20,5,1.33e-07,0.0005985902255639,-2.2169318414336945,2.844000000000004e-10
-2.7,0.1,1.6868e-12,-8.93e-12,-4.47e-12,2.920599999999997e-11,8.93e-12,1.6868e-12,20,5,1.33e-07,0.000548984962406,1.473220075381548,-3.2214999999999976e-10
-2.6,0.1,3.875e-12,-4.468e-11,-1.5430000000000002e-11,-3.258499999999998e-11,4.468e-11,3.875e-12,20,5,1.33e-07,-0.0006124999999999,2.2845076062236624,-1.6433499999999964e-10
-2.5,0.1,-4.8302e-12,1.009e-11,4.242e-11,-3.660999999999995e-12,1.009e-11,4.8302e-12,20,5,1.33e-07,-6.88157894736841e-05,-0.4547748118473645,2.645599999999998e-10
-2.4,0.1,3.1428e-12,-2e-12,-6.390000000000001e-12,2.032700000000003e-11,2e-12,3.1428e-12,20,5,1.33e-07,0.0003820864661654,-4.002086171597585,-1.4721500000000048e-10
-2.3000000000000003,0.1,-7.648e-13,1.3800000000000002e-12,2.0500000000000004e-12,-3.310400000000005e-11,1.3800000000000002e-12,7.648e-13,20,5,1.33e-07,-0.0006222556390977,0.2200641659691896,3.3429999999999794e-11
