VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
-5.0,0.1,1.9616e-12,9e-14,8.100000000000001e-13,5,5,-4.8892000000000164e-11,9e-14,1.9616e-12,1.33e-07,-0.0036760902255639,1.739012856478232,6.561200000000038e-10
-4.9,0.1,-2.9276e-12,4.568e-11,7.990000000000001e-12,5,5,1.6719999999999982e-11,4.568e-11,2.9276e-12,1.33e-07,0.0012571428571428,2.160620258479192,3.8433000000000037e-10
-4.8,0.1,5.3056e-12,-2.852e-11,-3.623e-11,5,5,2.797399999999997e-11,2.852e-11,5.3056e-12,1.33e-07,0.0021033082706766,-0.2022807800110724,-2.4825500000000025e-10
-4.7,0.1,2.6672e-12,-2.9100000000000003e-12,-1e-12,5,5,-3.2931000000000115e-11,2.9100000000000003e-12,2.6672e-12,1.33e-07,-0.0024760150375939,-3.086605035230064,-2.915700000000008e-10
-4.6000000000000005,0.1,-1.2806e-12,1.16e-11,3.15e-12,5,5,-3.033999999999997e-11,1.16e-11,1.2806e-12,1.33e-07,-0.0022812030075187,0.5276275473756793,3.3571000000000013e-10
-4.5,0.1,-3.4008e-12,5.797000000000001e-11,1.3600000000000002e-11,5,5,3.421099999999997e-11,5.797000000000001e-11,3.4008e-12,1.33e-07,0.0025722556390977,3.1889312647220143,1.9747999999999959e-10
-4.4,0.1,5.5616e-12,-4.33e-12,-3.587e-11,5,5,9.155999999999989e-12,4.33e-12,5.5616e-12,1.33e-07,0.0006884210526315,-1.678960509615964,-2.4412999999999955e-10
-4.3,0.1,-1.5696e-12,2.3300000000000004e-12,-3.800000000000001e-13,5,5,-1.4614999999999986e-11,2.3300000000000004e-12,1.5696e-12,1.33e-07,-0.0010988721804511,-1.6191309616527405,1.1045499999999979e-10
-4.2,0.1,2.6386e-12,-1.303e-11,-4.84e-12,5,5,3.124699999999997e-11,1.303e-11,2.6386e-12,1.33e-07,0.0023493984962405,2.3721915152421125,-9.899499999999983e-11
-4.1,0.1,4.6798e-12,-5.85e-11,-1.511e-11,5,5,-3.441399999999997e-11,5.85e-11,4.6798e-12,1.33e-07,-0.0025875187969924,1.0321114146301449,-1.9844499999999967e-10
-4.0,0.1,-4.2442e-12,2.62e-12,3.4400000000000005e-11,5,5,-8.44200000000001e-12,2.62e-12,4.2442e-12,1.33e-07,-0.0006347368421052,-0.9717640188242984,2.5036500000000025e-10
-3.9,0.1,2.9914e-12,-1.91e-12,-1.88e-12,5,5,1.565900000000002e-11,1.91e-12,2.9914e-12,1.33e-07,0.0011773684210526,-2.9076743041795656,-1.1397000000000032e-10
-3.8,0.1,-1.1124e-12,9.21e-12,2.5800000000000003e-12,5,5,-3.1236000000000043e-11,9.21e-12,1.1124e-12,1.33e-07,-0.0023485714285714,0.1839161475658015,8.925499999999985e-11
-3.7,0.1,-3.2558e-12,5.725e-11,1.24e-11,5,5,3.350999999999997e-11,5.725e-11,3.2558e-12,1.33e-07,0.0025195488721804,3.505598750270812,1.94835e-10
