VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
-5.0,0.1,3.8108e-12,-4.7150000000000006e-11,2.216e-11,-4.591600000000016e-11,4.7150000000000006e-11,3.8108e-12,5,5,1.33e-07,-0.0034523308270676,-6.8847635188692,4.067500000000031e-10
-4.9,0.1,-7.808e-13,-9e-14,-1.64e-12,-5.240999999999995e-12,9e-14,7.808e-13,5,5,1.33e-07,-0.0003940601503759,-0.6984907453485338,3.5224500000000037e-10
-4.8,0.1,2.7626e-12,-2.362e-11,-7.43e-12,2.4532999999999976e-11,2.362e-11,2.7626e-12,5,5,1.33e-07,0.0018445864661654,3.61484183434763,-1.6573000000000055e-10
-4.7,0.1,4.1258e-12,-5.0610000000000007e-11,-2.371e-11,-3.8387000000000126e-11,5.0610000000000007e-11,4.1258e-12,5,5,1.33e-07,-0.0028862406015037,1.2509392106297534,-1.9755500000000046e-10
-4.6000000000000005,0.1,-4.9148e-12,1.3000000000000001e-12,3.7900000000000006e-11,-1.4977999999999986e-11,1.3000000000000001e-12,4.9148e-12,5,5,1.33e-07,-0.0011261654135338,-2.8117643428314194,2.478450000000004e-10
-4.5,0.1,1.1302e-12,-1.8400000000000002e-12,1.1900000000000002e-12,1.118199999999999e-11,1.8400000000000002e-12,1.1302e-12,5,5,1.33e-07,0.0008407518796992,-1.3181520664431534,-5.6814999999999896e-11
-4.4,0.1,-2.6784e-12,2.373e-11,6.7200000000000004e-12,-2.6340999999999976e-11,2.373e-11,2.6784e-12,5,5,1.33e-07,-0.0019805263157894,2.818175916839187,-9.806499999999984e-11
-4.3,0.1,-4.138e-12,5.0130000000000006e-11,2.393e-11,-8.430999999999994e-12,5.0130000000000006e-11,4.138e-12,5,5,1.33e-07,-0.000633909774436,1.0603450600707187,2.1111499999999959e-10
-4.2,0.1,-4.3646e-12,1.32e-12,2.103e-11,1.5881999999999983e-11,1.32e-12,4.3646e-12,5,5,1.33e-07,0.0011941353383458,-3.1689801583552564,2.1874999999999963e-10
-4.1,0.1,-9.616e-13,2.1700000000000002e-12,-1.4900000000000001e-12,3.531899999999997e-11,2.1700000000000002e-12,9.616e-13,5,5,1.33e-07,0.0026555639097744,-1.0435469154112988,4.9195000000000205e-11
-4.0,0.1,2.6992e-12,-2.294e-11,-6.76e-12,2.5721000000000037e-11,2.294e-11,2.6992e-12,5,5,1.33e-07,0.001933909774436,3.1922593923074283,-3.6670500000000054e-10
-3.9,0.1,4.1826e-12,-5.037e-11,-2.5410000000000003e-11,-3.8022000000000045e-11,5.037e-11,4.1826e-12,5,5,1.33e-07,-0.0028587969924812,1.297108271728293,-2.126350000000005e-10
-3.8,0.1,-4.9052e-12,1.6e-12,3.569e-11,-1.680600000000002e-11,1.6e-12,4.9052e-12,5,5,1.33e-07,-0.0012636090225563,-3.534458173012589,2.4490500000000056e-10
-3.7,0.1,8.214e-13,-1.8700000000000003e-12,1.32e-12,1.0958999999999988e-11,1.8700000000000003e-12,8.214e-13,5,5,1.33e-07,0.000823984962406,-1.2857144946308263,-4.1409999999999757e-11
-3.6,0.1,-2.7134e-12,2.336e-11,6.7300000000000014e-12,-2.5087999999999977e-11,2.336e-11,2.7134e-12,5,5,1.33e-07,-0.0018863157894736,3.5415074045742547,-9.753999999999983e-11
-3.5,0.1,-4.1962e-12,5.026e-11,2.413e-11,-8.548999999999992e-12,5.026e-11,4.1962e-12,5,5,1.33e-07,-0.0006427819548872,1.0611137813306906,2.0551499999999978e-10
-3.4,0.1,-4.4232e-12,1.2500000000000001e-12,2.103e-11,1.6015000000000022e-11,1.2500000000000001e-12,4.4232e-12,5,5,1.33e-07,0.0012041353383458,-3.1290973427497843,2.2248000000000048e-10
-3.3000000000000003,0.1,-9.932e-13,1.6800000000000001e-12,-1.8900000000000002e-12,3.594700000000005e-11,1.6800000000000001e-12,9.932e-13,5,5,1.33e-07,0.0027027819548872,-1.0192649997198902,5.0714999999999854e-11
-3.2,0.1,2.7662e-12,-2.5340000000000003e-11,-7.54e-12,2.615799999999998e-11,2.5340000000000003e-11,2.7662e-12,5,5,1.33e-07,0.0019667669172932,3.1508261503531334,-1.4352000000000014e-10
