VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,-4.5896e-12,2.95e-12,8.500000000000002e-13,2.95e-12,4.5896e-12,22527596305.47421
0.1,-5,-1.5059999999999998e-13,-2.5e-13,1.91e-12,2.5e-13,1.5059999999999998e-13,61184532550.17132
0.2,-5,-1.3208e-12,5.620000000000001e-12,3.0400000000000004e-12,5.620000000000001e-12,1.3208e-12,-95102234902.52017
0.3,-5,-2.2536e-12,1.775e-11,4.450000000000001e-12,1.775e-11,2.2536e-12,-116292592161.8793
0.4,-5,-3.0406e-12,3.636e-11,7.000000000000001e-12,3.636e-11,3.0406e-12,-150761344791.19556
0.5,-5,-3.5802e-12,5.0280000000000006e-11,1.022e-11,5.0280000000000006e-11,3.5802e-12,-210659363808.72125
0.6,-5,-3.99e-12,5.922e-11,1.497e-11,5.922e-11,3.99e-12,-356252226576.4162
0.7,-5,-4.1416e-12,6.008e-11,2.056e-11,6.008e-11,4.1416e-12,22825317842.550964
0.8,-5,4.7722e-12,-2.502e-11,-3.612e-11,2.502e-11,4.7722e-12,24288941245.051125
0.9,-5,4.0926e-12,-8e-13,-1.321e-11,8e-13,4.0926e-12,-33978933061.501865
1.0,-5,-1.1138e-12,2.75e-12,-1.27e-12,2.75e-12,1.1138e-12,-50365147318.05592
1.1,-5,1.216e-13,5e-13,-2.28e-12,5e-13,1.216e-13,83521256159.69263
1.2,-5,1.2808e-12,-5.010000000000001e-12,-3.2600000000000002e-12,5.010000000000001e-12,1.2808e-12,97723052868.17159
1.3,-5,2.1682e-12,-1.6560000000000002e-11,-4.5400000000000004e-12,1.6560000000000002e-11,2.1682e-12,130684788290.64308
1.4,-5,2.8112e-12,-2.938e-11,-5.84e-12,2.938e-11,2.8112e-12,157778479015.46225
1.5,-5,3.4358e-12,-4.4520000000000005e-11,-8.74e-12,4.4520000000000005e-11,3.4358e-12,171408981830.64786
1.6,-5,3.978e-12,-5.5660000000000005e-11,-1.311e-11,5.5660000000000005e-11,3.978e-12,258866166192.0787
1.7,-5,4.2084e-12,-6.015000000000001e-11,-1.753e-11,6.015000000000001e-11,4.2084e-12,580046403712.297
1.8,-5,4.3228e-12,-6.087e-11,-2.4340000000000003e-11,6.087e-11,4.3228e-12,-22307486392.433323
1.9,-5,-4.7572e-12,1.568e-11,3.6260000000000006e-11,1.568e-11,4.7572e-12,-24632361997.191902
2.0,-5,-3.7966e-12,1.8900000000000002e-12,1.119e-11,1.8900000000000002e-12,3.7966e-12,35505059470.97461
2.1,-5,8.758e-13,-2.8900000000000004e-12,1.5200000000000002e-12,2.8900000000000004e-12,8.758e-13,58878944889.30763
2.2,-5,-3.998e-13,3.5e-13,2.13e-12,3.5e-13,3.998e-13,-75255869957.85678
2.3000000000000003,-5,-1.7818e-12,9.53e-12,4.07e-12,9.53e-12,1.7818e-12,-84896850326.85275
2.4,-5,-2.7556e-12,2.64e-11,5.120000000000001e-12,2.64e-11,2.7556e-12,-117508813160.98692
2.5,-5,-3.4838e-12,4.5030000000000005e-11,8.55e-12,4.5030000000000005e-11,3.4838e-12,-167308014053.87338
2.6,-5,-3.951e-12,5.6070000000000006e-11,1.324e-11,5.6070000000000006e-11,3.951e-12,-323519896473.63324
2.7,-5,-4.102e-12,6.046e-11,1.939e-11,6.046e-11,4.102e-12,-606796116504.8539
2.8000000000000003,-5,-4.2806e-12,5.718e-11,2.631e-11,5.718e-11,4.2806e-12,22177374642.389805
2.9,-5,4.9162e-12,-8.600000000000001e-12,-3.639e-11,8.600000000000001e-12,4.9162e-12,25934955132.527588
3.0,-5,3.431e-12,-2.28e-12,-6.5e-12,2.28e-12,3.431e-12,-40723244828.14794
3.1,-5,5e-15,6.700000000000002e-13,-2.08e-12,6.700000000000002e-13,5e-15,-102690490860.54642
3.2,-5,1.4834e-12,-6.240000000000001e-12,-3.46e-12,6.240000000000001e-12,1.4834e-12,75312547070.342
3.3000000000000003,-5,2.6606e-12,-2.395e-11,-5.160000000000001e-12,2.395e-11,2.6606e-12,101430165331.16934
3.4,-5,3.4552e-12,-4.286e-11,-8.16e-12,4.286e-11,3.4552e-12,160823415889.3532
3.5,-5,3.9042e-12,-5.474e-11,-1.289e-11,5.474e-11,3.9042e-12,284414106939.7046
3.6,-5,4.1584e-12,-6.092000000000001e-11,-1.7620000000000003e-11,6.092000000000001e-11,4.1584e-12,380372765310.0041
3.7,-5,4.43e-12,-5.860000000000001e-11,-2.579e-11,5.860000000000001e-11,4.43e-12,-22391903087.843456
3.8,-5,-4.7734e-12,1.129e-11,3.63e-11,1.129e-11,4.7734e-12,-25429762994.60885
3.9,-5,-3.4348e-12,2.54e-12,7.32e-12,2.54e-12,3.4348e-12,37772909269.471886
4.0,-5,5.214e-13,-1.4300000000000002e-12,1.45e-12,1.4300000000000002e-12,5.214e-13,80690712498.99124
4.1,-5,-9.562e-13,4.16e-12,2.57e-12,4.16e-12,9.562e-13,-83465487021.11685
4.2,-5,-1.8748e-12,1.357e-11,3.81e-12,1.357e-11,1.8748e-12,-115313653136.53146
4.3,-5,-2.6906e-12,3.062e-11,6.320000000000001e-12,3.062e-11,2.6906e-12,-157084511467.1695
4.4,-5,-3.148e-12,4.549e-11,8.500000000000001e-12,4.549e-11,3.148e-12,-232288037166.0861
4.5,-5,-3.5516e-12,5.4540000000000006e-11,1.229e-11,5.4540000000000006e-11,3.5516e-12,-328299409061.06384
4.6000000000000005,-5,-3.7572e-12,6.03e-11,1.777e-11,6.03e-11,3.7572e-12,-622277535780.9584
4.7,-5,-3.873e-12,5.966e-11,2.3480000000000003e-11,5.966e-11,3.873e-12,22021581149.526455
4.8,-5,5.3248e-12,-2.377e-11,-3.588e-11,2.377e-11,5.3248e-12,23474729453.743065
4.9,-5,4.6468e-12,-1.5800000000000001e-12,-1.388e-11,1.5800000000000001e-12,4.6468e-12,-33297815663.29252
5.0,-5,-6.816e-13,1.2800000000000002e-12,-1.21e-12,1.2800000000000002e-12,6.816e-13,-18767359807.82217
0.0,-4,4.7206e-12,-1.7110000000000003e-11,-3.667e-11,1.7110000000000003e-11,4.7206e-12,-82671957671.95766
0.1,-4,3.511e-12,-2.01e-12,-6.980000000000001e-12,2.01e-12,3.511e-12,-40607488020.79104
0.2,-4,-2.046e-13,8.9e-13,-1.6700000000000004e-12,8.9e-13,2.046e-13,-80971659919.02834
0.3,-4,1.041e-12,-4.11e-12,-2.74e-12,4.11e-12,1.041e-12,83166999334.66402
0.4,-4,2.2002e-12,-1.4960000000000002e-11,-4.51e-12,1.4960000000000002e-11,2.2002e-12,105607772732.07307
0.5,-4,2.9348e-12,-3.1810000000000004e-11,-6.370000000000001e-12,3.1810000000000004e-11,2.9348e-12,142979696883.04257
0.6,-4,3.599e-12,-4.7330000000000006e-11,-9.41e-12,4.7330000000000006e-11,3.599e-12,197628458498.0237
0.7,-4,3.9468e-12,-5.642e-11,-1.242e-11,5.642e-11,3.9468e-12,357398141529.6643
0.8,-4,4.1586e-12,-5.942e-11,-1.752e-11,5.942e-11,4.1586e-12,439947206335.2396
0.9,-4,4.4014e-12,-6.021e-11,-2.4340000000000003e-11,6.021e-11,4.4014e-12,-22257339357.653183
