VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,1.01318e-08,-1.00003e-08,-1.5248e-10,1.00003e-08,1.01318e-08,99745.827681901
0.1,-5,1.01268e-06,-1.00003e-08,-1.0097e-06,1.00003e-08,1.01268e-06,95393.98718343624
0.2,-5,2.1067e-06,-1.00003e-08,-2.2062e-06,1.00003e-08,2.1067e-06,71237.24853251266
0.3,-5,3.8202e-06,-1.00002e-08,-3.795000000000001e-06,1.00002e-08,3.8202e-06,52555.511759295754
0.4,-5,5.912200000000001e-06,-1.00003e-08,-5.731400000000001e-06,1.00003e-08,5.912200000000001e-06,44071.30737533329
0.5,-5,8.358300000000001e-06,-1.00003e-08,-8.249600000000001e-06,1.00003e-08,8.358300000000001e-06,38967.36483195322
0.6,-5,1.10447e-05,-1.00003e-08,-1.1076e-05,1.00003e-08,1.10447e-05,33717.14685503314
0.7,-5,1.429e-05,-1.00003e-08,-1.391e-05,1.00003e-08,1.429e-05,29588.862752060137
0.8,-5,1.7804e-05,-1.00003e-08,-1.774e-05,1.00003e-08,1.7804e-05,24342.7458617332
0.9,-5,2.2506e-05,-1.00002e-08,-2.1754e-05,1.00002e-08,2.2506e-05,22158.209616662967
1.0,-5,2.683e-05,-1.00003e-08,-2.6322e-05,1.00003e-08,2.683e-05,22920.00916800367
1.1,-5,3.1232e-05,-1.00003e-08,-3.09e-05,1.00003e-08,3.1232e-05,19916.35132443736
1.2,-5,3.6872e-05,-1.00003e-08,-3.6734e-05,1.00003e-08,3.6872e-05,17482.51748251748
1.3,-5,4.2672e-05,-1.00003e-08,-4.1790000000000005e-05,1.00003e-08,4.2672e-05,18871.485185884143
1.4,-5,4.747000000000001e-05,-1.00003e-08,-4.6502e-05,1.00003e-08,4.747000000000001e-05,19920.3187250996
1.5,-5,5.2712e-05,-1.00003e-08,-5.1784e-05,1.00003e-08,5.2712e-05,19600.15680125441
1.6,-5,5.7674e-05,-1.00002e-08,-5.6448e-05,1.00002e-08,5.7674e-05,19758.94092076664
1.7,-5,6.2834e-05,-1.00002e-08,-6.2666e-05,1.00002e-08,6.2834e-05,19190.17463058913
1.8,-5,6.8096e-05,-1.00003e-08,-6.6264e-05,1.00003e-08,6.8096e-05,19805.90215884336
1.9,-5,7.2932e-05,-1.00002e-08,-7.2346e-05,1.00002e-08,7.2932e-05,19872.813990461065
2.0,-5,7.816e-05,-1.00002e-08,-7.8548e-05,1.00002e-08,7.816e-05,18928.639030853665
2.1,-5,8.3498e-05,-1.00002e-08,-8.164e-05,1.00002e-08,8.3498e-05,19293.845263361
2.2,-5,8.8526e-05,-1.00003e-08,-8.6484e-05,1.00003e-08,8.8526e-05,19504.58357714065
