VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,4.65e-12,-2.431e-11,5.120000000000001e-12,2.431e-11,4.65e-12,-20316118808.6628
0.1,-5,-2.722e-13,1.9000000000000002e-13,2.2200000000000002e-12,1.9000000000000002e-13,2.722e-13,-33735915255.38088
0.2,-5,-1.2784e-12,5.65e-12,3.33e-12,5.65e-12,1.2784e-12,-106394297265.66656
0.3,-5,-2.152e-12,1.423e-11,4.350000000000001e-12,1.423e-11,2.152e-12,-131960939561.88968
0.4,-5,-2.794e-12,2.823e-11,5.730000000000001e-12,2.823e-11,2.794e-12,-173882802990.78427
0.5,-5,-3.3022e-12,4.073e-11,8e-12,4.073e-11,3.3022e-12,-225631768953.0687
0.6,-5,-3.6804e-12,5.059e-11,1.072e-11,5.059e-11,3.6804e-12,-314861460957.17896
0.7,-5,-3.9374e-12,5.5850000000000006e-11,1.352e-11,5.5850000000000006e-11,3.9374e-12,-431220353600.6896
0.8,-5,-4.1442e-12,6.056000000000001e-11,1.8820000000000003e-11,6.056000000000001e-11,4.1442e-12,-551876379690.9489
0.9,-5,-4.2998e-12,5.961e-11,2.3410000000000003e-11,5.961e-11,4.2998e-12,22333891680.625343
1.0,-5,4.8108e-12,-2.284e-11,-3.598e-11,2.284e-11,4.8108e-12,23418655300.81264
1.1,-5,4.2404e-12,-1.04e-12,-1.617e-11,1.04e-12,4.2404e-12,-30625057421.982662
1.2,-5,-1.7198e-12,1.4800000000000004e-12,-8e-13,1.4800000000000004e-12,1.7198e-12,-39755108531.44629
1.3,-5,-7.903999999999999e-13,1.23e-12,-1.65e-12,1.23e-12,7.903999999999999e-13,117274539697.4318
1.4,-5,-1.44e-14,-2.4000000000000004e-13,-2.11e-12,2.4000000000000004e-13,1.44e-14,124875124875.12485
1.5,-5,8.112e-13,-3.28e-12,-2.62e-12,3.28e-12,8.112e-13,118301194842.06789
1.6,-5,1.6762e-12,-1.063e-11,-3.680000000000001e-12,1.063e-11,1.6762e-12,119260584376.86343
1.7,-5,2.4882e-12,-1.941e-11,-5.3500000000000004e-12,1.941e-11,2.4882e-12,146649068778.4132
1.8,-5,3.04e-12,-3.488e-11,-7.100000000000001e-12,3.488e-11,3.04e-12,194325689856.1992
1.9,-5,3.5174e-12,-4.534e-11,-9.400000000000001e-12,4.534e-11,3.5174e-12,228675966155.95688
2.0,-5,3.9146e-12,-5.6250000000000006e-11,-1.275e-11,5.6250000000000006e-11,3.9146e-12,353356890459.3638
2.1,-5,4.0834e-12,-5.927e-11,-1.7070000000000002e-11,5.927e-11,4.0834e-12,646830530401.0365
2.2,-5,4.2238e-12,-6.089000000000001e-11,-2.192e-11,6.089000000000001e-11,4.2238e-12,-22777486732.114
2.3000000000000003,-5,-4.6972e-12,2.7670000000000003e-11,3.485e-11,2.7670000000000003e-11,4.6972e-12,-23233121137.49358
2.4,-5,-4.3846e-12,1.3000000000000001e-12,1.6760000000000002e-11,1.3000000000000001e-12,4.3846e-12,30397908623.88664
2.5,-5,1.8822e-12,-2.04e-12,6.000000000000001e-14,2.04e-12,1.8822e-12,39325179912.698135
2.6,-5,7.012e-13,-2.23e-12,1.3300000000000002e-12,2.23e-12,7.012e-13,-87145969498.91075
2.7,-5,-4.128e-13,3.4e-13,2.06e-12,3.4e-13,4.128e-13,-105307497893.85014
2.8000000000000003,-5,-1.198e-12,6.330000000000001e-12,2.9800000000000002e-12,6.330000000000001e-12,1.198e-12,-123243776189.30228
2.9,-5,-2.0356e-12,1.4200000000000002e-11,4.37e-12,1.4200000000000002e-11,2.0356e-12,-127161749745.67632
