VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,-4.1056e-12,-1.00003e-08,9.991799999999997e-09,1.00003e-08,4.1056e-12,369336774.5671743
0.1,-5,2.6665e-10,-1.00003e-08,9.4541e-09,1.00003e-08,2.6665e-10,701789844.8202295
0.2,-5,2.8088e-10,-1.00003e-08,9.6512e-09,1.00003e-08,2.8088e-10,5807200929.152142
0.3,-5,3.0109000000000004e-10,-1.00003e-08,9.6765e-09,1.00003e-08,3.0109000000000004e-10,7779074290.15947
0.4,-5,3.0659e-10,-1.00003e-08,9.7265e-09,1.00003e-08,3.0659e-10,-7902015013.828513
0.5,-5,2.7578e-10,-1.00003e-08,9.7467e-09,1.00003e-08,2.7578e-10,-5434782608.695648
0.6,-5,2.6979e-10,-1.00002e-08,9.7992e-09,1.00002e-08,2.6979e-10,-7142857142.857144
0.7,-5,2.4778e-10,-1.00003e-08,9.7598e-09,1.00003e-08,2.4778e-10,-12722646310.432596
0.8,-5,2.5407000000000003e-10,-1.00003e-08,9.7166e-09,1.00003e-08,2.5407000000000003e-10,6371455877.668039
0.9,-5,2.7917000000000003e-10,-1.00003e-08,9.6935e-09,1.00003e-08,2.7917000000000003e-10,6044122091.266245
1.0,-5,2.8716e-10,-1.00002e-08,9.643e-09,1.00002e-08,2.8716e-10,6563833278.634725
1.1,-5,3.0964000000000003e-10,-1.00002e-08,9.6917e-09,1.00002e-08,3.0964000000000003e-10,13956734124.21494
1.2,-5,3.0149e-10,-1.00002e-08,9.7271e-09,1.00002e-08,3.0149e-10,-6232471174.820817
1.3,-5,2.7755000000000004e-10,-1.00003e-08,9.7563e-09,1.00003e-08,2.7755000000000004e-10,-5957700327.673529
1.4,-5,2.6792000000000004e-10,-1.00003e-08,9.8005e-09,1.00003e-08,2.6792000000000004e-10,-6095702529.716546
1.5,-5,2.4474e-10,-1.00003e-08,9.7412e-09,1.00003e-08,2.4474e-10,-28735632183.90785
1.6,-5,2.6096e-10,-1.00003e-08,9.7148e-09,1.00003e-08,2.6096e-10,5717552887.364204
1.7,-5,2.7972000000000004e-10,-1.00002e-08,9.6816e-09,1.00002e-08,2.7972000000000004e-10,6772773450.728071
1.8,-5,2.9049e-10,-1.00003e-08,9.6467e-09,1.00003e-08,2.9049e-10,6071645415.907718
1.9,-5,3.1266000000000003e-10,-1.00003e-08,9.7117e-09,1.00003e-08,3.1266000000000003e-10,-555555555555.5765
2.0,-5,2.9013e-10,-1.00002e-08,9.7313e-09,1.00002e-08,2.9013e-10,-5344735435.595935
2.1,-5,2.7524e-10,-1.00002e-08,9.771e-09,1.00002e-08,2.7524e-10,-7037297677.691775
2.2,-5,2.6171e-10,-1.00002e-08,9.7942e-09,1.00002e-08,2.6171e-10,-6351222610.352496
