VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,-4.516e-12,2.4120000000000003e-11,3.0100000000000005e-11,2.4120000000000003e-11,4.516e-12,11776898436.027887
0.1,-5,3.9752e-12,-1.6e-12,-7.560000000000003e-12,1.6e-12,3.9752e-12,35455963693.09318
0.2,-5,1.1248e-12,9.8e-13,-3.38e-12,9.8e-13,1.1248e-12,-220458553791.887
0.3,-5,3.068e-12,-4e-12,-5.07e-12,4e-12,3.068e-12,51493305870.23687
0.4,-5,5.0088e-12,-1.4810000000000002e-11,-7.22e-12,1.4810000000000002e-11,5.0088e-12,56589893045.10216
0.5,-5,6.6022e-12,-2.9190000000000005e-11,-9.790000000000003e-12,2.9190000000000005e-11,6.6022e-12,70338327354.57552
0.6,-5,7.8522e-12,-4.7370000000000007e-11,-1.3380000000000002e-11,4.7370000000000007e-11,7.8522e-12,86363243803.43724
0.7,-5,8.918e-12,-5.7050000000000006e-11,-1.8330000000000003e-11,5.7050000000000006e-11,8.918e-12,83892617449.66441
0.8,-5,1.02362e-11,-6.056000000000001e-11,-2.4650000000000003e-11,6.056000000000001e-11,1.02362e-11,-29286864841.11875
0.9,-5,2.089e-12,3.1780000000000006e-11,2.7670000000000003e-11,3.1780000000000006e-11,2.089e-12,-28025334902.752083
1.0,-5,3.0998e-12,1.36e-12,1.049e-11,1.36e-12,3.0998e-12,24662737070.5601
1.1,-5,1.01984e-11,-2.9100000000000003e-12,-8.06e-12,2.9100000000000003e-12,1.01984e-11,30247118961.91888
1.2,-5,9.712e-12,-1.6300000000000001e-12,-7.880000000000001e-12,1.6300000000000001e-12,9.712e-12,-286123032904.149
1.3,-5,9.4994e-12,1.6100000000000002e-12,-7.660000000000002e-12,1.6100000000000002e-12,9.4994e-12,-443852640923.2142
1.4,-5,9.2614e-12,1.204e-11,-6.97e-12,1.204e-11,9.2614e-12,-645994832041.343
1.5,-5,9.1898e-12,2.746e-11,-6.46e-12,2.746e-11,9.1898e-12,11235955056179.654
1.6,-5,9.2792e-12,4.375e-11,-4.07e-12,4.375e-11,9.2792e-12,539374325782.09375
1.7,-5,9.5606e-12,5.591e-11,-1.3000000000000001e-12,5.591e-11,9.5606e-12,134318334452.6527
