VD,VG,ID,IG,IS,absIg,absId,r
0.0,-5,3.0706e-12,-2.57e-12,-1.205e-11,2.57e-12,3.0706e-12,102061645233.72118
0.1,-5,4.0504e-12,-4.881e-11,-1.799e-11,4.881e-11,4.0504e-12,172950536146.6621
0.2,-5,4.227e-12,-4.935e-11,-2.266e-11,4.935e-11,4.227e-12,581395348837.209
0.3,-5,4.3944e-12,-4.971e-11,-2.802e-11,4.971e-11,4.3944e-12,-22087732473.384285
0.4,-5,-4.8278e-12,1.6690000000000003e-11,4.3140000000000006e-11,1.6690000000000003e-11,4.8278e-12,-23496240601.50376
0.5,-5,-4.1176e-12,1.9700000000000003e-12,1.792e-11,1.9700000000000003e-12,4.1176e-12,31231456322.808327
0.6,-5,1.576e-12,-2.28e-12,5e-13,2.28e-12,1.576e-12,41394155145.293495
0.7,-5,7.14e-13,-1.4800000000000004e-12,1.5300000000000001e-12,1.4800000000000004e-12,7.14e-13,-101194090265.12856
0.8,-5,-4.004e-13,8e-13,2.21e-12,8e-13,4.004e-13,-109613065877.45256
0.9,-5,-1.1106e-12,4.750000000000001e-12,3.0800000000000002e-12,4.750000000000001e-12,1.1106e-12,-123762376237.62376
1.0,-5,-2.0164e-12,1.293e-11,5.100000000000001e-12,1.293e-11,2.0164e-12,-119047619047.6191
1.1,-5,-2.7906e-12,2.294e-11,7.380000000000001e-12,2.294e-11,2.7906e-12,-151011778918.7556
1.2,-5,-3.3408e-12,3.478e-11,9.78e-12,3.478e-11,3.3408e-12,-194401244167.96268
1.3,-5,-3.8194e-12,4.421e-11,1.2880000000000002e-11,4.421e-11,3.8194e-12,-315756236185.6651
1.4,-5,-3.9742e-12,4.7580000000000005e-11,1.6140000000000002e-11,4.7580000000000005e-11,3.9742e-12,-720980533525.5936
1.5,-5,-4.0968e-12,4.981000000000001e-11,2.169e-11,4.981000000000001e-11,4.0968e-12,-723589001447.1781
1.6,-5,-4.2506e-12,4.976e-11,2.6690000000000004e-11,4.976e-11,4.2506e-12,22642363862.78727
1.7,-5,4.7362e-12,-2.093e-11,-4.2630000000000006e-11,2.093e-11,4.7362e-12,23299704093.758003
1.8,-5,4.3332e-12,-1.5300000000000001e-12,-2.042e-11,1.5300000000000001e-12,4.3332e-12,-29942809234.3624
1.9,-5,-1.9432e-12,1.73e-12,-2.8e-13,1.73e-12,1.9432e-12,-37828636277.66218
2.0,-5,-9.538e-13,1.8100000000000002e-12,-1.6800000000000001e-12,1.8100000000000002e-12,9.538e-13,102103328568.51132
2.1,-5,1.56e-14,-1.3e-13,-1.9200000000000003e-12,1.3e-13,1.56e-14,105496360375.56714
2.2,-5,9.42e-13,-3.33e-12,-3.48e-12,3.33e-12,9.42e-13,105274239393.62048
