device,VD,VG,ID,IG,IS,absIg,absId,r
bot1,0.0,-5,-4.6676e-12,6.51e-12,-6.200000000000001e-13,6.51e-12,4.6676e-12,18744845167.578915
bot1,0.1,-5,6.672e-13,-1.4e-12,1.3900000000000001e-12,1.4e-12,6.672e-13,48137094444.9793
bot1,0.2,-5,-5.128e-13,1.55e-12,2.3200000000000002e-12,1.55e-12,5.128e-13,-97971980013.71608
bot1,0.3,-5,-1.3742e-12,5.79e-12,3.15e-12,5.79e-12,1.3742e-12,-111756817165.84712
bot1,0.4,-5,-2.3024e-12,1.6980000000000002e-11,4.42e-12,1.6980000000000002e-11,2.3024e-12,-118722545411.37364
bot1,0.5,-5,-3.0588e-12,3.1340000000000005e-11,6.530000000000002e-12,3.1340000000000005e-11,3.0588e-12,-152160681679.85388
bot1,0.6,-5,-3.6168e-12,4.702e-11,8.680000000000001e-12,4.702e-11,3.6168e-12,-225073148773.3514
bot1,0.7,-5,-3.9474e-12,5.4500000000000006e-11,1.167e-11,5.4500000000000006e-11,3.9474e-12,-427167876975.652
bot1,0.8,-5,-4.085e-12,6.028000000000001e-11,1.535e-11,6.028000000000001e-11,4.085e-12,-727272727272.7262
bot1,0.9,-5,-4.2224e-12,6.130000000000001e-11,2.033e-11,6.130000000000001e-11,4.2224e-12,22626482034.57326
bot1,1.0,-5,4.7542e-12,-3.233e-11,-3.5270000000000005e-11,3.233e-11,4.7542e-12,22872827081.42728
bot1,1.1,-5,4.5216e-12,-1.8200000000000003e-12,-1.943e-11,1.8200000000000003e-12,4.5216e-12,-27486119509.647625
bot1,1.2,-5,-2.5222e-12,2.03e-12,1.3800000000000002e-12,2.03e-12,2.5222e-12,-38400983065.16647
bot1,1.3,-5,-6.866e-13,2.08e-12,2.09e-12,2.08e-12,6.866e-13,201409869083.5853
bot1,1.4,-5,-1.5292e-12,7.11e-12,3.1400000000000004e-12,7.11e-12,1.5292e-12,-138561729250.381
bot1,1.5,-5,-2.13e-12,1.425e-11,3.85e-12,1.425e-11,2.13e-12,-162601626016.26016
bot1,1.6,-5,-2.7592e-12,2.6270000000000003e-11,5.8700000000000014e-12,2.6270000000000003e-11,2.7592e-12,-178699070764.832
