device,VG,VD,ID,IG,IS,W,L,sqrt_ID,gm,absIg,Ca,Mob_Sat,SS,absId
bot1,-2.0,5,1.1572e-12,-4.79e-12,-3.33e-12,80,10,1.0757323087088165e-06,3.5317e-11,4.79e-12,1.33e-07,1.6199858821082597e-06,0.4299509259621371,1.1572e-12
bot1,-1.9,5,3.8802e-12,-5.427e-11,-1.139e-11,80,10,1.9698223270132764e-06,-3.0377e-11,5.427e-11,1.33e-07,6.128259695285753e-05,3.14198880247159,3.8802e-12
bot1,-1.8,5,-4.9182e-12,1.195e-11,3.654e-11,80,10,2.2177015128280903e-06,-2.332599999999998e-11,1.195e-11,1.33e-07,5.5200467266952216e-05,-3.4699222729275334,4.9182e-12
bot1,-1.7,5,-7.85e-13,8.300000000000001e-13,-1.6100000000000002e-12,80,10,8.860022573334676e-07,3.941600000000001e-11,8.300000000000001e-13,1.33e-07,1.1550834206076114e-05,-1.09890743884991,7.85e-13
bot1,-1.6,5,2.965e-12,-3.026e-11,-6.390000000000001e-12,80,10,1.7219175357722564e-06,2.5127000000000005e-11,3.026e-11,1.33e-07,6.468267262837219e-05,3.6626858454626814,2.965e-12
bot1,-1.5,5,4.2404e-12,-6.159e-11,-2.193e-11,80,10,2.0592231544929758e-06,-3.9917e-11,6.159e-11,1.33e-07,1.2621921696540649e-05,1.1427028841449884,4.2404e-12
bot1,-1.4,5,-5.0184e-12,1.23e-12,3.044e-11,80,10,2.240178564311336e-06,-1.7667000000000002e-11,1.23e-12,1.33e-07,6.975915237661077e-05,-3.88993706020445,5.0184e-12
bot1,-1.3,5,7.07e-13,-1.55e-12,1.5200000000000002e-12,80,10,8.408329203831164e-07,1.0424999999999988e-11,1.55e-12,1.33e-07,1.3074039222021697e-05,-1.1659699344089958,7.07e-13
bot1,-1.2,5,-2.9334e-12,3.201e-11,6.21e-12,80,10,1.7127171395183735e-06,-2.5078000000000004e-11,3.201e-11,1.33e-07,7.166062298140008e-05,3.924583816569572,2.9334e-12
bot1,-1.1,5,-4.3086e-12,6.153e-11,2.16e-11,80,10,2.075716743681565e-06,-6.743e-12,6.153e-11,1.33e-07,5.975136621778842e-06,0.8213768765546982,4.3086e-12
bot1,-1.0,5,-4.282e-12,2.46e-12,1.5830000000000002e-11,80,10,2.06929939834718e-06,1.8354e-11,2.46e-12,1.33e-07,7.664315531515834e-05,-4.14825831101936,4.282e-12
bot1,-0.9,5,-6.378e-13,1.96e-12,-1.8400000000000002e-12,80,10,7.986238163240562e-07,3.712500000000001e-11,1.96e-12,1.33e-07,4.129782171818674e-06,-0.671511409704202,6.378e-13
bot1,-0.8,5,3.143e-12,-3.5420000000000005e-11,-7.07e-12,80,10,1.7728508115461943e-06,2.496100000000001e-11,3.5420000000000005e-11,1.33e-07,7.796952806233127e-05,4.171219032010384,3.143e-12
bot1,-0.7,5,4.3544e-12,-6.003e-11,-2.355e-11,80,10,2.086719914123599e-06,4.911e-12,6.003e-11,1.33e-07,3.133053782455407e-06,0.59050314030034,4.3544e-12
bot1,-0.6,5,4.1252e-12,-8.9e-13,-1.446e-11,80,10,2.0310588371585887e-06,-1.9685999999999997e-11,8.9e-13,1.33e-07,9.755322378377465e-05,-5.092920107772619,4.1252e-12
bot1,-0.5,5,4.172e-13,-1e-12,1.37e-12,80,10,6.459102104782057e-07,-2.4667000000000004e-11,1e-12,1.33e-07,6.0223612313527575e-05,-3.539630814855093,4.172e-13
bot1,-0.4,5,-8.082e-13,3.3890000000000005e-11,4.38e-12,80,10,8.989994438263018e-07,1.9470299999999998e-10,3.3890000000000005e-11,1.33e-07,0.0014882829822804,9.873432573682177,8.082e-13
bot1,-0.3,5,3.93578e-11,-3.858e-11,-6.836000000000001e-11,80,10,6.27357952049705e-06,2.214541e-09,3.858e-11,1.33e-07,0.0190368027368638,13.69000834399623,3.93578e-11
bot1,-0.2,5,4.4210000000000006e-10,-5.684000000000001e-11,-4.6435000000000006e-10,80,10,2.10261741645978e-05,1.9211211e-08,5.684000000000001e-11,1.33e-07,0.1475206097519282,9.969899823477748,4.4210000000000006e-10
bot1,-0.1,5,3.8816e-09,1.98e-12,-3.8864e-09,80,10,6.230248791180013e-05,9.516049999999997e-08,1.98e-12,1.33e-07,0.6601454495929935,8.219695554954418,3.8816e-09
bot1,0.0,5,1.94742e-08,-1.78e-12,-1.93528e-08,80,10,0.0001395499910426,2.47595e-07,1.78e-12,1.33e-07,1.3387110967594218,5.692676787639721,1.94742e-08
bot1,0.1,5,5.34006e-08,1.27e-12,-5.3309e-08,80,10,0.0002310856983891,4.11961e-07,1.27e-12,1.33e-07,1.516053067715027,3.592856661945971,5.34006e-08
bot1,0.2,5,1.018664e-07,5.321e-11,-1.0181420000000001e-07,80,10,0.000319165161006,5.687970000000001e-07,5.321e-11,1.33e-07,1.4850035851259666,2.4779311287858308,1.018664e-07
bot1,0.3,5,1.6716e-07,3.565e-11,-1.6714e-07,80,10,0.0004088520514807,7.849679999999999e-07,3.565e-11,1.33e-07,1.6896086598889413,2.02516994275729,1.6716e-07
bot1,0.4,5,2.5886e-07,1.74e-12,-2.5814e-07,80,10,0.0005087828613465,1.1048e-06,1.74e-12,1.33e-07,2.1548989783448143,1.8291683011854727,2.5886e-07
bot1,0.5,5,3.8812e-07,-6.037000000000001e-11,-3.871e-07,80,10,0.0006229927768441,1.5412000000000002e-06,6.037000000000001e-11,1.33e-07,2.804113106384819,1.702973502242942,3.8812e-07
bot1,0.6,5,5.671e-07,-2.72e-12,-5.6658e-07,80,10,0.0007530604225425,2.110299999999999e-06,2.72e-12,1.33e-07,3.608477915719555,1.5980774766655066,5.671e-07
bot1,0.7,5,8.1018e-07,4.65e-11,-8.0938e-07,80,10,0.000900099994445,2.8256999999999995e-06,4.65e-11,1.33e-07,4.545371528111165,1.501394231877335,8.1018e-07
bot1,0.8,5,1.13224e-06,-2.39e-12,-1.13106e-06,80,10,0.0010640676670212,3.699100000000002e-06,2.39e-12,1.33e-07,5.589712791435786,1.4087509006425327,1.13224e-06
bot1,0.9,5,1.5500000000000002e-06,-5.79e-12,-1.5448000000000002e-06,80,10,0.0012449899597988,4.744300000000001e-06,5.79e-12,1.33e-07,6.7334634430135525,1.3217722777886425,1.5500000000000002e-06
bot1,1.0,5,2.0811000000000003e-06,2.5000000000000007e-12,-2.0840000000000003e-06,80,10,0.0014426018161641,5.997499999999997e-06,2.5000000000000007e-12,1.33e-07,8.022125528593216,1.2446101292380305,2.0811000000000003e-06
bot1,1.1,5,2.7495e-06,-5.518e-11,-2.7505e-06,80,10,0.0016581616326522,7.392000000000001e-06,5.518e-11,1.33e-07,9.266493244152832,1.165480240269128,2.7495e-06
bot1,1.2,5,3.5595000000000004e-06,-1.79e-12,-3.5581000000000003e-06,80,10,0.0018866637220236,8.813500000000003e-06,1.79e-12,1.33e-07,10.20611534712016,1.0756730858633736,3.5595000000000004e-06
bot1,1.3,5,4.512200000000001e-06,6.015000000000001e-11,-4.5101e-06,80,10,0.0021241939647781,1.0194999999999991e-05,6.015000000000001e-11,1.33e-07,10.80232560148344,0.983413426357779,4.512200000000001e-06
bot1,1.4,5,5.598500000000001e-06,3e-12,-5.5988000000000005e-06,80,10,0.0023661149591682,1.1447000000000006e-05,3e-12,1.33e-07,10.998891320439308,0.8911137321623787,5.598500000000001e-06
bot1,1.5,5,6.801600000000001e-06,-6.164e-11,-6.8028e-06,80,10,0.0026079877300324,1.2525500000000007e-05,6.164e-11,1.33e-07,10.852676188909983,0.8030315661161548,6.801600000000001e-06
bot1,1.6,5,8.103600000000001e-06,-2.13e-12,-8.103400000000001e-06,80,10,0.0028466822794263,1.3426e-05,2.13e-12,1.33e-07,10.472598066963457,0.7225432864536341,8.103600000000001e-06
bot1,1.7,5,9.4868e-06,5.891000000000001e-11,-9.4868e-06,80,10,0.0030800649343804,1.4148e-05,5.891000000000001e-11,1.33e-07,9.937414539964927,0.6503464845887263,9.4868e-06
bot1,1.8,5,1.09332e-05,1.79e-12,-1.0935e-05,80,10,0.0033065389760291,1.4785999999999983e-05,1.79e-12,1.33e-07,9.41224090077003,0.5892012876144553,1.09332e-05
bot1,1.9,5,1.2444e-05,5.990000000000001e-11,-1.244e-05,80,10,0.0035276054201114,1.5444000000000003e-05,5.990000000000001e-11,1.33e-07,9.01757751226527,0.540313350451589,1.2444e-05
bot1,2.0,5,1.4022e-05,1.8400000000000002e-12,-1.402e-05,80,10,0.0037445961063911,1.6150000000000003e-05,1.8400000000000002e-12,1.33e-07,8.746994596393122,0.501099199976185,1.4022e-05
bot1,2.1,5,1.5674e-05,-5.853e-11,-1.5672000000000002e-05,80,10,0.0039590402877465,1.6919999999999977e-05,5.853e-11,1.33e-07,8.58631146416084,0.4694450820521862,1.5674e-05
bot1,2.2,5,1.7406e-05,-2.51e-12,-1.7406e-05,80,10,0.0041720498558861,1.7709999999999988e-05,2.51e-12,1.33e-07,8.47067164554172,0.4424157381346379,1.7406e-05
bot1,2.3000000000000003,5,1.9216e-05,1.5920000000000002e-11,-1.9218e-05,80,10,0.0043836058216951,1.8520000000000023e-05,1.5920000000000002e-11,1.33e-07,8.388933952671511,0.418946270606742,1.9216e-05
bot1,2.4,5,2.111e-05,-1.841e-11,-2.1116e-05,80,10,0.004594562003064,1.9400000000000028e-05,1.841e-11,1.33e-07,8.37749445522061,0.3993689040691667,2.111e-05
bot1,2.5,5,2.3096e-05,-1.4e-12,-2.3096e-05,80,10,0.0048058297930742,2.0279999999999985e-05,1.4e-12,1.33e-07,8.36902674605356,0.3816297947995114,2.3096e-05
bot1,2.6,5,2.5166e-05,5.546e-11,-2.5168e-05,80,10,0.005016572535108,2.1179999999999987e-05,5.546e-11,1.33e-07,8.375421787879132,0.3656732058899289,2.5166e-05
bot1,2.7,5,2.7332e-05,2.37e-12,-2.733e-05,80,10,0.0052280015302216,2.209999999999999e-05,2.37e-12,1.33e-07,8.397542996734392,0.3513603032361164,2.7332e-05
bot1,2.8000000000000003,5,2.9586e-05,-5.845e-11,-2.9582e-05,80,10,0.0054393014257347,2.3000000000000014e-05,5.845e-11,1.33e-07,8.401922807655103,0.3377735427418175,2.9586e-05
bot1,2.9,5,3.1932e-05,-1.6800000000000001e-12,-3.1934e-05,80,10,0.0056508406454261,2.3940000000000025e-05,1.6800000000000001e-12,1.33e-07,8.433501544871648,0.3257190985923723,3.1932e-05
bot1,3.0,5,3.4374e-05,1.502e-11,-3.4378e-05,80,10,0.0058629344188725,2.4879999999999985e-05,1.502e-11,1.33e-07,8.462265847242946,0.3144719567007389,3.4374e-05
