device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot1,-5.0,0.1,-4.6248e-12,7.770000000000001e-12,-2.599e-11,80,5,8.29580000000003e-11,7.770000000000001e-12,4.6248e-12,1.33e-07,0.0003898402255639,-1.0030857186307465,-6.088100000000054e-10
bot1,-4.9,0.1,3.671e-12,-1.5400000000000001e-12,-8.600000000000001e-12,80,5,2.207699999999998e-11,1.5400000000000001e-12,3.671e-12,1.33e-07,0.0001037453007518,-6.720581395121175,-5.924800000000006e-10
bot1,-4.8,0.1,-2.094e-13,-9.3e-13,2.16e-12,80,5,-3.553799999999997e-11,9.3e-13,2.094e-13,1.33e-07,-0.0001670018796992,-0.1432769937253296,1.2070000000000522e-11
bot1,-4.7,0.1,-3.4366e-12,4.382e-11,8.05e-12,80,5,2.4491000000000087e-11,4.382e-11,3.4366e-12,1.33e-07,0.0001150892857142,6.750425155153718,3.264150000000009e-10
bot1,-4.6000000000000005,0.1,4.6888e-12,-3.5130000000000006e-11,-3.4870000000000005e-11,80,5,2.974499999999998e-11,3.5130000000000006e-11,4.6888e-12,1.33e-07,0.0001397791353383,-0.6802010051344259,-2.779950000000001e-10
bot1,-4.5,0.1,2.5124e-12,-3.61e-12,-1.5700000000000002e-12,80,5,-3.1107999999999966e-11,3.61e-12,2.5124e-12,1.33e-07,-0.0001461842105263,-2.427881083195469,-3.0989999999999947e-10
bot1,-4.4,0.1,-1.5328e-12,7.480000000000001e-12,3.51e-12,80,5,-3.2234999999999967e-11,7.480000000000001e-12,1.5328e-12,1.33e-07,-0.0001514802631578,0.9740590144242302,3.1703499999999936e-10
bot1,-4.3,0.1,-3.9346e-12,5.6320000000000006e-11,1.219e-11,80,5,3.2298999999999966e-11,5.6320000000000006e-11,3.9346e-12,1.33e-07,0.0001517810150375,2.5354853527022025,1.8635499999999964e-10
bot1,-4.2,0.1,4.927e-12,-1.106e-11,-3.685e-11,80,5,5.035999999999995e-12,1.106e-11,4.927e-12,1.33e-07,2.366541353383456e-05,-0.642092595604859,-2.488599999999995e-10
bot1,-4.1,0.1,-2.9274e-12,1.6100000000000002e-12,2.6300000000000007e-12,80,5,-1.747299999999998e-11,1.6100000000000002e-12,2.9274e-12,1.33e-07,-8.210996240601493e-05,-2.682591249675219,1.4551500000000012e-10
bot1,-4.0,0.1,1.4324e-12,-7.100000000000001e-12,-3.2e-12,80,5,3.413900000000004e-11,7.100000000000001e-12,1.4324e-12,1.33e-07,0.0001604276315789,0.6231353963513627,-7.131500000000039e-11
bot1,-3.9,0.1,3.9004e-12,-5.498000000000001e-11,-1.1360000000000002e-11,80,5,-3.173600000000004e-11,5.498000000000001e-11,3.9004e-12,1.33e-07,-0.0001491353383458,2.6772076863096608,-2.9586000000000083e-10
bot1,-3.8,0.1,-4.9148e-12,1.5140000000000002e-11,3.683e-11,80,5,-2.5033000000000035e-11,1.5140000000000002e-11,4.9148e-12,1.33e-07,-0.0001176362781954,-2.7363774681651822,3.5122500000000046e-10
bot1,-3.7,0.1,-1.1062e-12,2.39e-12,-1.45e-12,80,5,3.850899999999997e-11,2.39e-12,1.1062e-12,1.33e-07,0.0001809633458646,-1.2318444044424648,2.573449999999998e-10
bot1,-3.6,0.1,2.787e-12,-2.422e-11,-5.6e-12,80,5,2.6435999999999977e-11,2.422e-11,2.787e-12,1.33e-07,0.0001242293233082,2.887232567086337,-3.8709999999999926e-10
bot1,-3.5,0.1,4.181e-12,-6.128000000000001e-11,-1.855e-11,80,5,-3.891099999999996e-11,6.128000000000001e-11,4.181e-12,1.33e-07,-0.000182852443609,1.2670795633450982,-1.9656999999999972e-10
bot1,-3.4,0.1,-4.9952e-12,1.65e-12,3.332e-11,80,5,-1.2878000000000015e-11,1.65e-12,4.9952e-12,1.33e-07,-6.0516917293233147e-05,-2.0784845445482985,2.5939000000000023e-10
bot1,-3.3000000000000003,0.1,1.6054e-12,-2.34e-12,6.1e-13,80,5,1.2967000000000016e-11,2.34e-12,1.6054e-12,1.33e-07,6.09351503759399e-05,-1.5900802044678763,-8.086499999999988e-11
bot1,-3.2,0.1,-2.4018e-12,1.795e-11,4.62e-12,80,5,-2.905099999999997e-11,1.795e-11,2.4018e-12,1.33e-07,-0.0001365178571428,2.090810424514567,1.2067499999999964e-10
bot1,-3.1,0.1,-4.2048e-12,6.06e-11,1.573e-11,80,5,3.7101999999999965e-11,6.06e-11,4.2048e-12,1.33e-07,0.0001743515037593,1.6002287089058318,1.961699999999996e-10
bot1,-3.0,0.1,5.0186e-12,-2.41e-12,-3.5240000000000006e-11,80,5,1.0182999999999992e-11,2.41e-12,5.0186e-12,1.33e-07,4.78524436090225e-05,-1.438230017292915,-2.6252999999999966e-10
bot1,-2.9,0.1,-2.1682e-12,3.3e-12,7e-13,80,5,-1.5404000000000018e-11,3.3e-12,2.1682e-12,1.33e-07,-7.238721804511286e-05,-2.066368153499714,1.0411000000000038e-10
bot1,-2.8000000000000003,0.1,1.9378e-12,-1.116e-11,-4.17e-12,80,5,3.100500000000004e-11,1.116e-11,1.9378e-12,1.33e-07,0.0001457001879699,1.347536721725044,-9.372499999999988e-11
bot1,-2.7,0.1,4.0328e-12,-5.834e-11,-1.413e-11,80,5,-3.4148999999999965e-11,5.834e-11,4.0328e-12,1.33e-07,-0.0001604746240601,2.010887483971373,-1.8826999999999999e-10
bot1,-2.6,0.1,-4.892e-12,6.45e-12,3.635e-11,80,5,-6.6489999999999916e-12,6.45e-12,4.892e-12,1.33e-07,-3.124530075187965e-05,-0.8688031936568388,2.5549499999999954e-10
bot1,-2.5,0.1,2.703e-12,-3.1400000000000004e-12,-2.04e-12,80,5,1.6949999999999984e-11,3.1400000000000004e-12,2.703e-12,1.33e-07,7.965225563909763e-05,-2.564082578480489,-1.3218000000000008e-10
bot1,-2.4,0.1,-1.502e-12,7.580000000000001e-12,3.3700000000000004e-12,80,5,-3.308500000000004e-11,7.580000000000001e-12,1.502e-12,1.33e-07,-0.0001554746240601,0.8038738781162913,7.391000000000038e-11
bot1,-2.3000000000000003,0.1,-3.914e-12,5.584e-11,1.158e-11,80,5,3.173200000000004e-11,5.584e-11,3.914e-12,1.33e-07,0.0001491165413533,2.5428503139489536,1.845850000000004e-10
bot1,-2.2,0.1,4.8444e-12,-1.489e-11,-3.733e-11,80,5,3.831999999999995e-12,1.489e-11,4.8444e-12,1.33e-07,1.8007518796992452e-05,-0.4732064234200268,-2.528099999999999e-10
bot1,-2.1,0.1,-3.1476e-12,2.92e-12,4.18e-12,80,5,-1.8829999999999985e-11,2.92e-12,3.1476e-12,1.33e-07,-8.848684210526305e-05,-3.262300581333474,1.5419999999999992e-10
bot1,-2.0,0.1,1.0784e-12,-4.13e-12,-3.1700000000000004e-12,80,5,3.4672000000000006e-11,4.13e-12,1.0784e-12,1.33e-07,0.000162932330827,0.4014641590368041,-5.4210000000000116e-11
bot1,-1.9,0.1,3.7868e-12,-5.23e-11,-1.05e-11,80,5,-2.9672000000000004e-11,5.23e-11,3.7868e-12,1.33e-07,-0.0001394360902255,3.267493994379783,-3.0486999999999995e-10
bot1,-1.8,0.1,-4.856e-12,1.936e-11,3.6620000000000005e-11,80,5,-2.6301999999999968e-11,1.936e-11,4.856e-12,1.33e-07,-0.0001235996240601,-2.049463777962826,3.349949999999997e-10
bot1,-1.7,0.1,-1.4736e-12,2.8e-12,-1.46e-12,80,5,3.7327e-11,2.8e-12,1.4736e-12,1.33e-07,0.0001754088345864,-1.3486901000911102,2.7461499999999994e-10
bot1,-1.6,0.1,2.6094e-12,-2.198e-11,-5.5600000000000005e-12,80,5,2.8621000000000003e-11,2.198e-11,2.6094e-12,1.33e-07,0.0001344971804511,2.300353125160895,-3.762450000000001e-10
bot1,-1.5,0.1,4.2506e-12,-6.150000000000001e-11,-1.82e-11,80,5,-3.792200000000001e-11,6.150000000000001e-11,4.2506e-12,1.33e-07,-0.000178204887218,1.401262135163828,-2.1166e-10
bot1,-1.4,0.1,-4.975e-12,1.1100000000000001e-12,3.3420000000000006e-11,80,5,-1.3711000000000004e-11,1.1100000000000001e-12,4.975e-12,1.33e-07,-6.44313909774436e-05,-2.2496685707568536,2.5188500000000006e-10
bot1,-1.3,0.1,1.5084e-12,-1.3800000000000002e-12,1.23e-12,80,5,1.2454999999999988e-11,1.3800000000000002e-12,1.5084e-12,1.33e-07,5.852913533834581e-05,-1.5082074678860011,-7.296999999999996e-11
bot1,-1.2,0.1,-2.484e-12,2.0860000000000003e-11,4.860000000000001e-12,80,5,-2.830500000000001e-11,2.0860000000000003e-11,2.484e-12,1.33e-07,-0.0001330122180451,2.1990178794540864,1.2342500000000012e-10
bot1,-1.1,0.1,-4.1526e-12,6.228e-11,1.73e-11,80,5,3.714000000000001e-11,6.228e-11,4.1526e-12,1.33e-07,0.0001745300751879,1.494634352881077,2.0124500000000004e-10
bot1,-1.0,0.1,4.944e-12,-6.6e-13,-3.397e-11,80,5,1.1943999999999995e-11,6.6e-13,4.944e-12,1.33e-07,5.612781954887215e-05,-1.859353806786767,-2.5373999999999994e-10
bot1,-0.9,0.1,-1.7638e-12,2.54e-12,-6.900000000000001e-13,80,5,-1.3608000000000004e-11,2.54e-12,1.7638e-12,1.33e-07,-6.394736842105263e-05,-1.736281168436094,9.034500000000008e-11
bot1,-0.8,0.1,2.2224e-12,-1.637e-11,-4.57e-12,80,5,3.001300000000001e-11,1.637e-11,2.2224e-12,1.33e-07,0.0001410385338345,1.9039679369818256,-5.181999999999995e-11
bot1,-0.7,0.1,4.2388e-12,-6.159e-11,-1.604e-11,80,5,-2.397199999999999e-11,6.159e-11,4.2388e-12,1.33e-07,-0.0001126503759398,0.3172436792932219,4.693799999999996e-10
bot1,-0.6,0.1,-2.572e-12,2.49e-12,3.31e-11,80,5,1.2388899999999996e-10,2.49e-12,2.572e-12,1.33e-07,0.0005821851503759,4.177017986322305,6.56391e-09
bot1,-0.5,0.1,2.90166e-11,4e-13,-3.0720000000000005e-11,80,5,1.28881e-09,4e-13,2.90166e-11,1.33e-07,0.0060564379699248,9.982963438273282,5.5430140000000006e-08
bot1,-0.4,0.1,2.5519e-10,3.2600000000000002e-12,-2.9357e-10,80,5,1.1209917e-08,3.2600000000000002e-12,2.5519e-10,1.33e-07,0.0526781813909774,9.46785305645932,2.390362e-07
bot1,-0.3,0.1,2.271e-09,5.894e-11,-2.2401e-09,80,5,4.909605e-08,5.894e-11,2.271e-09,1.33e-07,0.2307145206766916,7.981777692224553,4.769104149999999e-07
bot1,-0.2,0.1,1.00744e-08,-2.122e-11,-1.00536e-08,80,5,1.06592e-07,2.122e-11,1.00744e-08,1.33e-07,0.5009022556390976,5.082498802298562,5.153647499999999e-07
bot1,-0.1,0.1,2.35894e-08,-1.0100000000000001e-12,-2.34546e-08,80,5,1.5216899999999996e-07,1.0100000000000001e-12,2.35894e-08,1.33e-07,0.7150798872180448,3.0216187759543622,4.2589500000000004e-07
bot1,0.0,0.1,4.05082e-08,1.591e-11,-4.04948e-08,80,5,1.91771e-07,1.591e-11,4.05082e-08,1.33e-07,0.9011795112781952,2.096397735670257,4.646549999999999e-07
bot1,0.1,0.1,6.19436e-08,5.5550000000000005e-11,-6.17486e-08,80,5,2.451e-07,5.5550000000000005e-11,6.19436e-08,1.33e-07,1.1517857142857135,1.7220845368755278,6.365550000000008e-07
bot1,0.2,0.1,8.95282e-08,-2.54e-12,-8.934639999999999e-08,80,5,3.1908200000000013e-07,2.54e-12,8.95282e-08,1.33e-07,1.4994454887218047,1.5377304344091638,8.802950000000002e-07
bot1,0.3,0.1,1.2576e-07,-1.5600000000000002e-12,-1.2558e-07,80,5,4.21159e-07,1.5600000000000002e-12,1.2576e-07,1.33e-07,1.979130639097744,1.4399497749551091,1.1460899999999988e-06
bot1,0.4,0.1,1.7376e-07,5.966e-11,-1.7322e-07,80,5,5.482999999999999e-07,5.966e-11,1.7376e-07,1.33e-07,2.576597744360901,1.361504133356819,1.4052050000000009e-06
bot1,0.5,0.1,2.3542e-07,1.98e-12,-2.356e-07,80,5,7.022000000000001e-07,1.98e-12,2.3542e-07,1.33e-07,3.299812030075188,1.286281863976009,1.6919999999999994e-06
bot1,0.6,0.1,3.142e-07,-5.077e-11,-3.1406e-07,80,5,8.866999999999997e-07,5.077e-11,3.142e-07,1.33e-07,4.166823308270675,1.2192712420739888,1.995999999999997e-06
bot1,0.7,0.1,4.1276e-07,3.800000000000001e-13,-4.1272e-07,80,5,1.1013999999999995e-06,3.800000000000001e-13,4.1276e-07,1.33e-07,5.175751879699246,1.1536263902084485,2.1615000000000017e-06
bot1,0.8,0.1,5.3448e-07,5.370000000000001e-12,-5.3386e-07,80,5,1.3190000000000002e-06,5.370000000000001e-12,5.3448e-07,1.33e-07,6.198308270676691,1.0730435690085696,2.0995000000000025e-06
bot1,0.9,0.1,6.7656e-07,-2.99e-11,-6.7662e-07,80,5,1.5213000000000002e-06,2.99e-11,6.7656e-07,1.33e-07,7.148966165413532,0.9784794826147936,1.8699999999999967e-06
bot1,1.0,0.1,8.3874e-07,-1.8200000000000003e-12,-8.3884e-07,80,5,1.6929999999999995e-06,1.8200000000000003e-12,8.3874e-07,1.33e-07,7.955827067669168,0.881140897423038,1.3875000000000032e-06
bot1,1.1,0.1,1.01516e-06,6.106000000000001e-11,-1.01386e-06,80,5,1.7988000000000009e-06,6.106000000000001e-11,1.01516e-06,1.33e-07,8.453007518796994,0.7750534155053492,8.285000000000107e-07
bot1,1.2,0.1,1.1985e-06,-7.100000000000001e-13,-1.1984e-06,80,5,1.8587000000000016e-06,7.100000000000001e-13,1.1985e-06,1.33e-07,8.734492481203013,0.6775532554496434,5.334999999999884e-07
bot1,1.3,0.1,1.3869000000000002e-06,-3.7640000000000005e-11,-1.3879e-06,80,5,1.9054999999999983e-06,3.7640000000000005e-11,1.3869000000000002e-06,1.33e-07,8.954417293233073,0.5995454334741706,3.6399999999999437e-07
bot1,1.4,0.1,1.5796e-06,-3.46e-12,-1.5803e-06,80,5,1.9315000000000005e-06,3.46e-12,1.5796e-06,1.33e-07,9.076597744360903,0.5335628723477637,9.000000000001739e-08
bot1,1.5,0.1,1.7732000000000002e-06,5.0570000000000006e-11,-1.7721000000000002e-06,80,5,1.923500000000002e-06,5.0570000000000006e-11,1.7732000000000002e-06,1.33e-07,9.039003759398504,0.4733034579067753,-1.2750000000000434e-07
bot1,1.6,0.1,1.9643000000000004e-06,3.3e-12,-1.9653e-06,80,5,1.906e-06,3.3e-12,1.9643000000000004e-06,1.33e-07,8.95676691729323,0.4228430888807867,-1.275000000000149e-07
bot1,1.7,0.1,2.1544e-06,-5.976000000000001e-11,-2.1554e-06,80,5,1.897999999999999e-06,5.976000000000001e-11,2.1544e-06,1.33e-07,8.91917293233082,0.3836563119168846,-1.0000000000000753e-08
bot1,1.8,0.1,2.3439e-06,-2.5800000000000003e-12,-2.3449e-06,80,5,1.904e-06,2.5800000000000003e-12,2.3439e-06,1.33e-07,8.947368421052627,0.3534294288939451,-2.4999999999991267e-08
bot1,1.9,0.1,2.5352000000000003e-06,6.192e-11,-2.5339000000000004e-06,80,5,1.8930000000000008e-06,6.192e-11,2.5352000000000003e-06,1.33e-07,8.895676691729324,0.325144046992869,-1.3499999999999958e-07
bot1,2.0,0.1,2.7225e-06,2.16e-12,-2.7233000000000003e-06,80,5,1.877e-06,2.16e-12,2.7225e-06,1.33e-07,8.820488721804507,0.2998514941373154,-4.2500000000008494e-08
bot1,2.1,0.1,2.9106e-06,-5.942e-11,-2.9112e-06,80,5,1.8844999999999997e-06,5.942e-11,2.9106e-06,1.33e-07,8.855733082706761,0.2815487013718207,8.99999999999961e-08
bot1,2.2,0.1,3.0994000000000003e-06,-1.55e-12,-3.1000000000000004e-06,80,5,1.8949999999999988e-06,1.55e-12,3.0994000000000003e-06,1.33e-07,8.905075187969917,0.2658028398472775,7.000000000001578e-08
bot1,2.3000000000000003,0.1,3.2896e-06,5.255e-11,-3.2893000000000004e-06,80,5,1.8985000000000024e-06,5.255e-11,3.2896e-06,1.33e-07,8.921522556390986,0.2509464158982813,2.25000000000176e-08
bot1,2.4,0.1,3.4791000000000003e-06,2.03e-12,-3.4789000000000003e-06,80,5,1.8995000000000023e-06,2.03e-12,3.4791000000000003e-06,1.33e-07,8.926221804511286,0.2373189952824231,5.2499999999988135e-08
bot1,2.5,0.1,3.6695e-06,-4.137e-11,-3.6699e-06,80,5,1.909e-06,4.137e-11,3.6695e-06,1.33e-07,8.970864661654133,0.2261082067910933,9.49999999999859e-08
bot1,2.6,0.1,3.860900000000001e-06,-1.1100000000000001e-12,-3.8614e-06,80,5,1.9184999999999995e-06,1.1100000000000001e-12,3.860900000000001e-06,1.33e-07,9.01550751879699,0.2159557097187024,1.1749999999998225e-07
bot1,2.7,0.1,4.0532e-06,2.486e-11,-4.0534e-06,80,5,1.9324999999999963e-06,2.486e-11,4.0532e-06,1.33e-07,9.081296992481183,0.20717304736221,1.3250000000001514e-07
bot1,2.8000000000000003,0.1,4.2474e-06,1.78e-12,-4.2460000000000005e-06,80,5,1.9450000000000026e-06,1.78e-12,4.2474e-06,1.33e-07,9.140037593984973,0.1990003689963162,1.025000000000343e-07
bot1,2.9,0.1,4.4422e-06,-1.1150000000000002e-11,-4.4434000000000005e-06,80,5,1.953000000000003e-06,1.1150000000000002e-11,4.4422e-06,1.33e-07,9.17763157894738,0.1910379079473714,4.499999999997168e-08
bot1,3.0,0.1,4.638e-06,-8.490000000000001e-12,-4.637800000000001e-06,80,5,1.953999999999997e-06,8.490000000000001e-12,4.638e-06,1.33e-07,9.182330827067652,0.1830934368011492,1.6749999999998598e-07
bot1,3.1,0.1,4.833e-06,3.2e-12,-4.8343000000000005e-06,80,5,1.9865000000000004e-06,3.2e-12,4.833e-06,1.33e-07,9.335056390977444,0.1784730317499059,2.475000000000131e-07
bot1,3.2,0.1,5.035300000000001e-06,2.3700000000000003e-11,-5.0321000000000005e-06,80,5,2.0034999999999995e-06,2.3700000000000003e-11,5.035300000000001e-06,1.33e-07,9.414943609022552,0.1729601488029207,6.500000000001543e-08
bot1,3.3000000000000003,0.1,5.2337e-06,2.7e-13,-5.2353000000000005e-06,80,5,1.9995000000000035e-06,2.7e-13,5.2337e-06,1.33e-07,9.396146616541367,0.1659508943700152,4.000000000002424e-08
bot1,3.4,0.1,5.435200000000001e-06,-4.156e-11,-5.4350000000000005e-06,80,5,2.0115000000000044e-06,4.156e-11,5.435200000000001e-06,1.33e-07,9.45253759398498,0.1608107976892683,2.424999999999603e-07
bot1,3.5,0.1,5.636000000000001e-06,-2.57e-12,-5.637500000000001e-06,80,5,2.0479999999999955e-06,2.57e-12,5.636000000000001e-06,1.33e-07,9.624060150375916,0.1577706267094479,2.3249999999995905e-07
bot1,3.6,0.1,5.8448e-06,5.2900000000000006e-11,-5.840800000000001e-06,80,5,2.057999999999996e-06,5.2900000000000006e-11,5.8448e-06,1.33e-07,9.671052631578927,0.1530603696296449,5.0000000000109594e-09
bot1,3.7,0.1,6.0476e-06,2.92e-12,-6.0499e-06,80,5,2.0489999999999977e-06,2.92e-12,6.0476e-06,1.33e-07,9.628759398496229,0.1471494282240291,5.750000000004344e-08
bot1,3.8,0.1,6.2546e-06,-6.122000000000001e-11,-6.2546e-06,80,5,2.069500000000005e-06,6.122000000000001e-11,6.2546e-06,1.33e-07,9.72509398496243,0.143751451489509,2.525000000000479e-07
bot1,3.9,0.1,6.461500000000001e-06,-1.96e-12,-6.4629e-06,80,5,2.099500000000007e-06,1.96e-12,6.461500000000001e-06,1.33e-07,9.86607142857146,0.1410959844181649,1.949999999999832e-07
bot1,4.0,0.1,6.674500000000001e-06,6.298e-11,-6.671200000000001e-06,80,5,2.108500000000001e-06,6.298e-11,6.674500000000001e-06,1.33e-07,9.90836466165414,0.1372852002310944,1.7499999999951575e-08
bot1,4.1,0.1,6.8832e-06,2.72e-12,-6.883000000000001e-06,80,5,2.102999999999997e-06,2.72e-12,6.8832e-06,1.33e-07,9.882518796992468,0.132698917442111,5.000000000000159e-08
bot1,4.2,0.1,7.095100000000001e-06,-5.686e-11,-7.094700000000001e-06,80,5,2.1185000000000014e-06,5.686e-11,7.095100000000001e-06,1.33e-07,9.95535714285715,0.1297138752849268,1.6750000000000713e-07
bot1,4.3,0.1,7.306900000000002e-06,-9.5e-13,-7.307e-06,80,5,2.136499999999999e-06,9.5e-13,7.306900000000002e-06,1.33e-07,10.039943609022547,0.1269895110788431,1.8499999999997986e-07
bot1,4.4,0.1,7.522400000000001e-06,4.659e-11,-7.520900000000002e-06,80,5,2.1554999999999974e-06,4.659e-11,7.522400000000001e-06,1.33e-07,10.12922932330826,0.1244778081043617,1.0499999999997393e-07
bot1,4.5,0.1,7.738000000000001e-06,1.09e-12,-7.735900000000002e-06,80,5,2.1574999999999937e-06,1.09e-12,7.738000000000001e-06,1.33e-07,10.13862781954884,0.1211185171935146,4.4999999999971584e-08
bot1,4.6000000000000005,0.1,7.9539e-06,-2.9850000000000005e-11,-7.9547e-06,80,5,2.164499999999992e-06,2.9850000000000005e-11,7.9539e-06,1.33e-07,10.171522556390938,0.1182058500484471,4.750000000006812e-08
bot1,4.7,0.1,8.1709e-06,-2.21e-12,-8.170800000000001e-06,80,5,2.167000000000008e-06,2.21e-12,8.1709e-06,1.33e-07,10.183270676691762,0.1152102537962389,2.075000000000322e-07
bot1,4.8,0.1,8.3873e-06,1.619e-11,-8.3889e-06,80,5,2.2059999999999984e-06,1.619e-11,8.3873e-06,1.33e-07,10.366541353383449,0.1141958431324451,2.649999999999817e-07
bot1,4.9,0.1,8.6121e-06,5.48e-12,-8.6067e-06,80,5,2.220000000000004e-06,5.48e-12,8.6121e-06,1.33e-07,10.432330827067686,0.1120123036891039,-2.349999999999158e-07
bot1,5.0,0.1,8.831300000000001e-06,-4.300000000000001e-12,-8.8332e-06,80,5,2.1590000000000152e-06,4.300000000000001e-12,8.831300000000001e-06,1.33e-07,10.145676691729392,0.107532604682126,5.10000000000036e-07
bot1,5.0,0.1,8.828000000000001e-06,8.26e-12,-8.828900000000001e-06,80,5,2.271000000000007e-06,8.26e-12,8.828000000000001e-06,1.33e-07,10.671992481203038,0.1131414126190581,-1.0049999999998229e-06
bot1,4.9,0.1,8.604200000000001e-06,1.342e-11,-8.599500000000001e-06,80,5,2.2594999999999967e-06,1.342e-11,8.604200000000001e-06,1.33e-07,10.617951127819532,0.1141023543156548,4.000000000001144e-08
bot1,4.8,0.1,8.376100000000001e-06,-2.21e-12,-8.3788e-06,80,5,2.263000000000005e-06,2.21e-12,8.376100000000001e-06,1.33e-07,10.63439849624062,0.1173381806799288,5.999999999995363e-08
bot1,4.7,0.1,8.1516e-06,-3.098e-11,-8.150700000000001e-06,80,5,2.2475000000000064e-06,3.098e-11,8.1516e-06,1.33e-07,10.561560150375968,0.1197745534085563,3.00000000000066e-07
bot1,4.6000000000000005,0.1,7.926600000000001e-06,-1.3400000000000006e-12,-7.927400000000001e-06,80,5,2.202999999999992e-06,1.3400000000000006e-12,7.926600000000001e-06,1.33e-07,10.352443609022515,0.1206607875673392,2.750000000000183e-07
bot1,4.5,0.1,7.711000000000001e-06,4.618e-11,-7.705700000000001e-06,80,5,2.1925000000000027e-06,4.618e-11,7.711000000000001e-06,1.33e-07,10.303101503759407,0.1235765369028251,-7.500000000037615e-09
bot1,4.4,0.1,7.4881e-06,2.11e-12,-7.4905e-06,80,5,2.2044999999999994e-06,2.11e-12,7.4881e-06,1.33e-07,10.359492481203002,0.1278515925881683,7.000000000002638e-08
bot1,4.3,0.1,7.270100000000002e-06,-6.084000000000001e-11,-7.269700000000002e-06,80,5,2.178499999999997e-06,6.084000000000001e-11,7.270100000000002e-06,1.33e-07,10.237312030075174,0.1301734940109299,3.0500000000001e-07
bot1,4.2,0.1,7.0524e-06,-2.28e-12,-7.0535e-06,80,5,2.1434999999999973e-06,2.28e-12,7.0524e-06,1.33e-07,10.072838345864646,0.1319770064973101,2.1999999999999305e-07
bot1,4.1,0.1,6.841400000000001e-06,6.088e-11,-6.837500000000001e-06,80,5,2.134499999999999e-06,6.088e-11,6.841400000000001e-06,1.33e-07,10.030545112781947,0.1355913922397532,1.7499999999951535e-08
bot1,4.0,0.1,6.6255e-06,7.100000000000001e-13,-6.625000000000001e-06,80,5,2.140000000000007e-06,7.100000000000001e-13,6.6255e-06,1.33e-07,10.05639097744364,0.1402832792673305,1.124999999999906e-07
bot1,3.9,0.1,6.4134e-06,-5.8140000000000006e-11,-6.4135000000000005e-06,80,5,2.1120000000000007e-06,5.8140000000000006e-11,6.4134e-06,1.33e-07,9.92481203007519,0.1430493792179456,2.450000000000293e-07
bot1,3.8,0.1,6.203100000000001e-06,-1.02e-12,-6.2029e-06,80,5,2.091000000000001e-06,1.02e-12,6.203100000000001e-06,1.33e-07,9.826127819548876,0.1464232585229965,1.7000000000001513e-07
bot1,3.7,0.1,5.995200000000001e-06,4.961e-11,-5.9939e-06,80,5,2.0779999999999977e-06,4.961e-11,5.995200000000001e-06,1.33e-07,9.76503759398495,0.1505888922223695,1.3000000000001178e-07
bot1,3.6,0.1,5.787500000000001e-06,1.4800000000000006e-12,-5.7865e-06,80,5,2.064999999999999e-06,1.4800000000000006e-12,5.787500000000001e-06,1.33e-07,9.703947368421042,0.1549914167132814,1.4749999999998448e-07
bot1,3.5,0.1,5.5822000000000005e-06,-3.224e-11,-5.582700000000001e-06,80,5,2.048500000000001e-06,3.224e-11,5.5822000000000005e-06,1.33e-07,9.626409774436093,0.1594317860966663,1.4749999999998448e-07
bot1,3.4,0.1,5.3778e-06,6.000000000000001e-14,-5.3786000000000005e-06,80,5,2.035500000000001e-06,6.000000000000001e-14,5.3778e-06,1.33e-07,9.56531954887219,0.164433230976462,1.8749999999998786e-07
bot1,3.3000000000000003,0.1,5.175100000000001e-06,1.561e-11,-5.1758000000000005e-06,80,5,2.011000000000004e-06,1.561e-11,5.175100000000001e-06,1.33e-07,9.450187969924825,0.1687959382957784,1.800000000000138e-07
bot1,3.2,0.1,4.9756e-06,4.02e-12,-4.9733e-06,80,5,1.9994999999999992e-06,4.02e-12,4.9756e-06,1.33e-07,9.396146616541348,0.1746359016407781,1.0250000000003409e-07
