VG,VD,W,L,ID,abs_ID,log_ID,sweep,device
-2.0,0.1,5,5,3.8096e-12,3.8096e-12,-11.419120621939195,linear,bot1
-1.9,0.1,5,5,-4.8362e-12,4.8362e-12,-11.315495747285969,linear,bot1
-1.8,0.1,5,5,-1.304e-12,1.304e-12,-11.884722408604098,linear,bot1
-1.7,0.1,5,5,2.5812e-12,2.5812e-12,-11.588178343564913,linear,bot1
-1.6,0.1,5,5,4.234e-12,4.234e-12,-11.373249146316606,linear,bot1
-1.5,0.1,5,5,-4.9954e-12,4.9954e-12,-11.301429730493561,linear,bot1
-1.4,0.1,5,5,1.3398e-12,1.3398e-12,-11.872960026544918,linear,bot1
-1.3,0.1,5,5,-2.6268e-12,2.6268e-12,-11.580572992384443,linear,bot1
-1.2,0.1,5,5,-4.2138e-12,4.2138e-12,-11.37532608120007,linear,bot1
-1.1,0.1,5,5,4.9094e-12,4.9094e-12,-11.308971581728686,linear,bot1
-1.0,0.1,5,5,-1.3664e-12,1.3664e-12,-11.86442214665507,linear,bot1
-0.9,0.1,5,5,2.3416e-12,2.3416e-12,-11.630487290574264,linear,bot1
-0.8,0.1,5,5,4.1396e-12,4.1396e-12,-11.383041621725832,linear,bot1
-0.7,0.1,5,5,-5.042e-12,5.042e-12,-11.297397158659573,linear,bot1
-0.6,0.1,5,5,2.016e-12,2.016e-12,-11.695509472226512,linear,bot1
-0.5,0.1,5,5,-1.9958e-12,1.9958e-12,-11.69988298171013,linear,bot1
-0.4,0.1,5,5,-4.122e-12,4.122e-12,-11.384892012556806,linear,bot1
-0.3,0.1,5,5,4.9876e-12,4.9876e-12,-11.302108383733703,linear,bot1
-0.2,0.1,5,5,-2.4442e-12,2.4442e-12,-11.611863260236927,linear,bot1
-0.1,0.1,5,5,1.737e-12,1.737e-12,-11.760200181552902,linear,bot1
0.0,0.1,5,5,3.7736e-12,3.7736e-12,-11.423244136762355,linear,bot1
0.1,0.1,5,5,-4.8048e-12,4.8048e-12,-11.318324685145095,linear,bot1
0.2,0.1,5,5,-1.5998e-12,1.5998e-12,-11.79593430754752,linear,bot1
0.3,0.1,5,5,2.3096e-12,2.3096e-12,-11.636463229127337,linear,bot1
0.4,0.1,5,5,4.1284e-12,4.1284e-12,-11.384218230620975,linear,bot1
0.5,0.1,5,5,-4.962e-12,4.962e-12,-11.30434324006381,linear,bot1
0.6,0.1,5,5,2.2062e-12,2.2062e-12,-11.656355119747493,linear,bot1
0.7,0.1,5,5,-1.901e-12,1.901e-12,-11.721017883134557,linear,bot1
0.8,0.1,5,5,-4.0482e-12,4.0482e-12,-11.392738039461062,linear,bot1
0.9,0.1,5,5,4.9278e-12,4.9278e-12,-11.307346926789043,linear,bot1
1.0,0.1,5,5,-2.8002e-12,2.8002e-12,-11.552810948731201,linear,bot1
1.1,0.1,5,5,1.395e-12,1.395e-12,-11.855425792390383,linear,bot1
1.2,0.1,5,5,3.9006e-12,3.9006e-12,-11.408868583576876,linear,bot1
1.3,0.1,5,5,-4.279e-12,4.279e-12,-11.368657713516066,linear,bot1
1.4,0.1,5,5,4.0846e-12,4.0846e-12,-11.388850466989208,linear,bot1
1.5,0.1,5,5,3.69556e-11,3.69556e-11,-10.432319742253695,linear,bot1
1.6,0.1,5,5,2.6004e-10,2.6004e-10,-9.584959842632557,linear,bot1
1.7,0.1,5,5,8.7553e-10,8.7553e-10,-9.057728968242742,linear,bot1
1.8,0.1,5,5,2.276e-09,2.276e-09,-8.642827742276966,linear,bot1
1.9,0.1,5,5,4.5705e-09,4.5705e-09,-8.340036286721645,linear,bot1
2.0,0.1,5,5,7.7294e-09,7.7294e-09,-8.111854217181623,linear,bot1
2.1,0.1,5,5,1.14658e-08,1.14658e-08,-7.940595637971593,linear,bot1
2.2,0.1,5,5,1.59006e-08,1.59006e-08,-7.798586487517742,linear,bot1
2.3000000000000003,0.1,5,5,2.1062e-08,2.1062e-08,-7.67650039156825,linear,bot1
2.4,0.1,5,5,2.7065e-08,2.7065e-08,-7.56759196857292,linear,bot1
2.5,0.1,5,5,3.38962e-08,3.38962e-08,-7.4698489865029325,linear,bot1
2.6,0.1,5,5,4.16998e-08,4.16998e-08,-7.379866027978393,linear,bot1
2.7,0.1,5,5,5.05634e-08,5.05634e-08,-7.296163730778039,linear,bot1
2.8000000000000003,0.1,5,5,6.045319999999999e-08,6.045319999999999e-08,-7.218580705463929,linear,bot1
2.9,0.1,5,5,7.119539999999999e-08,7.119539999999999e-08,-7.147548065620921,linear,bot1
3.0,0.1,5,5,8.2576e-08,8.2576e-08,-7.083146158274124,linear,bot1
3.1,0.1,5,5,9.45674e-08,9.45674e-08,-7.024258551126293,linear,bot1
3.2,0.1,5,5,1.0679939999999998e-07,1.0679939999999998e-07,-6.971431187170956,linear,bot1
3.3000000000000003,0.1,5,5,1.1942e-07,1.1942e-07,-6.922922933154239,linear,bot1
3.4,0.1,5,5,1.3218e-07,1.3218e-07,-6.878834252465588,linear,bot1
3.5,0.1,5,5,1.4514e-07,1.4514e-07,-6.838212881254477,linear,bot1
3.6,0.1,5,5,1.5802e-07,1.5802e-07,-6.801287942539599,linear,bot1
3.7,0.1,5,5,1.7102e-07,1.7102e-07,-6.766953097901817,linear,bot1
3.8,0.1,5,5,1.84e-07,1.84e-07,-6.735182176990463,linear,bot1
3.9,0.1,5,5,1.973e-07,1.973e-07,-6.704872914747809,linear,bot1
4.0,0.1,5,5,2.1018e-07,2.1018e-07,-6.677408612298664,linear,bot1
4.1,0.1,5,5,2.2338e-07,2.2338e-07,-6.650955713397964,linear,bot1
4.2,0.1,5,5,2.3674e-07,2.3674e-07,-6.625728356724021,linear,bot1
4.3,0.1,5,5,2.4984e-07,2.4984e-07,-6.602338028777858,linear,bot1
4.4,0.1,5,5,2.6314e-07,2.6314e-07,-6.579813129645714,linear,bot1
4.5,0.1,5,5,2.766e-07,2.766e-07,-6.558147824226708,linear,bot1
4.6000000000000005,0.1,5,5,2.8996e-07,2.8996e-07,-6.5376619089198025,linear,bot1
4.7,0.1,5,5,3.034e-07,3.034e-07,-6.517984423549288,linear,bot1
4.8,0.1,5,5,3.1682e-07,3.1682e-07,-6.499187410367034,linear,bot1
4.9,0.1,5,5,3.3044e-07,3.3044e-07,-6.480907386509644,linear,bot1
5.0,0.1,5,5,3.4412e-07,3.4412e-07,-6.463290085771327,linear,bot1
-2.0,0.1,5,5,4.201e-12,4.201e-12,-11.376647318462007,linear,bot1rep
-1.9,0.1,5,5,-4.9648e-12,4.9648e-12,-11.30409824175991,linear,bot1rep
-1.8,0.1,5,5,9.962e-13,9.962e-13,-12.001653462603635,linear,bot1rep
-1.7,0.1,5,5,-2.744e-12,2.744e-12,-11.561615892965285,linear,bot1rep
-1.6,0.1,5,5,-4.2588e-12,4.2588e-12,-11.370712754604781,linear,bot1rep
-1.5,0.1,5,5,-4.4252e-12,4.4252e-12,-11.354067096280613,linear,bot1rep
-1.4,0.1,5,5,-8.334e-13,8.334e-13,-12.079146503878741,linear,bot1rep
-1.3,0.1,5,5,2.9196e-12,2.9196e-12,-11.534676645021557,linear,bot1rep
-1.2,0.1,5,5,4.3606e-12,4.3606e-12,-11.360453749547654,linear,bot1rep
-1.1,0.1,5,5,4.2708e-12,4.2708e-12,-11.369490765948528,linear,bot1rep
-1.0,0.1,5,5,4.734e-13,4.734e-13,-12.324771746406936,linear,bot1rep
-0.9,0.1,5,5,-3.0648e-12,3.0648e-12,-11.513597861024978,linear,bot1rep
-0.8,0.1,5,5,-4.3116e-12,4.3116e-12,-11.365361536747725,linear,bot1rep
-0.7,0.1,5,5,-4.1416e-12,4.1416e-12,-11.3828318480262,linear,bot1rep
-0.6,0.1,5,5,-5.892e-13,5.892e-13,-12.229737261829406,linear,bot1rep
-0.5,0.1,5,5,3.1248e-12,3.1248e-12,-11.505177774056222,linear,bot1rep
-0.4,0.1,5,5,4.3486e-12,4.3486e-12,-11.361650538479092,linear,bot1rep
-0.3,0.1,5,5,4.22e-12,4.22e-12,-11.374687549038326,linear,bot1rep
-0.2,0.1,5,5,5.116e-13,5.116e-13,-12.291069464193384,linear,bot1rep
-0.1,0.1,5,5,-3.1494e-12,3.1494e-12,-11.501772176848215,linear,bot1rep
0.0,0.1,5,5,-4.3024e-12,4.3024e-12,-11.366289215120773,linear,bot1rep
0.1,0.1,5,5,-4.3318e-12,4.3318e-12,-11.363331603039676,linear,bot1rep
0.2,0.1,5,5,-7.959999999999999e-13,7.959999999999999e-13,-12.099086932262331,linear,bot1rep
0.3,0.1,5,5,2.9734e-12,2.9734e-12,-11.526746662908266,linear,bot1rep
0.4,0.1,5,5,4.2746e-12,4.2746e-12,-11.36910451857801,linear,bot1rep
0.5,0.1,5,5,4.2418e-12,4.2418e-12,-11.372449812232478,linear,bot1rep
0.6,0.1,5,5,4.476e-13,4.476e-13,-12.349109922143688,linear,bot1rep
0.7,0.1,5,5,-3.1102e-12,3.1102e-12,-11.50721168296557,linear,bot1rep
0.8,0.1,5,5,-4.3692e-12,4.3692e-12,-11.35959807501843,linear,bot1rep
0.9,0.1,5,5,-4.103e-12,4.103e-12,-11.386898483033088,linear,bot1rep
1.0,0.1,5,5,-4.06e-14,4.06e-14,-13.391473966422806,linear,bot1rep
1.1,0.1,5,5,3.4648e-12,3.4648e-12,-11.460321829278215,linear,bot1rep
1.2,0.1,5,5,-4.8036e-12,4.8036e-12,-11.31843316384727,linear,bot1rep
1.3,0.1,5,5,-1.9732e-12,1.9732e-12,-11.704828893209896,linear,bot1rep
1.4,0.1,5,5,2.1498e-12,2.1498e-12,-11.667601941450245,linear,bot1rep
1.5,0.1,5,5,4.088e-12,4.088e-12,-11.388489112873344,linear,bot1rep
1.6,0.1,5,5,-4.971e-12,4.971e-12,-11.303556236861,linear,bot1rep
1.7,0.1,5,5,1.697e-12,1.697e-12,-11.770318157682324,linear,bot1rep
1.8,0.1,5,5,-2.3996e-12,2.3996e-12,-11.619861146734582,linear,bot1rep
1.9,0.1,5,5,-4.159e-12,4.159e-12,-11.381011079635066,linear,bot1rep
2.0,0.1,5,5,5.031e-12,5.031e-12,-11.298345682674253,linear,bot1rep
2.1,0.1,5,5,-1.6688e-12,1.6688e-12,-11.777595708917545,linear,bot1rep
2.2,0.1,5,5,2.5678e-12,2.5678e-12,-11.59043880547815,linear,bot1rep
2.3000000000000003,0.1,5,5,4.4072e-12,4.4072e-12,-11.355837240634735,linear,bot1rep
2.4,0.1,5,5,-2.7934e-12,2.7934e-12,-11.553866871189637,linear,bot1rep
2.5,0.1,5,5,2.24988e-11,2.24988e-11,-10.647840644878691,linear,bot1rep
2.6,0.1,5,5,1.9514e-10,1.9514e-10,-9.709653699346067,linear,bot1rep
2.7,0.1,5,5,1.05717e-09,1.05717e-09,-8.975855169622164,linear,bot1rep
2.8000000000000003,0.1,5,5,3.6329e-09,3.6329e-09,-8.439746556457656,linear,bot1rep
2.9,0.1,5,5,8.175e-09,8.175e-09,-8.087512238667676,linear,bot1rep
3.0,0.1,5,5,1.43476e-08,1.43476e-08,-7.843220739621824,linear,bot1rep
3.1,0.1,5,5,2.1641e-08,2.1641e-08,-7.664722674968071,linear,bot1rep
3.2,0.1,5,5,2.97228e-08,2.97228e-08,-7.5269102808041115,linear,bot1rep
3.3000000000000003,0.1,5,5,3.82958e-08,3.82958e-08,-7.4168488536252095,linear,bot1rep
3.4,0.1,5,5,4.737719999999999e-08,4.737719999999999e-08,-7.3244306097272736,linear,bot1rep
3.5,0.1,5,5,5.6819e-08,5.6819e-08,-7.245506414018638,linear,bot1rep
3.6,0.1,5,5,6.657139999999999e-08,6.657139999999999e-08,-7.176712309716779,linear,bot1rep
3.7,0.1,5,5,7.66352e-08,7.66352e-08,-7.11557170485326,linear,bot1rep
3.8,0.1,5,5,8.6942e-08,8.6942e-08,-7.060770373588784,linear,bot1rep
3.9,0.1,5,5,9.74288e-08,9.74288e-08,-7.011312646486289,linear,bot1rep
4.0,0.1,5,5,1.081776e-07,1.081776e-07,-6.965862657931102,linear,bot1rep
4.1,0.1,5,5,1.1906e-07,1.1906e-07,-6.924234121784266,linear,bot1rep
4.2,0.1,5,5,1.3018e-07,1.3018e-07,-6.885455732794136,linear,bot1rep
4.3,0.1,5,5,1.4162e-07,1.4162e-07,-6.848875409949318,linear,bot1rep
4.4,0.1,5,5,1.5302e-07,1.5302e-07,-6.815251802372059,linear,bot1rep
4.5,0.1,5,5,1.6478e-07,1.6478e-07,-6.783095501478328,linear,bot1rep
4.6000000000000005,0.1,5,5,1.7668e-07,1.7668e-07,-6.752812609413646,linear,bot1rep
4.7,0.1,5,5,1.8862e-07,1.8862e-07,-6.724412259482439,linear,bot1rep
4.8,0.1,5,5,2.0084e-07,2.0084e-07,-6.697149787297691,linear,bot1rep
4.9,0.1,5,5,2.1318e-07,2.1318e-07,-6.671253542127029,linear,bot1rep
5.0,0.1,5,5,2.2586e-07,2.2586e-07,-6.646160676195457,linear,bot1rep
-2.0,0.1,5,5,-4.7324e-12,4.7324e-12,-11.3249185543123,linear,top1
-1.9,0.1,5,5,3.221e-12,3.221e-12,-11.492009275180308,linear,top1
-1.8,0.1,5,5,-7.893999999999999e-13,7.893999999999999e-13,-12.102702877940503,linear,top1
-1.7,0.1,5,5,-3.4924e-12,3.4924e-12,-11.456876020452135,linear,top1
-1.6,0.1,5,5,4.6598e-12,4.6598e-12,-11.331632722958146,linear,top1
-1.5,0.1,5,5,-3.7198e-12,3.7198e-12,-11.429480409911484,linear,top1
-1.4,0.1,5,5,-1.28e-14,1.28e-14,-13.892790030352131,linear,top1
-1.3,0.1,5,5,3.1372e-12,3.1372e-12,-11.503457793661948,linear,top1
-1.2,0.1,5,5,4.2256e-12,4.2256e-12,-11.374111616137151,linear,top1
-1.1,0.1,5,5,4.058e-12,4.058e-12,-11.391687957302674,linear,top1
-1.0,0.1,5,5,3.406e-13,3.406e-13,-12.467755356373418,linear,top1
-0.9,0.1,5,5,-2.9984e-12,2.9984e-12,-11.523110430792316,linear,top1
-0.8,0.1,5,5,-4.228e-12,4.228e-12,-11.373865021364612,linear,top1
-0.7,0.1,5,5,-4.2024e-12,4.2024e-12,-11.376502612204948,linear,top1
-0.6,0.1,5,5,-9.446e-13,9.446e-13,-12.024752058759319,linear,top1
-0.5,0.1,5,5,2.7178e-12,2.7178e-12,-11.565782505694852,linear,top1
-0.4,0.1,5,5,4.2836e-12,4.2836e-12,-11.368191090105201,linear,top1
-0.3,0.1,5,5,-2.0432e-12,2.0432e-12,-11.68968912008066,linear,top1
-0.2,0.1,5,5,3.41716e-11,3.41716e-11,-10.466334685968489,linear,top1
