device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
top1,-2.0,0.1,2.6584e-12,-2.116e-11,-6.45e-12,20,10,2.6436e-11,2.116e-11,2.6584e-12,1.33e-07,0.0009938345864661,2.9161399309542007,-3.76685e-10
top1,-1.9,0.1,4.1926e-12,-5.005e-11,-2.223e-11,20,10,-3.757800000000001e-11,5.005e-11,4.1926e-12,1.33e-07,-0.0014127067669172,1.3088282903706718,-1.97925e-10
top1,-1.8,0.1,-4.8572e-12,1.1900000000000002e-12,3.9130000000000005e-11,20,10,-1.3148999999999988e-11,1.1900000000000002e-12,4.8572e-12,1.33e-07,-0.0004943233082706,-2.142900137222899,2.5357999999999976e-10
top1,-1.7,0.1,1.5628e-12,-2.28e-12,5.7e-13,20,10,1.3138000000000002e-11,2.28e-12,1.5628e-12,1.33e-07,0.000493909774436,-1.6907951531977088,-7.220500000000009e-11
top1,-1.6,0.1,-2.2296e-12,1.549e-11,5.5e-12,20,10,-2.7590000000000005e-11,1.549e-11,2.2296e-12,1.33e-07,-0.0010372180451127,2.0163252325997854,1.1337500000000006e-10
top1,-1.5,0.1,-3.9552e-12,4.844e-11,1.97e-11,20,10,3.581300000000001e-11,4.844e-11,3.9552e-12,1.33e-07,0.0013463533834586,1.7244207987844722,1.8769500000000007e-10
top1,-1.4,0.1,4.933e-12,-1.37e-12,-4.1030000000000006e-11,20,10,9.949e-12,1.37e-12,4.933e-12,1.33e-07,0.0003740225563909,-1.5185874867834852,-2.5156500000000005e-10
top1,-1.3,0.1,-1.9654e-12,2.3300000000000004e-12,-1.2000000000000002e-13,20,10,-1.4499999999999987e-11,2.3300000000000004e-12,1.9654e-12,1.33e-07,-0.0005451127819548,-1.924868684120512,9.960499999999995e-11
top1,-1.2,0.1,2.033e-12,-1.303e-11,-5.060000000000001e-12,20,10,2.987000000000001e-11,1.303e-11,2.033e-12,1.33e-07,0.001122932330827,1.5477088521066933,-1.0277000000000011e-10
top1,-1.1,0.1,4.0086e-12,-4.7150000000000006e-11,-1.792e-11,20,10,-3.5054000000000006e-11,4.7150000000000006e-11,4.0086e-12,1.33e-07,-0.0013178195488721,1.9445003236555185,-1.8776000000000008e-10
top1,-1.0,0.1,-4.9778e-12,4.38e-12,4.119e-11,20,10,-7.681999999999996e-12,4.38e-12,4.9778e-12,1.33e-07,-0.0002887969924812,-1.0495456002394472,2.5685499999999994e-10
top1,-0.9,0.1,2.4722e-12,-5e-13,-1.7200000000000001e-12,20,10,1.6317000000000005e-11,5e-13,2.4722e-12,1.33e-07,0.0006134210526315,-2.3146264266768584,-1.2352500000000007e-10
