device,VD,VG,ID,IG,IS,absIg,absId,r
bot2,0.0,-5,-4.8512e-12,1.27e-12,2.42e-12,1.27e-12,4.8512e-12,34516084495.37485
bot2,0.1,-5,-1.954e-12,1.408e-11,4.240000000000001e-12,1.408e-11,1.954e-12,97002619070.7149
bot2,0.2,-5,-2.7894e-12,2.721e-11,5.570000000000001e-12,2.721e-11,2.7894e-12,-139977603583.42664
bot2,0.3,-5,-3.3828e-12,4.181e-11,8.280000000000003e-12,4.181e-11,3.3828e-12,-170561146170.90222
bot2,0.4,-5,-3.962e-12,5.4680000000000005e-11,1.203e-11,5.4680000000000005e-11,3.962e-12,-246487552378.6049
bot2,0.5,-5,-4.1942e-12,5.929000000000001e-11,1.608e-11,5.929000000000001e-11,4.1942e-12,-808407437348.4237
bot2,0.6,-5,-4.2094e-12,6.224000000000001e-11,2.1080000000000003e-11,6.224000000000001e-11,4.2094e-12,22529118886.16037
bot2,0.7,-5,4.6832e-12,-2.7960000000000003e-11,-3.5750000000000006e-11,2.7960000000000003e-11,4.6832e-12,23673121537.80598
bot2,0.8,-5,4.239e-12,-1.4800000000000006e-12,-1.683e-11,1.4800000000000006e-12,4.239e-12,-30763551344.367188
bot2,0.9,-5,-1.818e-12,1.8900000000000002e-12,-7.100000000000001e-13,1.8900000000000002e-12,1.818e-12,-40433446546.98366
bot2,1.0,-5,-7.074e-13,1.1600000000000001e-12,-1.8200000000000003e-12,1.1600000000000001e-12,7.074e-13,88503407381.18422
bot2,1.1,-5,4.418e-13,-3.2000000000000005e-13,-2.16e-12,3.2000000000000005e-13,4.418e-13,87382034253.7574
bot2,1.2,-5,1.5814e-12,-9.000000000000001e-12,-3.5200000000000003e-12,9.000000000000001e-12,1.5814e-12,94607379375.5913
bot2,1.3,-5,2.5558e-12,-2.0880000000000003e-11,-5.000000000000001e-12,2.0880000000000003e-11,2.5558e-12,124548511645.28596
bot2,1.4,-5,3.1872e-12,-3.6910000000000005e-11,-7.16e-12,3.6910000000000005e-11,3.1872e-12,179888469149.12747
bot2,1.5,-5,3.6676e-12,-5.0600000000000005e-11,-1.079e-11,5.0600000000000005e-11,3.6676e-12,239923224568.1381
bot2,1.6,-5,4.0208e-12,-5.746000000000001e-11,-1.4410000000000002e-11,5.746000000000001e-11,4.0208e-12,353356890459.364
bot2,1.7,-5,4.2336e-12,-6.035e-11,-1.921e-11,6.035e-11,4.2336e-12,507872016251.9042
bot2,1.8,-5,4.4146e-12,-6.047e-11,-2.495e-11,6.047e-11,4.4146e-12,-21900527802.720062
bot2,1.9,-5,-4.8986e-12,1.744e-11,3.621e-11,1.744e-11,4.8986e-12,-23659679174.750385
bot2,2.0,-5,-4.0386e-12,1.1100000000000001e-12,1.211e-11,1.1100000000000001e-12,4.0386e-12,33896007050.369457
bot2,2.1,-5,1.0018e-12,-1.59e-12,1.1600000000000001e-12,1.59e-12,1.0018e-12,52143080613.20267
bot2,2.2,-5,-2.03e-13,4.500000000000001e-13,2.24e-12,4.500000000000001e-13,2.03e-13,-87039777178.1705
bot2,2.3000000000000003,-5,-1.296e-12,6.690000000000001e-12,3.340000000000001e-12,6.690000000000001e-12,1.296e-12,-98048828316.50148
bot2,2.4,-5,-2.2428e-12,1.8110000000000003e-11,4.710000000000001e-12,1.8110000000000003e-11,2.2428e-12,-111185234600.84483
bot2,2.5,-5,-3.0948e-12,3.4280000000000003e-11,7.06e-12,3.4280000000000003e-11,3.0948e-12,-145751348199.971
bot2,2.6,-5,-3.615e-12,4.815e-11,9.87e-12,4.815e-11,3.615e-12,-226142017186.7936
bot2,2.7,-5,-3.9792e-12,5.544e-11,1.234e-11,5.544e-11,3.9792e-12,-353356890459.36414
bot2,2.8000000000000003,-5,-4.181e-12,6.111000000000001e-11,1.723e-11,6.111000000000001e-11,4.181e-12,-686813186813.1854
bot2,2.9,-5,-4.2704e-12,6.169000000000001e-11,2.153e-11,6.169000000000001e-11,4.2704e-12,22505795242.274857
bot2,3.0,-5,4.7056e-12,-2.972e-11,-3.5750000000000006e-11,2.972e-11,4.7056e-12,22761414849.547066
bot2,3.1,-5,4.5164e-12,-2.6300000000000007e-12,-1.994e-11,2.6300000000000007e-12,4.5164e-12,-28422817838.160503
bot2,3.2,-5,-2.331e-12,2.8e-12,2.8e-13,2.8e-12,2.331e-12,-35681153214.87194
bot2,3.3000000000000003,-5,-1.0888e-12,2.34e-12,-1.3300000000000002e-12,2.34e-12,1.0888e-12,85375224109.96317
bot2,3.4,-5,1.1599999999999999e-14,-6.200000000000001e-13,-2.28e-12,6.200000000000001e-13,1.1599999999999999e-14,102490519626.93436
bot2,3.5,-5,8.626e-13,-2.350000000000001e-12,-2.69e-12,2.350000000000001e-12,8.626e-13,104307916970.8982
bot2,3.6,-5,1.929e-12,-1.307e-11,-4.23e-12,1.307e-11,1.929e-12,114298777003.08617
bot2,3.7,-5,2.6124e-12,-2.601e-11,-5.49e-12,2.601e-11,2.6124e-12,150875075437.53787
bot2,3.8,-5,3.2546e-12,-3.9530000000000005e-11,-8.12e-12,3.9530000000000005e-11,3.2546e-12,189214758751.1824
bot2,3.9,-5,3.6694e-12,-5.174000000000001e-11,-1.055e-11,5.174000000000001e-11,3.6694e-12,242541838467.13528
bot2,4.0,-5,4.0792e-12,-5.8000000000000007e-11,-1.486e-11,5.8000000000000007e-11,4.0792e-12,330360092500.8256
bot2,4.1,-5,4.2748e-12,-6.115e-11,-1.967e-11,6.115e-11,4.2748e-12,-22548931180.66206
bot2,4.2,-5,-4.7904e-12,3.129e-11,3.4580000000000005e-11,3.129e-11,4.7904e-12,-23049441051.05453
bot2,4.3,-5,-4.4022e-12,1.0100000000000001e-12,1.823e-11,1.0100000000000001e-12,4.4022e-12,29325513196.48096
bot2,4.4,-5,2.0296e-12,-2.34e-12,-5e-14,2.34e-12,2.0296e-12,38265794206.55879
bot2,4.5,-5,8.244e-13,-1.46e-12,1.4800000000000006e-12,1.46e-12,8.244e-13,-82549116724.45111
bot2,4.6000000000000005,-5,-3.932e-13,1.0000000000000002e-14,2.1500000000000003e-12,1.0000000000000002e-14,3.932e-13,-89589679268.94829
bot2,4.7,-5,-1.408e-12,8.21e-12,3.2600000000000002e-12,8.21e-12,1.408e-12,-99780482937.53712
bot2,4.8,-5,-2.3976e-12,1.948e-11,5.14e-12,1.948e-11,2.3976e-12,-120525491141.37653
bot2,4.9,-5,-3.0674e-12,3.609e-11,7.32e-12,3.609e-11,3.0674e-12,-149947518368.5711
bot2,5.0,-5,-3.7314e-12,5.1370000000000006e-11,1.079e-11,5.1370000000000006e-11,3.7314e-12,-150602409638.55368
bot2,0.0,-4,-4.905e-12,2.1460000000000003e-11,3.643e-11,2.1460000000000003e-11,4.905e-12,91575091575.0916
bot2,0.1,-4,-3.813e-12,1.7500000000000002e-12,1.11e-11,1.7500000000000002e-12,3.813e-12,33405712376.81644
bot2,0.2,-4,1.082e-12,-1.5800000000000001e-12,1.22e-12,1.5800000000000001e-12,1.082e-12,55321973888.02832
bot2,0.3,-4,-1.978e-13,7e-14,1.8100000000000002e-12,7e-14,1.978e-13,-85186131697.7596
bot2,0.4,-4,-1.2658e-12,5.69e-12,3.010000000000001e-12,5.69e-12,1.2658e-12,-99245732433.50536
bot2,0.5,-4,-2.213e-12,1.7850000000000002e-11,4.340000000000001e-12,1.7850000000000002e-11,2.213e-12,-118008024545.66908
bot2,0.6,-4,-2.9606e-12,3.321e-11,6.670000000000001e-12,3.321e-11,2.9606e-12,-158604282315.6226
bot2,0.7,-4,-3.474e-12,4.5580000000000006e-11,8.64e-12,4.5580000000000006e-11,3.474e-12,-202880908906.47195
bot2,0.8,-4,-3.9464e-12,5.62e-11,1.273e-11,5.62e-11,3.9464e-12,-321646831778.7071
bot2,0.9,-4,-4.0958e-12,6.108000000000001e-11,1.783e-11,6.108000000000001e-11,4.0958e-12,-531067445565.587
bot2,1.0,-4,-4.323e-12,6.035e-11,2.42e-11,6.035e-11,4.323e-12,22365360529.611748
bot2,1.1,-4,4.8466e-12,-1.775e-11,-3.672e-11,1.775e-11,4.8466e-12,24162176528.86171
bot2,1.2,-4,3.9544e-12,-2.03e-12,-1.292e-11,2.03e-12,3.9544e-12,-32006145179.874527
bot2,1.3,-4,-1.4022e-12,2.11e-12,-1.32e-12,2.11e-12,1.4022e-12,-47366426676.771545
bot2,1.4,-4,-2.68e-13,1.5700000000000002e-12,-1.64e-12,1.5700000000000002e-12,2.68e-13,87581012436.50374
bot2,1.5,-4,8.814e-13,-3.67e-12,-2.67e-12,3.67e-12,8.814e-13,96497153333.97664
bot2,1.6,-4,1.8046e-12,-1.17e-11,-4.0400000000000006e-12,1.17e-11,1.8046e-12,114508187335.39444
bot2,1.7,-4,2.628e-12,-2.437e-11,-5.310000000000002e-12,2.437e-11,2.628e-12,133244503664.22385
bot2,1.8,-4,3.3056e-12,-4.031e-11,-7.95e-12,4.031e-11,3.3056e-12,180212650928.09537
bot2,1.9,-4,3.7378e-12,-5.186e-11,-1.031e-11,5.186e-11,3.7378e-12,255102040816.32648
bot2,2.0,-4,4.0896e-12,-5.849000000000001e-11,-1.489e-11,5.849000000000001e-11,4.0896e-12,433651344319.1668
bot2,2.1,-4,4.199e-12,-6.238000000000001e-11,-1.934e-11,6.238000000000001e-11,4.199e-12,739644970414.2014
bot2,2.2,-4,4.36e-12,-5.997e-11,-2.548e-11,5.997e-11,4.36e-12,-22111663902.7087
bot2,2.3000000000000003,-4,-4.846e-12,1.307e-11,3.646e-11,1.307e-11,4.846e-12,-24298384157.4535
bot2,2.4,-4,-3.871e-12,2.24e-12,1.098e-11,2.24e-12,3.871e-12,32932652725.176968
bot2,2.5,-4,1.227e-12,-2.04e-12,8.2e-13,2.04e-12,1.227e-12,48614487117.160965
bot2,2.6,-4,2.43e-13,-1.51e-12,1.51e-12,1.51e-12,2.43e-13,-97465886939.57124
bot2,2.7,-4,-8.25e-13,1.7000000000000002e-12,2.5800000000000003e-12,1.7000000000000002e-12,8.25e-13,-91432751211.484
bot2,2.8000000000000003,-4,-1.9444e-12,1.2990000000000002e-11,3.56e-12,1.2990000000000002e-11,1.9444e-12,-115194102061.97427
bot2,2.9,-4,-2.5612e-12,2.365e-11,5.3000000000000004e-12,2.365e-11,2.5612e-12,-157579577686.7316
bot2,3.0,-4,-3.2136e-12,4.01e-11,7.780000000000001e-12,4.01e-11,3.2136e-12,-170910955392.24078
bot2,3.1,-4,-3.7314e-12,5.116e-11,1.059e-11,5.116e-11,3.7314e-12,-254388196387.68784
bot2,3.2,-4,-3.9998e-12,5.78e-11,1.4510000000000002e-11,5.78e-11,3.9998e-12,-420521446593.77655
bot2,3.3000000000000003,-4,-4.207e-12,6.054e-11,1.881e-11,6.054e-11,4.207e-12,-495540138751.23865
bot2,3.4,-4,-4.4034e-12,5.937000000000001e-11,2.4430000000000003e-11,5.937000000000001e-11,4.4034e-12,21951969091.627487
bot2,3.5,-4,4.9038e-12,-1.812e-11,-3.671e-11,1.812e-11,4.9038e-12,24250066687.68341
bot2,3.6,-4,3.844e-12,-1.65e-12,-1.179e-11,1.65e-12,3.844e-12,-32547845332.639008
bot2,3.7,-4,-1.241e-12,2.8100000000000003e-12,-1.23e-12,2.8100000000000003e-12,1.241e-12,-54466230936.819214
bot2,3.8,-4,1.72e-13,2.2000000000000002e-13,-2.34e-12,2.2000000000000002e-13,1.72e-13,84674005080.4402
bot2,3.9,-4,1.121e-12,-3.95e-12,-2.8600000000000003e-12,3.95e-12,1.121e-12,114259597806.21558
bot2,4.0,-4,1.9224e-12,-1.327e-11,-4.190000000000001e-12,1.327e-11,1.9224e-12,115473441108.54488
bot2,4.1,-4,2.853e-12,-2.8960000000000003e-11,-6.05e-12,2.8960000000000003e-11,2.853e-12,132048065495.8406
bot2,4.2,-4,3.437e-12,-4.254e-11,-8.090000000000001e-12,4.254e-11,3.437e-12,189861401177.14093
bot2,4.3,-4,3.9064e-12,-5.394e-11,-1.219e-11,5.394e-11,3.9064e-12,305064063453.3256
bot2,4.4,-4,4.0926e-12,-5.924000000000001e-11,-1.608e-11,5.924000000000001e-11,4.0926e-12,567859170925.6108
bot2,4.5,-4,4.2586e-12,-6.168e-11,-2.327e-11,6.168e-11,4.2586e-12,-22562158747.34897
bot2,4.6000000000000005,-4,-4.7718e-12,2.216e-11,3.627e-11,2.216e-11,4.7718e-12,-23302418791.070538
bot2,4.7,-4,-4.3242e-12,1.6800000000000001e-12,1.666e-11,1.6800000000000001e-12,4.3242e-12,29524653085.32614
bot2,4.8,-4,2.0022e-12,-2.6300000000000007e-12,1.5000000000000004e-13,2.6300000000000007e-12,2.0022e-12,40402407983.515854
bot2,4.9,-4,6.26e-13,-2.6300000000000007e-12,1.1500000000000001e-12,2.6300000000000007e-12,6.26e-13,-80211759043.8759
bot2,5.0,-4,-4.912e-13,8e-13,1.9900000000000002e-12,8e-13,4.912e-13,-89509488005.7283
bot2,0.0,-3,-4.3994e-12,4.7690000000000005e-11,2.949e-11,4.7690000000000005e-11,4.3994e-12,10715586892.694113
bot2,0.1,-3,4.9328e-12,-1.4300000000000002e-12,-3.4110000000000006e-11,1.4300000000000002e-12,4.9328e-12,27400263042.525208
bot2,0.2,-3,2.8998e-12,-1.27e-12,-4.06e-12,1.27e-12,2.8998e-12,-42115902964.959564
bot2,0.3,-3,1.84e-13,-1.96e-12,-2.070000000000001e-12,1.96e-12,1.84e-13,-121521448535.66656
bot2,0.4,-3,1.254e-12,-5.810000000000001e-12,-3.290000000000001e-12,5.810000000000001e-12,1.254e-12,94876660341.55598
bot2,0.5,-3,2.292e-12,-1.7670000000000002e-11,-4.99e-12,1.7670000000000002e-11,2.292e-12,110095783331.49838
bot2,0.6,-3,3.0706e-12,-3.255e-11,-6.66e-12,3.255e-11,3.0706e-12,159362549800.7969
bot2,0.7,-3,3.547e-12,-4.7540000000000005e-11,-9.44e-12,4.7540000000000005e-11,3.547e-12,236798484489.69928
