device,VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
top1,-2.0,0.1,4.8082e-12,-1.076e-11,-4.344e-11,3.6290000000000008e-12,1.076e-11,4.8082e-12,40,5,1.33e-07,3.4107142857142854e-05,-0.4499186346531126,-2.6213499999999994e-10
top1,-1.9,0.1,-3.1526e-12,1.3000000000000001e-12,5.2600000000000014e-12,-1.9775000000000004e-11,1.3000000000000001e-12,3.1526e-12,40,5,1.33e-07,-0.0001858552631578,-3.754658386679096,1.5128999999999982e-10
top1,-1.8,0.1,8.531999999999999e-13,-3.23e-12,-3.2200000000000004e-12,3.3886999999999967e-11,3.23e-12,8.531999999999999e-13,40,5,1.33e-07,0.0003184868421052,0.3030758897578952,-4.082999999999995e-11
top1,-1.7,0.1,3.6248e-12,-4.148e-11,-1.2170000000000002e-11,-2.7941e-11,4.148e-11,3.6248e-12,40,5,1.33e-07,-0.0002626033834586,3.721345682809504,-3.0648499999999995e-10
top1,-1.6,0.1,-4.735e-12,1.9330000000000003e-11,4.251e-11,-2.741e-11,1.9330000000000003e-11,4.735e-12,40,5,1.33e-07,-0.0002576127819548,-1.4521268708849624,3.1243000000000013e-10
top1,-1.5,0.1,-1.8572e-12,1.88e-12,-8.100000000000002e-13,3.454500000000001e-11,1.88e-12,1.8572e-12,40,5,1.33e-07,0.0003246710526315,-1.6903022179450835,2.8441e-10
top1,-1.4,0.1,2.174e-12,-1.4760000000000003e-11,-5.6e-12,2.947200000000001e-11,1.4760000000000003e-11,2.174e-12,40,5,1.33e-07,0.000276992481203,1.686107947935334,-3.51575e-10
top1,-1.3,0.1,4.0372e-12,-4.927e-11,-1.839e-11,-3.5769999999999964e-11,4.927e-11,4.0372e-12,40,5,1.33e-07,-0.0003361842105263,1.7998490150472153,-1.872649999999999e-10
top1,-1.2,0.1,-4.98e-12,3.210000000000001e-12,4.156e-11,-7.981000000000002e-12,3.210000000000001e-12,4.98e-12,40,5,1.33e-07,-7.50093984962406e-05,-1.0925624258200808,2.6326499999999987e-10
top1,-1.1,0.1,2.441e-12,-9.200000000000001e-13,-1.6600000000000002e-12,1.6883000000000004e-11,9.200000000000001e-13,2.441e-12,40,5,1.33e-07,0.00015867481203,-2.460937317491743,-1.1799499999999994e-10
top1,-1.0,0.1,-1.6034e-12,8.76e-12,3.91e-12,-3.1579999999999977e-11,8.76e-12,1.6034e-12,40,5,1.33e-07,-0.0002968045112781,1.003519637125709,7.584e-11
