device,VG,VD,ID,IG,IS,sqrt_ID,gm,absIg,W,L,Ca,Mob_Sat,SS,absId
top1,-2.0,5,-2.2356e-12,2.36e-12,9.5e-13,1.4951922953252537e-06,-1.6154000000000002e-11,2.36e-12,40,5,1.33e-07,4.007153357431829e-05,-2.3480887224875784,2.2356e-12
top1,-1.9,5,1.658e-12,-8.54e-12,-4.31e-12,1.2876334882255898e-06,3.051700000000001e-11,8.54e-12,40,5,1.33e-07,1.0446118902729068e-05,1.1903495406110312,1.658e-12
top1,-1.8,5,3.8678e-12,-4.5180000000000006e-11,-1.47e-11,1.966672316376066e-06,-3.246999999999997e-11,4.5180000000000006e-11,40,5,1.33e-07,3.903920524028239e-05,2.324508829872396,3.8678e-12
top1,-1.7,5,-4.836e-12,1.3380000000000002e-11,4.243e-11,2.1990907211845536e-06,-2.5876000000000006e-11,1.3380000000000002e-11,40,5,1.33e-07,3.1849204406625875e-05,-2.355277642180865,4.836e-12
top1,-1.6,5,-1.3074e-12,1.4300000000000002e-12,-1.4900000000000001e-12,1.1434159348198713e-06,3.6443000000000005e-11,1.4300000000000002e-12,40,5,1.33e-07,1.883013286111888e-05,-1.4742978413100352,1.3074e-12
top1,-1.5,5,2.4526e-12,-1.7600000000000003e-11,-5.820000000000001e-12,1.566077903553971e-06,2.6732000000000005e-11,1.7600000000000003e-11,40,5,1.33e-07,3.526756271791884e-05,2.4493268627004388,2.4526e-12
top1,-1.4,5,4.039e-12,-4.8530000000000006e-11,-1.9970000000000003e-11,2.009726349531199e-06,-3.661300000000001e-11,4.8530000000000006e-11,40,5,1.33e-07,1.9292039792801627e-05,1.4895111864395365,4.039e-12
top1,-1.3,5,-4.87e-12,1.0100000000000001e-12,4.083e-11,2.2068076490713912e-06,-9.102999999999991e-12,1.0100000000000001e-12,40,5,1.33e-07,1.272128260752082e-05,-1.301169983000915,4.87e-12
top1,-1.2,5,2.2184e-12,-2.26e-12,-1.0500000000000002e-12,1.4894294209528694e-06,1.5863000000000004e-11,2.26e-12,40,5,1.33e-07,3.840000025131314e-05,-2.2887238168700024,2.2184e-12
top1,-1.1,5,-1.6974e-12,8.62e-12,4.21e-12,1.3028430450365078e-06,-3.011500000000001e-11,8.62e-12,40,5,1.33e-07,9.991610844337312e-06,1.1713457350039926,1.6974e-12
top1,-1.0,5,-3.8046e-12,4.6310000000000006e-11,1.533e-11,1.9505383872151813e-06,3.2582999999999986e-11,4.6310000000000006e-11,40,5,1.33e-07,3.742582956438133e-05,2.265953761719767,3.8046e-12
top1,-0.9,5,4.8192e-12,-9.22e-12,-4.2740000000000006e-11,2.1952676374419587e-06,4.1360000000000026e-12,9.22e-12,40,5,1.33e-07,2.3795012969208323e-06,-0.532359097687678,4.8192e-12
top1,-0.8,5,-2.9774e-12,1.7600000000000002e-12,5.060000000000001e-12,1.7255144160510511e-06,-1.96e-11,1.7600000000000002e-12,40,5,1.33e-07,7.307444262194056e-05,-3.645593259798004,2.9774e-12
top1,-0.7,5,8.991999999999999e-13,-2.3500000000000007e-12,-3.4100000000000002e-12,9.482615672903759e-07,3.285999999999999e-11,2.3500000000000007e-12,40,5,1.33e-07,1.3649396089812442e-06,0.4090669297047088,8.991999999999999e-13
top1,-0.6,5,3.5946e-12,-4.184e-11,-1.249e-11,1.8959430371189955e-06,-2.768299999999999e-11,4.184e-11,40,5,1.33e-07,6.825699599012728e-05,3.5620912972828287,3.5946e-12
top1,-0.5,5,-4.6374e-12,1.772e-11,4.213e-11,2.153462328437625e-06,-1.3886000000000004e-11,1.772e-11,40,5,1.33e-07,4.6228811592950816e-05,-3.21607968299218,4.6374e-12
top1,-0.4,5,8.174e-13,2.2000000000000003e-12,-3.28e-12,9.041017641836564e-07,2.04175e-10,2.2000000000000003e-12,40,5,1.33e-07,0.0007012513354719,4.462026094463907,8.174e-13
top1,-0.3,5,3.61976e-11,3.6730000000000005e-11,-2.8760000000000003e-11,6.016444132542078e-06,2.5676630000000003e-09,3.6730000000000005e-11,40,5,1.33e-07,0.02228189076931,13.994120553975256,3.61976e-11
top1,-0.2,5,5.143500000000001e-10,1.98e-11,-4.862500000000001e-10,2.2679285703037475e-05,2.3480012000000003e-08,1.98e-11,40,5,1.33e-07,0.1851806076304727,10.581916573176676,5.143500000000001e-10
top1,-0.1,5,4.7322e-09,-1.4510000000000002e-11,-4.5906e-09,6.879098778183084e-05,1.1791325000000001e-07,1.4510000000000002e-11,40,5,1.33e-07,0.8256693806014128,8.35352116742686,4.7322e-09
top1,0.0,5,2.4097e-08,2.2390000000000003e-11,-2.3977e-08,0.0001552320843124,2.8367e-07,2.2390000000000003e-11,40,5,1.33e-07,1.5079208998919422,5.567866367645764,2.4097e-08
top1,0.1,5,6.14662e-08,-3.9e-11,-6.125819999999999e-08,0.0002479237786094,4.45842e-07,3.9e-11,40,5,1.33e-07,1.5449208564497812,3.360671426969009,6.14662e-08
top1,0.2,5,1.1326539999999998e-07,-2.3430000000000003e-11,-1.1299859999999998e-07,0.0003365492534533,6.344690000000001e-07,2.3430000000000003e-11,40,5,1.33e-07,1.6271651864343253,2.431761585159311,1.1326539999999998e-07
top1,0.3,5,1.8836e-07,1.02e-12,-1.8782e-07,0.0004340046082704,9.211730000000001e-07,1.02e-12,40,5,1.33e-07,2.050446812415189,2.096948535073841,1.8836e-07
top1,0.4,5,2.975e-07,-3.2720000000000004e-11,-2.9722e-07,0.0005454356057317,1.305e-06,3.2720000000000004e-11,40,5,1.33e-07,2.624808641949355,1.8880286454870052,2.975e-07
top1,0.5,5,4.4936e-07,2.7300000000000007e-12,-4.486e-07,0.0006703431956841,1.7976e-06,2.7300000000000007e-12,40,5,1.33e-07,3.303337811408084,1.720458099130822,4.4936e-07
top1,0.6,5,6.5702e-07,1.93e-12,-6.5482e-07,0.0008105677022926,2.409299999999999e-06,1.93e-12,40,5,1.33e-07,4.079939173642621,1.5822894198409316,6.5702e-07
top1,0.7,5,9.3122e-07,-3.194e-11,-9.307e-07,0.0009649974093229,3.1039e-06,3.194e-11,40,5,1.33e-07,4.806932407900084,1.4444214695269415,9.3122e-07
