VG,VD,W,L,ID,abs_ID,log_ID,sweep,device
-2.0,0.1,5,5,4.201e-12,4.201e-12,-11.376647318462007,linear,bot1rep
-1.9,0.1,5,5,-4.9648e-12,4.9648e-12,-11.30409824175991,linear,bot1rep
-1.8,0.1,5,5,9.962e-13,9.962e-13,-12.001653462603635,linear,bot1rep
-1.7,0.1,5,5,-2.744e-12,2.744e-12,-11.561615892965285,linear,bot1rep
-1.6,0.1,5,5,-4.2588e-12,4.2588e-12,-11.370712754604781,linear,bot1rep
-1.5,0.1,5,5,-4.4252e-12,4.4252e-12,-11.354067096280613,linear,bot1rep
-1.4,0.1,5,5,-8.334e-13,8.334e-13,-12.079146503878741,linear,bot1rep
-1.3,0.1,5,5,2.9196e-12,2.9196e-12,-11.534676645021557,linear,bot1rep
-1.2,0.1,5,5,4.3606e-12,4.3606e-12,-11.360453749547654,linear,bot1rep
-1.1,0.1,5,5,4.2708e-12,4.2708e-12,-11.369490765948528,linear,bot1rep
-1.0,0.1,5,5,4.734e-13,4.734e-13,-12.324771746406936,linear,bot1rep
-0.9,0.1,5,5,-3.0648e-12,3.0648e-12,-11.513597861024978,linear,bot1rep
-0.8,0.1,5,5,-4.3116e-12,4.3116e-12,-11.365361536747725,linear,bot1rep
-0.7,0.1,5,5,-4.1416e-12,4.1416e-12,-11.3828318480262,linear,bot1rep
-0.6,0.1,5,5,-5.892e-13,5.892e-13,-12.229737261829406,linear,bot1rep
-0.5,0.1,5,5,3.1248e-12,3.1248e-12,-11.505177774056222,linear,bot1rep
-0.4,0.1,5,5,4.3486e-12,4.3486e-12,-11.361650538479092,linear,bot1rep
-0.3,0.1,5,5,4.22e-12,4.22e-12,-11.374687549038326,linear,bot1rep
-0.2,0.1,5,5,5.116e-13,5.116e-13,-12.291069464193384,linear,bot1rep
-0.1,0.1,5,5,-3.1494e-12,3.1494e-12,-11.501772176848215,linear,bot1rep
0.0,0.1,5,5,-4.3024e-12,4.3024e-12,-11.366289215120773,linear,bot1rep
0.1,0.1,5,5,-4.3318e-12,4.3318e-12,-11.363331603039676,linear,bot1rep
