cap_type,VG,VD,W,L,freq,C_F,C_pF
cgd,-3.0,0.0,20,20,10000.0,1.1016700000000001e-13,0.11016700000000001
cgd,-2.8000000000000003,0.0,20,20,10000.0,1.09544e-13,0.109544
cgd,-2.6,0.0,20,20,10000.0,1.10702e-13,0.11070200000000001
cgd,-2.4,0.0,20,20,10000.0,1.0928200000000001e-13,0.109282
cgd,-2.2,0.0,20,20,10000.0,1.0905100000000001e-13,0.10905100000000001
cgd,-2.0,0.0,20,20,10000.0,1.1032500000000001e-13,0.110325
cgd,-1.8,0.0,20,20,10000.0,1.11742e-13,0.11174200000000001
cgd,-1.6,0.0,20,20,10000.0,1.1162200000000001e-13,0.11162200000000001
cgd,-1.4,0.0,20,20,10000.0,1.1165000000000001e-13,0.11165000000000001
cgd,-1.2,0.0,20,20,10000.0,1.1101500000000001e-13,0.111015
cgd,-1.0,0.0,20,20,10000.0,1.11527e-13,0.111527
cgd,-0.8,0.0,20,20,10000.0,1.11666e-13,0.111666
cgd,-0.6,0.0,20,20,10000.0,1.14376e-13,0.114376
cgd,-0.4,0.0,20,20,10000.0,1.19495e-13,0.11949500000000002
cgd,-0.2,0.0,20,20,10000.0,1.25406e-13,0.12540600000000002
cgd,0.0,0.0,20,20,10000.0,1.3420300000000001e-13,0.13420300000000002
cgd,0.2,0.0,20,20,10000.0,2.2254400000000002e-13,0.22254400000000002
cgd,0.4,0.0,20,20,10000.0,6.03856e-13,0.6038560000000001
cgd,0.6,0.0,20,20,10000.0,6.89063e-13,0.689063
cgd,0.8,0.0,20,20,10000.0,7.196640000000002e-13,0.7196640000000002
cgd,1.0,0.0,20,20,10000.0,7.36815e-13,0.736815
cgd,1.2,0.0,20,20,10000.0,7.510540000000001e-13,0.7510540000000001
cgd,1.4,0.0,20,20,10000.0,7.618590000000001e-13,0.7618590000000001
cgd,1.6,0.0,20,20,10000.0,7.705330000000001e-13,0.770533
cgd,1.8,0.0,20,20,10000.0,7.765950000000002e-13,0.7765950000000001
cgd,2.0,0.0,20,20,10000.0,7.822580000000001e-13,0.7822580000000001
cgd,2.2,0.0,20,20,10000.0,7.86129e-13,0.7861290000000001
cgd,2.4,0.0,20,20,10000.0,7.911310000000001e-13,0.791131
cgd,2.6,0.0,20,20,10000.0,7.93269e-13,0.793269
cgd,2.8000000000000003,0.0,20,20,10000.0,7.95577e-13,0.795577
cgd,3.0,0.0,20,20,10000.0,7.99261e-13,0.799261
cgd,3.2,0.0,20,20,10000.0,8.007540000000001e-13,0.8007540000000001
cgd,3.4,0.0,20,20,10000.0,8.021010000000001e-13,0.8021010000000001
cgd,3.6,0.0,20,20,10000.0,8.055700000000001e-13,0.8055700000000001
cgd,3.8,0.0,20,20,10000.0,8.04716e-13,0.804716
cgd,4.0,0.0,20,20,10000.0,8.062020000000001e-13,0.8062020000000001
cgd,4.2,0.0,20,20,10000.0,8.070150000000001e-13,0.807015
cgd,4.4,0.0,20,20,10000.0,8.081530000000001e-13,0.808153
cgd,4.6000000000000005,0.0,20,20,10000.0,8.097660000000002e-13,0.8097660000000002
cgd,4.8,0.0,20,20,10000.0,8.103790000000001e-13,0.8103790000000001
cgd,5.0,0.0,20,20,10000.0,8.123310000000002e-13,0.8123310000000002
cgd,-3.0,0.0,40,20,10000.0,2.30384e-13,0.230384
cgd,-2.8000000000000003,0.0,40,20,10000.0,2.30707e-13,0.23070700000000002
cgd,-2.6,0.0,40,20,10000.0,2.29467e-13,0.229467
cgd,-2.4,0.0,40,20,10000.0,2.303780000000001e-13,0.23037800000000008
cgd,-2.2,0.0,40,20,10000.0,2.30375e-13,0.23037500000000002
cgd,-2.0,0.0,40,20,10000.0,2.2972600000000004e-13,0.22972600000000004
cgd,-1.8,0.0,40,20,10000.0,2.30299e-13,0.230299
cgd,-1.6,0.0,40,20,10000.0,2.30425e-13,0.230425
cgd,-1.4,0.0,40,20,10000.0,2.3069400000000004e-13,0.23069400000000004
cgd,-1.2,0.0,40,20,10000.0,2.30877e-13,0.230877
cgd,-1.0,0.0,40,20,10000.0,2.31769e-13,0.231769
cgd,-0.8,0.0,40,20,10000.0,2.33331e-13,0.233331
cgd,-0.6,0.0,40,20,10000.0,2.35108e-13,0.235108
cgd,-0.4,0.0,40,20,10000.0,2.42068e-13,0.242068
cgd,-0.2,0.0,40,20,10000.0,2.52481e-13,0.252481
cgd,0.0,0.0,40,20,10000.0,3.54729e-13,0.354729
