VG,VDS,W,L,CGD,CGS,CG
-3.0,0.0,40,20,2.30384e-13,1.9500400000000001e-13,4.0725400000000004e-13
-2.8000000000000003,0.0,40,20,2.30707e-13,1.9511500000000002e-13,4.07833e-13
-2.6,0.0,40,20,2.29467e-13,1.9446700000000001e-13,4.0759900000000003e-13
-2.4,0.0,40,20,2.303780000000001e-13,1.9486800000000001e-13,4.079940000000001e-13
-2.2,0.0,40,20,2.30375e-13,1.9494800000000002e-13,4.0902800000000003e-13
-2.0,0.0,40,20,2.2972600000000004e-13,1.94318e-13,4.08405e-13
-1.8,0.0,40,20,2.30299e-13,1.95257e-13,4.0826300000000003e-13
-1.6,0.0,40,20,2.30425e-13,1.9554500000000005e-13,4.0859500000000004e-13
-1.4,0.0,40,20,2.3069400000000004e-13,1.9510200000000002e-13,4.0838300000000004e-13
-1.2,0.0,40,20,2.30877e-13,1.9541200000000002e-13,4.0988800000000004e-13
-1.0,0.0,40,20,2.31769e-13,1.9507100000000002e-13,4.1152900000000004e-13
-0.8,0.0,40,20,2.33331e-13,1.96715e-13,4.183210000000001e-13
-0.6,0.0,40,20,2.35108e-13,1.98306e-13,4.4327400000000003e-13
-0.4,0.0,40,20,2.42068e-13,2.04918e-13,9.994090000000001e-13
-0.2,0.0,40,20,2.52481e-13,2.1345600000000002e-13,1.31326e-12
0.0,0.0,40,20,3.54729e-13,2.2373600000000005e-13,1.3997100000000001e-12
0.2,0.0,40,20,1.20422e-12,4.55459e-13,1.4432700000000002e-12
0.4,0.0,40,20,1.3897e-12,1.26867e-12,1.4723600000000002e-12
0.6,0.0,40,20,1.44569e-12,1.4134100000000001e-12,1.49571e-12
0.8,0.0,40,20,1.4800300000000001e-12,1.4639800000000002e-12,1.5146e-12
1.0,0.0,40,20,1.5030200000000002e-12,1.49432e-12,1.5303600000000004e-12
1.2,0.0,40,20,1.52124e-12,1.517e-12,1.5425400000000002e-12
1.4,0.0,40,20,1.53656e-12,1.5342800000000002e-12,1.5531500000000001e-12
1.6,0.0,40,20,1.5495500000000002e-12,1.5485900000000002e-12,1.56069e-12
1.8,0.0,40,20,1.55845e-12,1.5602000000000004e-12,1.56782e-12
2.0,0.0,40,20,1.5679e-12,1.5703700000000001e-12,1.5750600000000004e-12
2.2,0.0,40,20,1.5740000000000004e-12,1.5776800000000002e-12,1.57994e-12
2.4,0.0,40,20,1.57934e-12,1.5841900000000001e-12,1.58372e-12
2.6,0.0,40,20,1.5852500000000001e-12,1.59012e-12,1.5873000000000001e-12
2.8000000000000003,0.0,40,20,1.5896300000000004e-12,1.59706e-12,1.59118e-12
3.0,0.0,40,20,1.5937700000000002e-12,1.5985700000000001e-12,1.5944300000000001e-12
3.2,0.0,40,20,1.59745e-12,1.6020400000000001e-12,1.5976000000000002e-12
3.4,0.0,40,20,1.59932e-12,1.6064700000000001e-12,1.59945e-12
3.6,0.0,40,20,1.6025400000000004e-12,1.6103900000000002e-12,1.60171e-12
3.8,0.0,40,20,1.6046300000000002e-12,1.6125e-12,1.6020300000000002e-12
4.0,0.0,40,20,1.60674e-12,1.6148700000000004e-12,1.60402e-12
4.2,0.0,40,20,1.60946e-12,1.61645e-12,1.6065400000000001e-12
4.4,0.0,40,20,1.61132e-12,1.6194400000000002e-12,1.60727e-12
4.6000000000000005,0.0,40,20,1.6128200000000002e-12,1.6207200000000002e-12,1.6100100000000001e-12
4.8,0.0,40,20,1.61455e-12,1.6221900000000002e-12,1.61014e-12
5.0,0.0,40,20,1.61556e-12,1.62334e-12,1.6127800000000001e-12
