VG,VDS,W,L,CGD,CGS,CG
-3.0,0.0,20,20,1.1016700000000001e-13,9.36073e-14,1.9005600000000001e-13
-2.8000000000000003,0.0,20,20,1.09544e-13,9.22919e-14,1.90097e-13
-2.6,0.0,20,20,1.10702e-13,9.2918e-14,1.8968900000000005e-13
-2.4,0.0,20,20,1.0928200000000001e-13,9.35093e-14,1.9069100000000002e-13
-2.2,0.0,20,20,1.0905100000000001e-13,9.35662e-14,1.90347e-13
-2.0,0.0,20,20,1.1032500000000001e-13,9.34303e-14,1.8967000000000001e-13
-1.8,0.0,20,20,1.11742e-13,9.29465e-14,1.8992000000000001e-13
-1.6,0.0,20,20,1.1162200000000001e-13,9.35599e-14,1.90761e-13
-1.4,0.0,20,20,1.1165000000000001e-13,9.37971e-14,1.9044800000000002e-13
-1.2,0.0,20,20,1.1101500000000001e-13,9.49766e-14,1.9068800000000005e-13
-1.0,0.0,20,20,1.11527e-13,9.3971e-14,1.9352800000000002e-13
-0.8,0.0,20,20,1.11666e-13,9.561849999999999e-14,2.01481e-13
-0.6,0.0,20,20,1.14376e-13,9.74304e-14,2.1102100000000002e-13
-0.4,0.0,20,20,1.19495e-13,1.0182600000000001e-13,2.23711e-13
-0.2,0.0,20,20,1.25406e-13,1.10411e-13,2.34421e-13
0.0,0.0,20,20,1.3420300000000001e-13,1.1991000000000004e-13,2.5017500000000004e-13
0.2,0.0,20,20,2.2254400000000002e-13,2.09298e-13,4.3147700000000003e-13
0.4,0.0,20,20,6.03856e-13,5.855850000000002e-13,6.30092e-13
0.6,0.0,20,20,6.89063e-13,6.88355e-13,6.91783e-13
0.8,0.0,20,20,7.196640000000002e-13,7.218870000000001e-13,7.17949e-13
1.0,0.0,20,20,7.36815e-13,7.4339e-13,7.36239e-13
1.2,0.0,20,20,7.510540000000001e-13,7.569520000000001e-13,7.47958e-13
1.4,0.0,20,20,7.618590000000001e-13,7.679220000000001e-13,7.57236e-13
1.6,0.0,20,20,7.705330000000001e-13,7.760290000000002e-13,7.658720000000002e-13
1.8,0.0,20,20,7.765950000000002e-13,7.83843e-13,7.73385e-13
2.0,0.0,20,20,7.822580000000001e-13,7.90376e-13,7.77841e-13
2.2,0.0,20,20,7.86129e-13,7.947590000000001e-13,7.814390000000001e-13
2.4,0.0,20,20,7.911310000000001e-13,7.980510000000002e-13,7.86284e-13
2.6,0.0,20,20,7.93269e-13,8.009380000000001e-13,7.88719e-13
2.8000000000000003,0.0,20,20,7.95577e-13,8.046440000000001e-13,7.92206e-13
3.0,0.0,20,20,7.99261e-13,8.065030000000001e-13,7.95163e-13
3.2,0.0,20,20,8.007540000000001e-13,8.095230000000001e-13,7.95979e-13
3.4,0.0,20,20,8.021010000000001e-13,8.108100000000001e-13,7.9835e-13
3.6,0.0,20,20,8.055700000000001e-13,8.12609e-13,8.002920000000001e-13
3.8,0.0,20,20,8.04716e-13,8.144720000000002e-13,8.011210000000001e-13
4.0,0.0,20,20,8.062020000000001e-13,8.156890000000001e-13,8.03226e-13
4.2,0.0,20,20,8.070150000000001e-13,8.16496e-13,8.038210000000001e-13
4.4,0.0,20,20,8.081530000000001e-13,8.182820000000001e-13,8.04893e-13
4.6000000000000005,0.0,20,20,8.097660000000002e-13,8.184660000000001e-13,8.0519e-13
4.8,0.0,20,20,8.103790000000001e-13,8.197080000000002e-13,8.067490000000001e-13
5.0,0.0,20,20,8.123310000000002e-13,8.191610000000002e-13,8.065090000000002e-13
-3.0,0.0,40,20,2.30384e-13,1.9500400000000001e-13,4.0725400000000004e-13
-2.8000000000000003,0.0,40,20,2.30707e-13,1.9511500000000002e-13,4.07833e-13
-2.6,0.0,40,20,2.29467e-13,1.9446700000000001e-13,4.0759900000000003e-13
-2.4,0.0,40,20,2.303780000000001e-13,1.9486800000000001e-13,4.079940000000001e-13
-2.2,0.0,40,20,2.30375e-13,1.9494800000000002e-13,4.0902800000000003e-13
-2.0,0.0,40,20,2.2972600000000004e-13,1.94318e-13,4.08405e-13
-1.8,0.0,40,20,2.30299e-13,1.95257e-13,4.0826300000000003e-13
-1.6,0.0,40,20,2.30425e-13,1.9554500000000005e-13,4.0859500000000004e-13
-1.4,0.0,40,20,2.3069400000000004e-13,1.9510200000000002e-13,4.0838300000000004e-13
-1.2,0.0,40,20,2.30877e-13,1.9541200000000002e-13,4.0988800000000004e-13
-1.0,0.0,40,20,2.31769e-13,1.9507100000000002e-13,4.1152900000000004e-13
-0.8,0.0,40,20,2.33331e-13,1.96715e-13,4.183210000000001e-13
-0.6,0.0,40,20,2.35108e-13,1.98306e-13,4.4327400000000003e-13
-0.4,0.0,40,20,2.42068e-13,2.04918e-13,9.994090000000001e-13
-0.2,0.0,40,20,2.52481e-13,2.1345600000000002e-13,1.31326e-12
0.0,0.0,40,20,3.54729e-13,2.2373600000000005e-13,1.3997100000000001e-12
0.2,0.0,40,20,1.20422e-12,4.55459e-13,1.4432700000000002e-12
0.4,0.0,40,20,1.3897e-12,1.26867e-12,1.4723600000000002e-12
0.6,0.0,40,20,1.44569e-12,1.4134100000000001e-12,1.49571e-12
0.8,0.0,40,20,1.4800300000000001e-12,1.4639800000000002e-12,1.5146e-12
1.0,0.0,40,20,1.5030200000000002e-12,1.49432e-12,1.5303600000000004e-12
1.2,0.0,40,20,1.52124e-12,1.517e-12,1.5425400000000002e-12
1.4,0.0,40,20,1.53656e-12,1.5342800000000002e-12,1.5531500000000001e-12
1.6,0.0,40,20,1.5495500000000002e-12,1.5485900000000002e-12,1.56069e-12
1.8,0.0,40,20,1.55845e-12,1.5602000000000004e-12,1.56782e-12
2.0,0.0,40,20,1.5679e-12,1.5703700000000001e-12,1.5750600000000004e-12
2.2,0.0,40,20,1.5740000000000004e-12,1.5776800000000002e-12,1.57994e-12
2.4,0.0,40,20,1.57934e-12,1.5841900000000001e-12,1.58372e-12
2.6,0.0,40,20,1.5852500000000001e-12,1.59012e-12,1.5873000000000001e-12
2.8000000000000003,0.0,40,20,1.5896300000000004e-12,1.59706e-12,1.59118e-12
3.0,0.0,40,20,1.5937700000000002e-12,1.5985700000000001e-12,1.5944300000000001e-12
3.2,0.0,40,20,1.59745e-12,1.6020400000000001e-12,1.5976000000000002e-12
3.4,0.0,40,20,1.59932e-12,1.6064700000000001e-12,1.59945e-12
3.6,0.0,40,20,1.6025400000000004e-12,1.6103900000000002e-12,1.60171e-12
3.8,0.0,40,20,1.6046300000000002e-12,1.6125e-12,1.6020300000000002e-12
4.0,0.0,40,20,1.60674e-12,1.6148700000000004e-12,1.60402e-12
4.2,0.0,40,20,1.60946e-12,1.61645e-12,1.6065400000000001e-12
