path,fname,W,L,pos,rep,run,label,vd_monotonic_frac,sign_flips,spikes,vg_order_violation_frac,off_state_max_abs_id,on_state_max_abs_id,off_state_leaky,vd_rise_ratio,vg_modulation_ratio,no_vd_dependence,no_vg_modulation,score
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5top1rep(2) ; 6_5_2026 9_58_55 am].csv_s5_W5_L5_top_1.csv,tft output [s5tft5-5top1rep(2) ; 6_5_2026 9_58_55 am].csv_s5_W5_L5_top_1.csv,5,5,top,1,,top_1,0.984,0,0,0.0,2.3727e-09,9.9571e-06,False,8.038995640238978,46.3595306825589,False,False,99.36
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5bot1(1) ; 6_5_2026 1_59_40 pm].csv_s5_W5_L5_bot_1.csv,tft output [s5tft5-5bot1(1) ; 6_5_2026 1_59_40 pm].csv_s5_W5_L5_bot_1.csv,5,5,bot,1,,bot_1,0.968,1,0,0.004901960784313725,4.9712e-12,5.5772000000000006e-06,False,3.4883662747060287,111544.00000000001,False,False,98.02392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5top1(1) ; 6_5_2026 9_55_05 am].csv_s5_W5_L5_top_1.csv,tft output [s5tft5-5top1(1) ; 6_5_2026 9_55_05 am].csv_s5_W5_L5_top_1.csv,5,5,top,1,,top_1,0.9480000000000001,0,0,0.004901960784313725,3.0229e-09,1.03714e-05,False,7.7583782166367445,39.21134215500945,False,False,97.72392156862745
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5top2rep(2) ; 6_5_2026 11_12_18 am].csv_s5_W5_L5_top_2.csv,tft output [s5tft5-5top2rep(2) ; 6_5_2026 11_12_18 am].csv_s5_W5_L5_top_2.csv,5,5,top,2,,top_2,0.9480000000000001,0,0,0.004901960784313725,3.7745e-09,2.8242000000000004e-06,False,40.3097261916874,54.779282374432285,False,False,97.72392156862745
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5top2(1) ; 6_5_2026 11_07_59 am].csv_s5_W5_L5_top_2.csv,tft output [s5tft5-5top2(1) ; 6_5_2026 11_07_59 am].csv_s5_W5_L5_top_2.csv,5,5,top,2,,top_2,1.0,0,0,0.0,1.8113e-08,1.3814e-05,True,5.323314065510597,31.40116384797236,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5bot1rep(2) ; 6_5_2026 2_03_34 pm].csv_s5_W5_L5_bot_1.csv,tft output [s5tft5-5bot1rep(2) ; 6_5_2026 2_03_34 pm].csv_s5_W5_L5_bot_1.csv,5,5,bot,1,,bot_1,0.908,0,0,0.05392156862745098,5.103e-12,2.6906e-06,False,2.6275390625,53812.0,True,False,34.163137254901955
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5bot2rep(2) ; 6_5_2026 3_37_42 pm].csv_s5_W5_L5_bot_2.csv,tft output [s5tft5-5bot2rep(2) ; 6_5_2026 3_37_42 pm].csv_s5_W5_L5_bot_2.csv,5,5,bot,2,,bot_2,0.9040000000000001,0,0,0.15196078431372548,5.5997e-11,5.6598599999999997e-11,False,1.1131959999999999,1.1131959999999999,True,True,-29.91843137254901
/home/user/igzoANN/scripts/../data/tft output [s5tft5-5bot2(1) ; 6_5_2026 3_33_48 pm].csv_s5_W5_L5_bot_2.csv,tft output [s5tft5-5bot2(1) ; 6_5_2026 3_33_48 pm].csv_s5_W5_L5_bot_2.csv,5,5,bot,2,,bot_2,0.7440000000000001,0,0,0.16176470588235295,4.9774e-12,5.1106e-12,False,0.08552399999999999,0.08552399999999999,True,True,-36.7105882352941
/home/user/igzoANN/scripts/../data/tft output [s5tft10-5bot1(1) ; 6_5_2026 2_25_09 pm].csv_s5_W10_L5_bot_1.csv,tft output [s5tft10-5bot1(1) ; 6_5_2026 2_25_09 pm].csv_s5_W10_L5_bot_1.csv,10,5,bot,1,,bot_1,1.0,0,0,0.0,5.0272e-12,1.7096e-05,False,4.2644050885507605,4500.368537432874,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft10-5top1(1) ; 6_5_2026 10_03_17 am].csv_s5_W10_L5_top_1.csv,tft output [s5tft10-5top1(1) ; 6_5_2026 10_03_17 am].csv_s5_W10_L5_top_1.csv,10,5,top,1,,top_1,1.0,0,0,0.0,1.17482e-08,2.5638e-05,True,5.187568289425761,35.75034163482723,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft10-5top2(1) ; 6_5_2026 11_17_06 am].csv_s5_W10_L5_top_2.csv,tft output [s5tft10-5top2(1) ; 6_5_2026 11_17_06 am].csv_s5_W10_L5_top_2.csv,10,5,top,2,,top_2,1.0,0,0,0.0,9.3295e-09,2.9244e-05,True,5.443883914443679,54.456072399538186,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft10-5bot2(1) ; 6_5_2026 3_43_53 pm].csv_s5_W10_L5_bot_2.csv,tft output [s5tft10-5bot2(1) ; 6_5_2026 3_43_53 pm].csv_s5_W10_L5_bot_2.csv,10,5,bot,2,,bot_2,0.9120000000000001,0,0,0.10294117647058823,4.9578e-12,1.2313000000000002e-06,False,1.6505700871898055,24609.999999999996,True,False,32.36235294117648
/home/user/igzoANN/scripts/../data/tft output [s5tft10-10bot1(1) ; 6_5_2026 2_42_58 pm].csv_s5_W10_L10_bot_1.csv,tft output [s5tft10-10bot1(1) ; 6_5_2026 2_42_58 pm].csv_s5_W10_L10_bot_1.csv,10,10,bot,1,,bot_1,1.0,0,0,0.004901960784313725,5.1674e-12,1.1166200000000002e-05,False,4.608419314898886,83.4170028387868,False,False,99.80392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft10-10top1(1) ; 6_5_2026 10_32_37 am].csv_s5_W10_L10_top_1.csv,tft output [s5tft10-10top1(1) ; 6_5_2026 10_32_37 am].csv_s5_W10_L10_top_1.csv,10,10,top,1,,top_1,1.0,0,0,0.004901960784313725,9.5024e-10,1.1656e-05,False,4.816528925619834,46.00931554432778,False,False,99.80392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft10-10bot2(1) ; 6_5_2026 4_03_18 pm].csv_s5_W10_L10_bot_2.csv,tft output [s5tft10-10bot2(1) ; 6_5_2026 4_03_18 pm].csv_s5_W10_L10_bot_2.csv,10,10,bot,2,,bot_2,0.8879999999999999,0,0,0.0,5.1012e-12,4.1917e-06,False,7.2478127053290455,83834.0,False,False,95.52
/home/user/igzoANN/scripts/../data/tft output [s5tft10-10top2(1) ; 6_5_2026 11_45_42 am].csv_s5_W10_L10_top_2.csv,tft output [s5tft10-10top2(1) ; 6_5_2026 11_45_42 am].csv_s5_W10_L10_top_2.csv,10,10,top,2,,top_2,1.0,0,0,0.00980392156862745,5.1568e-09,1.298e-05,True,4.977184708002607,42.88924134284959,False,False,84.6078431372549
/home/user/igzoANN/scripts/../data/tft output [s5tft20-5bot2(1) ; 6_5_2026 3_47_55 pm].csv_s5_W20_L5_bot_2.csv,tft output [s5tft20-5bot2(1) ; 6_5_2026 3_47_55 pm].csv_s5_W20_L5_bot_2.csv,20,5,bot,2,,bot_2,0.9719999999999999,0,0,0.0,4.9322e-12,1.773e-05,False,3.311419072877367,354600.0,False,False,98.88
/home/user/igzoANN/scripts/../data/tft output [s5tft20-5bot1(1) ; 6_5_2026 2_28_34 pm].csv_s5_W20_L5_bot_1.csv,tft output [s5tft20-5bot1(1) ; 6_5_2026 2_28_34 pm].csv_s5_W20_L5_bot_1.csv,20,5,bot,1,,bot_1,1.0,0,0,0.0,1.77474e-08,5.5842000000000005e-05,True,5.181927006486457,34.577089783281735,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft20-5top1(2) ; 6_5_2026 10_07_28 am].csv_s5_W20_L5_top_1_run2.csv,tft output [s5tft20-5top1(2) ; 6_5_2026 10_07_28 am].csv_s5_W20_L5_top_1_run2.csv,20,5,top,1,_run2,top_1_run2,1.0,0,0,0.0,6.9317e-09,4.6428e-05,True,4.959567581425657,45.38593884413858,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft20-5top2(1) ; 6_5_2026 11_19_05 am].csv_s5_W20_L5_top_2.csv,tft output [s5tft20-5top2(1) ; 6_5_2026 11_19_05 am].csv_s5_W20_L5_top_2.csv,20,5,top,2,,top_2,1.0,5,0,0.0,0.0088034,7.1314e-05,True,69.91202808789302,0.9940264183750737,False,True,22.5
/home/user/igzoANN/scripts/../data/tft output [s5tft20-10bot1(1) ; 6_5_2026 2_46_22 pm].csv_s5_W20_L10_bot_1.csv,tft output [s5tft20-10bot1(1) ; 6_5_2026 2_46_22 pm].csv_s5_W20_L10_bot_1.csv,20,10,bot,1,,bot_1,0.984,0,0,0.00980392156862745,5.438800000000001e-10,1.7678e-05,False,9.37848779954043,58.14789687924016,False,False,98.9678431372549
/home/user/igzoANN/scripts/../data/tft output [s5tft20-10bot2(1) ; 6_5_2026 4_07_29 pm].csv_s5_W20_L10_bot_2.csv,tft output [s5tft20-10bot2(1) ; 6_5_2026 4_07_29 pm].csv_s5_W20_L10_bot_2.csv,20,10,bot,2,,bot_2,0.9640000000000001,0,0,0.0,4.9644e-12,1.268e-05,False,3.7277671615463763,219491.08533841095,False,False,98.56
/home/user/igzoANN/scripts/../data/tft output [s5tft20-10top1(1) ; 6_5_2026 10_36_54 am].csv_s5_W20_L10_top_1.csv,tft output [s5tft20-10top1(1) ; 6_5_2026 10_36_54 am].csv_s5_W20_L10_top_1.csv,20,10,top,1,,top_1,1.0,0,0,0.0,8.6019e-09,2.4316e-05,True,4.898567658494328,37.545549996911866,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft20-10top2(1) ; 6_5_2026 11_47_35 am].csv_s5_W20_L10_top_2.csv,tft output [s5tft20-10top2(1) ; 6_5_2026 11_47_35 am].csv_s5_W20_L10_top_2.csv,20,10,top,2,,top_2,0.9719999999999999,5,0,0.16176470588235295,4.5526e-05,2.6178e-05,True,51.362467866323904,0.9922071968828787,False,True,14.90941176470588
/home/user/igzoANN/scripts/../data/tft output [s5tft20-15bot1(1) ; 6_5_2026 3_00_47 pm].csv_s5_W20_L15_bot_1.csv,tft output [s5tft20-15bot1(1) ; 6_5_2026 3_00_47 pm].csv_s5_W20_L15_bot_1.csv,20,15,bot,1,,bot_1,1.0,0,0,0.0,4.1501000000000005e-10,1.6686e-05,False,4.791247918222017,45.9593455627169,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft20-15bot2(1) ; 6_5_2026 4_22_15 pm].csv_s5_W20_L15_bot_2.csv,tft output [s5tft20-15bot2(1) ; 6_5_2026 4_22_15 pm].csv_s5_W20_L15_bot_2.csv,20,15,bot,2,,bot_2,1.0,0,0,0.004901960784313725,4.9286e-12,1.285e-05,False,4.124538597335901,555.6468421098149,False,False,99.80392156862744
/home/user/igzoANN/scripts/../data/tft output [s5tft20-15top1(2) ; 6_5_2026 10_50_55 am].csv_s5_W20_L15_top_1_run2.csv,tft output [s5tft20-15top1(2) ; 6_5_2026 10_50_55 am].csv_s5_W20_L15_top_1_run2.csv,20,15,top,1,_run2,top_1_run2,1.0,5,0,0.0,1.4156e-05,1.4128e-05,True,907.2411883636177,0.9973103057757645,False,True,22.5
/home/user/igzoANN/scripts/../data/tft output [s5tft20-15top2(1) ; 6_5_2026 11_57_18 am].csv_s5_W20_L15_top_2.csv,tft output [s5tft20-15top2(1) ; 6_5_2026 11_57_18 am].csv_s5_W20_L15_top_2.csv,20,15,top,2,,top_2,1.0,5,0,0.0,1.4924e-05,1.4904e-05,True,5113.7222565794,0.9986580783682233,False,True,22.5
/home/user/igzoANN/scripts/../data/tft output [s5tft20-20bot1(1) ; 6_5_2026 3_15_45 pm].csv_s5_W20_L20_bot_1.csv,tft output [s5tft20-20bot1(1) ; 6_5_2026 3_15_45 pm].csv_s5_W20_L20_bot_1.csv,20,20,bot,1,,bot_1,1.0,0,0,0.0,3.6389e-10,1.222e-05,False,4.724348565684682,40.13136288998358,False,False,100.0
