n_hidden,seed,n_params,epochs_run,best_epoch,best_val_mse,test_rmse_log10ID,test_mae_log10ID,test_r2_log10ID,train_seconds
12,0,73,300,300,0.09130170196294785,0.9534792900085449,0.5975909233093262,0.9035812616348267,27.22769284248352
12,1,73,300,300,0.09190062433481216,0.9585947394371033,0.6037131547927856,0.9025439023971558,26.55424952507019
12,2,73,300,298,0.09229455888271332,0.958902895450592,0.6114435791969299,0.9024812579154968,24.226569414138794
13,0,79,300,297,0.08952180296182632,0.9434068202972412,0.5903433561325073,0.9056076407432556,28.523043632507324
13,1,79,300,296,0.09138757735490799,0.9531760215759277,0.6054196357727051,0.9036425948143005,23.880244731903076
13,2,79,300,300,0.09202132374048233,0.9568012356758118,0.6194289326667786,0.9029082655906677,22.902412176132202
14,0,85,300,300,0.09138058871030807,0.956078052520752,0.5975226759910583,0.90305495262146,24.28435969352722
14,1,85,300,294,0.09162461012601852,0.9549636840820312,0.6039161086082458,0.9032808542251587,22.630207777023315
14,2,85,300,299,0.09367357939481735,0.966454029083252,0.6207135915756226,0.9009393453598022,24.015857458114624
15,0,91,300,300,0.09295319765806198,0.9657602310180664,0.6083482503890991,0.9010815024375916,23.771169662475586
15,1,91,300,298,0.09241166710853577,0.9596551060676575,0.6051105856895447,0.9023281931877136,23.3610200881958
15,2,91,300,299,0.09097021073102951,0.9504522681236267,0.5971251130104065,0.9041925072669983,23.5538227558136
16,0,97,300,300,0.09130865335464478,0.9522085785865784,0.5997510552406311,0.9038380980491638,24.270076274871826
16,1,97,300,299,0.09108513593673706,0.950842022895813,0.6042109131813049,0.9041138887405396,25.743289709091187
16,2,97,300,300,0.09306216239929199,0.9628132581710815,0.6087169647216797,0.9016842842102051,26.010924100875854
17,0,103,300,299,0.09192591905593872,0.9582018256187439,0.6006368398666382,0.9026237726211548,25.742720127105713
17,1,103,300,299,0.09032333642244339,0.9459496140480042,0.5941627025604248,0.9050980806350708,24.90925145149231
17,2,103,300,299,0.09094814956188202,0.9503864645957947,0.5946117639541626,0.9042057991027832,24.024316549301147
18,0,109,300,298,0.09107710421085358,0.9515389800071716,0.593873918056488,0.9039732813835144,23.8310227394104
18,1,109,300,292,0.09196507185697556,0.9573411345481873,0.6085590124130249,0.9027986526489258,23.108710289001465
18,2,109,300,300,0.09307848662137985,0.9633684754371643,0.6160552501678467,0.9015708565711975,23.427319526672363
19,0,115,300,297,0.0921243280172348,0.9583203792572021,0.6144210696220398,0.9025996923446655,25.94965100288391
19,1,115,300,299,0.0918206050992012,0.9570069313049316,0.609412431716919,0.9028664827346802,26.02471399307251
19,2,115,300,300,0.08994685858488083,0.9451543688774109,0.5916122198104858,0.9052575826644897,25.981149911880493
20,0,121,300,300,0.09317566454410553,0.9632943272590637,0.6164098381996155,0.9015859961509705,25.484771013259888
20,1,121,300,299,0.09118577092885971,0.9529958963394165,0.6027998924255371,0.9036790132522583,26.633427381515503
20,2,121,300,299,0.09160815179347992,0.9537625908851624,0.6098828315734863,0.9035239815711975,23.740233898162842
21,0,127,300,298,0.09218864142894745,0.9587599635124207,0.613420307636261,0.9025103449821472,23.462276458740234
21,1,127,300,296,0.09025866538286209,0.946829080581665,0.5985775589942932,0.9049215316772461,24.0222589969635
21,2,127,300,297,0.09129434823989868,0.9541370272636414,0.5979219079017639,0.903448224067688,23.648656845092773
22,0,133,300,299,0.09030555188655853,0.9470363855361938,0.5936381816864014,0.9048799276351929,24.24665594100952
22,1,133,300,300,0.09222018718719482,0.9589832425117493,0.6044732928276062,0.9024649262428284,26.282567739486694
