n_hidden,r2_mean,r2_std,rmse_mean,rmse_std,n_params
12,0.9028688073158264,0.0006177980659302716,0.9569923082987467,0.0030462621624922376,73
13,0.9040528337160746,0.001395664186328188,0.9511280258496603,0.006928080953953146,79
14,0.9024250507354736,0.0012916068407656316,0.9591652552286783,0.006336806962630378,85
15,0.9025340676307678,0.0015656870622430907,0.9586225350697836,0.007706042054363707,91
16,0.9032120903333029,0.0013302852283226371,0.9552879532178243,0.0065528260768641,97
17,0.9039758841196696,0.001253074503582033,0.9515126347541809,0.006203254509753099,103
18,0.9027809302012125,0.0012013104547008557,0.9574161966641744,0.005915104924935561,109
19,0.9035745859146118,0.001463609518664578,0.9534938931465149,0.007252036621326662,115
20,0.9029296636581421,0.001166229172549318,0.9566842714945475,0.005737297537964124,121
21,0.9036267002423605,0.0012154610764436463,0.953242023785909,0.006015585199771837,127
22,0.9025099674860636,0.0023477635891456087,0.9587153991063436,0.011547421846245668,133
23,0.903534471988678,0.00044941674492459175,0.9537089467048645,0.0022205528236579107,139
24,0.9049219489097595,0.0010484955409442438,0.9468175570170084,0.005214829458384879,145
25,0.9048881133397421,0.0005564099187359684,0.9469929933547974,0.002770530036740991,151
26,0.9057569106419882,0.000708939695420808,0.9426561991373698,0.0035426144255586494,157
27,0.9036919673283895,0.0014087477436917101,0.9529148936271667,0.006956093657062951,163
28,0.9047876000404358,0.0009916577514548941,0.9474872350692749,0.004941048245090865,169
29,0.9044502377510071,0.0018220728783231216,0.9491441051165262,0.009060304074250304,175
30,0.9049832423528036,0.0006317039121180773,0.9465184609095255,0.0031462541650167097,181
31,0.9036628603935242,0.0021336742891557964,0.9530365268389384,0.010588578219367208,187
32,0.9056461056073507,0.0006920495644483857,0.9432103832562765,0.0034562336513355102,193
