W,L,median_rel_err_lin,median_rel_err_sat,oracle_median_rel_err_lin,oracle_median_rel_err_sat
10.0,10.0,0.9996082561497505,0.9999932977355719,,
10.0,5.0,0.9999240289754228,0.9999733168490241,,
160.0,10.0,0.9864797484228045,0.9975281460597867,0.45639367030363764,0.039382812978450185
160.0,15.0,0.902899677936231,0.9767914599936862,0.3258350697559556,0.6394540009316277
160.0,20.0,2.22000597486226,2.493412079845959,0.18659260934724156,0.2519029339319616
160.0,5.0,0.9995329553939396,0.9999201891529694,0.7496342383740007,0.03417631798584002
20.0,10.0,0.9999684613353301,0.9999958560731006,,
20.0,15.0,0.9998644877078658,0.9999794358745583,0.4364417453378947,0.27653684466703915
20.0,20.0,0.9992192336003412,0.999884010396568,0.1542389406929346,0.12474632625633612
20.0,5.0,0.9999884566314857,0.9999986834375993,0.4424715461068154,0.4742779139409872
40.0,10.0,0.9999706122022192,0.9999960852974799,,
40.0,15.0,0.9996461175430842,0.9999265163411223,0.7528395198216571,0.18156942574991877
40.0,20.0,0.8040274808619128,0.9953108182127615,,
40.0,5.0,0.9999912230774236,0.9999986757414729,,
5.0,5.0,0.999970553035961,0.9999948298747254,,
80.0,10.0,0.9996823548947408,0.999946566252158,0.1127464084514737,0.17325795478142203
80.0,15.0,0.9976287481329965,0.9996138673478913,0.18219255148132818,0.1939509051565821
80.0,20.0,0.974442333477994,0.9936396531268594,0.14657595831358558,0.10098462093959001
80.0,5.0,0.99997156605127,0.999995745195741,,
