W,L,Von_lin,Ioff_lin,Von_sat,Ioff_sat,alpha_lin,kappa_lin,G0_lin,alpha_sat,kappa_sat,G0_sat
10.0,10.0,1.6,2.7602e-12,1.7,2.6442e-12,-0.07217592052601043,-37.77115041448431,485165195.40978855,-0.0739265409957565,-36.87366676879799,485165195.4097437
10.0,5.0,1.7,2.8776e-12,0.7,2.7826e-12,-0.1551945111507707,-42.82815179293653,485165195.40978855,-0.11978266424235266,-47.033207323972626,485165195.40978163
160.0,10.0,0.1,8.198e-13,0.4,2.3334e-12,-0.4458326485251269,-7.006767470760287,9.156021058194801e-05,-0.5798211919433444,-6.169070845797696,1.9827835743665515e-05
160.0,15.0,-0.7,2.181e-12,-1.1,2.055e-12,-1.0774132319241725,-4.56268639996547,6.407811753277823e-06,-0.3474072925181305,-21.87276222336074,0.6344619236248777
160.0,20.0,-0.1,1.652e-12,-0.3,-4.259e-12,-0.4375340606056883,-4.903592184282073,2.8651277050778495e-05,-0.5116868608674617,-8.424894732200356,7.004085741656096e-05
160.0,5.0,-0.6,-1.64e-13,-0.1,4.7932e-12,-0.35246181411369454,-14.503329634669402,0.00864977581577981,-0.783267343990776,-7.619829007353013,1.2938714632836218e-05
20.0,10.0,0.3,1.8156e-12,-0.1,2.7368e-12,-0.5078542337477535,-11.467988326298508,0.0013551859925279388,-0.1508097523253091,-42.37627677308531,485165195.40978855
20.0,15.0,0.0,-7.55e-13,0.3,-2.7778e-12,-0.30878788426433745,-14.506329090579944,0.0748592431715891,-0.20143151926171174,-15.777162429525749,0.27359346413238655
20.0,20.0,0.0,2.371e-12,0.0,2.0768e-12,-0.8731134212821292,-3.8109472027387405,1.5008871067417917e-05,-0.8599841271606775,-4.141556519092007,5.088341406406741e-06
20.0,5.0,1.1,4.776e-12,1.2,3.0096e-12,-0.4753895231228045,-9.992797500341304,0.0009611860318472779,-0.6112608130061027,-7.055371483836942,1.4917956212416315e-05
40.0,10.0,-0.2,2.3592e-12,-1.9,2.9588e-12,-0.11809124621657321,-36.39352124047938,485165195.4097851,-0.16410695983893764,-45.80413939463811,485165195.4097851
40.0,15.0,-0.1,7.964e-13,0.2,-4.3048e-12,-0.2224555096789637,-16.40711684321699,0.921213721497943,-0.3792888726781534,-8.93775343590265,0.00020770377569361936
40.0,20.0,-0.3,2.4188e-12,0.7,2.889e-12,-0.12633565181780385,-43.12253201588876,485165195.40978855,-0.15723427178439445,-41.37977376841431,485165195.4097369
40.0,5.0,0.1,9.488e-13,-1.3,-4.1344e-12,-0.11305529335443101,-36.98029819104815,485165195.40978855,-0.13626481499804843,-45.683579858925505,485165195.40955067
5.0,5.0,1.7,1.697e-12,1.1,2.9022e-12,-0.20320959639104275,-30.07407653193495,53801.010284425174,-0.15717803456105042,-43.32577752797197,485165195.40978855
80.0,10.0,0.0,2.7704e-12,0.4,-4.6876e-12,-0.46382836807979877,-11.307352851384863,0.004525300946886937,-0.26272036748992766,-11.631862752095289,0.004037096322726686
80.0,15.0,-0.5,2.1174e-12,0.0,-4.7796e-12,-0.4721355660448735,-12.333385989133383,0.0064217399158333225,-0.204792459376037,-16.733919397063303,0.518183369525918
80.0,20.0,-0.3,-4.8284e-12,-0.1,-1.201e-12,-0.36292530799082195,-9.246602156085432,0.0022096235083662354,-0.4385307260176294,-6.4867430433627975,7.453566331545297e-05
80.0,5.0,0.1,1.7e-12,0.2,6.17e-13,-0.16487133902509493,-27.202798917030986,46950.2503598945,-0.1133165952362239,-39.21386539050758,485165195.18267655
