W,L,has_data,gds_negative_fraction,worst_gds_S,n_meas_points,rmse_log10ID,mae_log10ID
5,5,True,0.0,1.0105486041715336e-10,306,0.4031526419998383,0.34501614883621484
10,5,True,0.0,1.0577668456184261e-10,306,0.4034955850421272,0.24403480512931044
20,5,True,0.0,1.1765698185879018e-10,306,0.41819310787618985,0.2924933025309114
40,5,True,0.0,1.626180257235777e-10,306,0.35039704921616394,0.21472097917597058
80,5,True,0.0,4.0293208273833984e-10,306,0.46792922408336957,0.29629435242394375
160,5,True,0.0,7.571378069454806e-10,306,0.3428859646069155,0.22065505599613736
10,10,True,0.0,4.028493554354281e-12,306,0.8315814110561005,0.47294843537589415
20,10,True,0.0,2.5172223713199746e-12,306,0.7231323408666974,0.446327001088054
40,10,True,0.008333333333333333,-2.509114976683088e-12,306,0.6066902260965209,0.3542626204319186
80,10,True,0.008333333333333333,-1.4033763802900803e-08,306,0.8694070780457127,0.4531477671680061
160,10,True,0.0,1.7866750837615383e-11,306,0.27424173078350406,0.1799971403547163
20,15,True,0.0,6.650010659514841e-13,306,0.4129889266546731,0.30141056194024585
40,15,True,0.004166666666666667,-4.522139752208039e-14,306,0.6746788025040572,0.3630219250427512
80,15,True,0.0,4.3146286595878414e-13,306,0.8046974764666283,0.6057652159326431
160,15,True,0.0,1.9824748081168355e-12,306,0.47118194136930136,0.30269114946999404
20,20,True,0.0,1.2463373903209397e-11,306,0.3145146997551217,0.24406980748985732
40,20,True,0.0,1.4290159413287252e-11,306,0.2646044334634501,0.17072368826111223
80,20,True,0.0,1.2431551123860319e-11,306,0.46700115635537104,0.300473303054423
160,20,True,0.025833333333333333,-3.5399494170313884e-12,306,0.4340205868074999,0.3180920051621596
