W,L,Ion_A,Ioff_A,on_off_ratio,max_gm_S,gds_negative_fraction,worst_gds_S,has_measured_data,n_meas_points,rmse_log10ID_vs_meas
5,5,6.838501689792119e-07,4.705467986394632e-12,145330.95771908195,8.516481274208194e-07,0.6782178217821783,-1.6274785458752322e-08,True,306,3.9538768397593933
10,5,1.0350244061708765e-06,4.753614979375597e-12,217734.16876661524,9.8029744476107e-07,0.5676567656765676,-7.93510060528448e-09,True,306,3.657697536553132
10,10,1.7445401899109274e-06,2.5363727069049354e-12,687809.0846671115,1.261358753081906e-06,0.40924092409240925,-8.725908843719535e-10,True,306,2.3409173608667406
20,5,3.953167228495631e-06,3.654725155712662e-12,1081659.2384016833,2.8281543644331273e-06,0.4867986798679868,-9.383111143842878e-09,True,306,2.7818352352179203
20,10,1.2148339967905798e-05,1.949781634064678e-12,6230615.652369414,1.0111051165023251e-05,0.429042904290429,-5.538068410716278e-09,True,306,2.0240540448311046
20,15,1.7530182658663226e-05,1.2321379193734374e-12,14227451.637538772,1.4275827440912518e-05,0.35973597359735976,-8.449156303932842e-09,True,306,1.3507899746271657
20,20,7.833989687289536e-06,1.4302391950359695e-12,5477398.266303643,5.940975150282734e-06,0.3712871287128713,-1.1760699487816015e-08,True,306,1.2731947175402514
40,5,0.00015712110496267983,1.7210708455015496e-12,91292642.23686971,0.0001266405545251418,0.43399339933993397,-3.963418134499444e-08,True,306,2.04126507848985
40,10,0.00010190211447652753,1.481773606017272e-12,68770366.85139857,7.956371285624701e-05,0.4141914191419142,-5.0407032112947165e-08,True,306,1.0604783573631815
40,15,4.212181114976123e-05,2.0632922650854236e-12,20414854.387106095,3.1982107001424715e-05,0.3250825082508251,-1.822239379466362e-08,True,306,0.8027082700094061
40,20,1.183045835158552e-05,3.21511568430905e-12,3679636.9130114103,8.790665712052892e-06,0.3448844884488449,-2.2804701307979372e-08,True,306,1.1346320674185884
80,5,0.0002256139328618815,1.4745329175134218e-12,153007050.69531137,0.00018722778263800875,0.3184818481848185,-4.77870992047317e-08,True,306,1.6700208710880842
80,10,7.892834896856933e-05,3.571687629692606e-12,22098334.77945053,6.601249611883623e-05,0.33663366336633666,-9.262051277749625e-08,True,306,0.7830961512579672
80,15,4.746252973301476e-05,6.512437772197868e-12,7287982.072648156,3.901354475374063e-05,0.2887788778877888,-1.0027270872511445e-08,True,306,0.8360125377650958
80,20,2.1493319854220494e-05,4.92994129492294e-12,4359751.682308107,1.711188153631941e-05,0.30033003300330036,-9.729788619589477e-09,True,306,0.8820730872711088
160,5,0.0002516822668311782,2.940833673593615e-12,85581945.38204864,0.00022397456264464213,0.41914191419141916,-2.56801801213517e-07,True,306,1.6573152246351737
160,10,0.00013673679989234728,1.8903397478316515e-12,72334510.26419653,0.0001195902257308766,0.4240924092409241,-6.772026953803318e-07,True,306,1.1663740198765777
160,15,0.00014096730329015371,2.28899798517557e-12,61584721.438425064,0.00011987950453846023,0.4207920792079208,-9.59220907155295e-07,True,306,0.9225109394996579
160,20,0.00012814219336315178,2.3021657098200403e-12,55661585.44389432,0.00010398550816229522,0.4141914191419142,-3.3141821481066217e-07,True,306,0.5761685078755253
