W,L,VG,VD,ID,gds
5,5,0.0,0.0,5.89259238649618e-14,4.47427458984496e-13
5,5,0.0,0.05,8.241243975441016e-14,4.845377086642623e-13
5,5,0.0,0.1,1.0664705409177025e-13,4.780974842612341e-13
5,5,0.0,0.15,1.2964736848101598e-13,4.373218049790825e-13
5,5,0.0,0.2,1.5004171546264598e-13,3.762483096642145e-13
5,5,0.0,0.25,1.6715363305650097e-13,3.0792596260034374e-13
5,5,0.0,0.3,1.8087089388747978e-13,2.416595820056865e-13
5,5,0.0,0.35,1.9144342418373174e-13,1.827179402444499e-13
5,5,0.0,0.4,1.99301371325959e-13,1.3323178041263535e-13
5,5,0.0,0.45,2.0492700948223746e-13,9.333624712805299e-14
5,5,0.0,0.5,2.0877974880734203e-13,6.211293279564087e-14
5,5,0.0,0.55,2.112605399441888e-13,3.82227589446909e-14
5,5,0.0,0.6,2.127009403674716e-13,2.027218180061236e-14
5,5,0.0,0.65,2.1336552636266434e-13,6.99446419380049e-15
5,5,0.0,0.7,2.134603088225954e-13,-2.680988716065891e-15
5,5,0.0,0.75,2.1314293751612408e-13,-9.61960740635564e-15
5,5,0.0,0.8,2.125325498766604e-13,-1.4500902384810363e-14
5,5,0.0,0.85,2.1171834856259404e-13,-1.7847935339138624e-14
5,5,0.0,0.9,2.10766654622139e-13,-2.0057804044164084e-14
5,5,0.0,0.95,2.0972650388857407e-13,-2.1429024115502485e-14
5,5,0.0,1.0,2.086339844215171e-13,-2.21844155944284e-14
5,5,0.0,1.05,2.0751554479374773e-13,-2.2489436894099097e-14
5,5,0.0,1.1,2.0639048938007515e-13,-2.2466479094147473e-14
5,5,0.0,1.15,2.0527284561600599e-13,-2.220581067428352e-14
5,5,0.0,1.2,2.0417275342195166e-13,-2.1773853838532995e-14
5,5,0.0,1.25,2.0309749488337136e-13,-2.1219388607496756e-14
5,5,0.0,1.3,2.0205225509986902e-13,-2.057817482553099e-14
5,5,0.0,1.35,2.0104068320184e-13,-1.9876380342660207e-14
5,5,0.0,1.4,2.0006530538523047e-13,-1.9133115694398182e-14
5,5,0.0,1.45,1.991278286580676e-13,-1.8362303918457738e-14
5,5,0.0,1.5,1.982293640312053e-13,-1.7574057681067704e-14
5,5,0.0,1.55,1.973705904136518e-13,-1.6775692376191854e-14
5,5,0.0,1.6,1.9655187490409527e-13,-1.5972470827198097e-14
5,5,0.0,1.65,1.957733610394742e-13,-1.5168150394217566e-14
5,5,0.0,1.7,1.95035033507125e-13,-1.4365384765040528e-14
5,5,0.0,1.75,1.943367655741434e-13,-1.3566018953437226e-14
5,5,0.0,1.8,1.9367835382868647e-13,-1.2771305854019588e-14
5,5,0.0,1.85,1.9305954360758928e-13,-1.1982065195041188e-14
5,5,0.0,1.9,1.9248004758798251e-13,-1.1198800200929023e-14
5,5,0.0,1.95,1.9193955936185209e-13,-1.0421783208850633e-14
5,5,0.0,2.0,1.9143776332884536e-13,-9.651118494409796e-15
5,5,0.0,2.05,1.9097434188758904e-13,-8.886788366030589e-15
5,5,0.0,2.1,1.905489806451696e-13,-8.128686975731116e-15
5,5,0.0,2.15,1.90161372173134e-13,-7.376645110891835e-15
5,5,0.0,2.2,1.89811218697975e-13,-6.630448363365641e-15
5,5,0.0,2.25,1.894982340110051e-13,-5.8898504350566276e-15
5,5,0.0,2.3,1.8922214480682264e-13,-5.154582871539845e-15
5,5,0.0,2.35,1.889826916040628e-13,-4.424362172062119e-15
5,5,0.0,2.4,1.887796293613007e-13,-3.6988949723947596e-15
5,5,0.0,2.45,1.8861272787101266e-13,-2.9778818121063697e-15
5,5,0.0,2.5,1.884817719925093e-13,-2.2610198620499456e-15
5,5,0.0,2.55,1.8838656176856365e-13,-1.5480048881945565e-15
5,5,0.0,2.6,1.8832691245858566e-13,-8.385326547179494e-16
5,5,0.0,2.65,1.8830265451246773e-13,-1.3229991548899906e-16
5,5,0.0,2.7,1.8831363350278604e-13,5.709948964081628e-16
5,5,0.0,2.75,1.8835971002834993e-13,1.27165120052004e-15
5,5,0.0,2.8,1.884407595986161e-13,1.9699659629574718e-15
5,5,0.0,2.85,1.8855667250589736e-13,2.6662335088354075e-15
5,5,0.0,2.9,1.8870735369048712e-13,3.360745421160591e-15
5,5,0.0,2.95,1.8889272260237469e-13,4.053790502581566e-15
5,5,0.0,3.0,1.891127130622449e-13,4.745654782675834e-15
5,5,0.0,3.05,1.8936727312371269e-13,5.436621557989883e-15
5,5,0.0,3.1,1.896563649381856e-13,6.126971455481887e-15
5,5,0.0,3.15,1.8997996462330639e-13,6.816982512443881e-15
5,5,0.0,3.2,1.903380621357355e-13,7.506930267860264e-15
5,5,0.0,3.25,1.9073066114867124e-13,8.197087861453705e-15
5,5,0.0,3.3,1.91157778934474e-13,8.88772613770533e-15
5,5,0.0,3.35,1.9161944625257764e-13,9.579113752834329e-15
5,5,0.0,3.4,1.9211570724277535e-13,1.0271517283283797e-14
5,5,0.0,3.45,1.9264661932395473e-13,1.0965201334621902e-14
5,5,0.0,3.5,1.9321225309828112e-13,1.1660428650107965e-14
5,5,0.0,3.55,1.938126922607616e-13,1.2357460218324138e-14
5,5,0.0,3.6,1.944480335141864e-13,1.3056555379503253e-14
5,5,0.0,3.65,1.9511838648933701e-13,1.3757971930230138e-14
5,5,0.0,3.7,1.9582387367037803e-13,1.446196622633271e-14
5,5,0.0,3.75,1.9656463032534957e-13,1.51687932838061e-14
5,5,0.0,3.8,1.9734080444166704e-13,1.587870687768856e-14
5,5,0.0,3.85,1.9815255666648847e-13,1.6591959638810558e-14
5,5,0.0,3.9,1.99000060251887e-13,1.7308803148392567e-14
5,5,0.0,3.95,1.9988350100468482e-13,1.802948803046351e-14
5,5,0.0,4.0,2.008030772408582e-13,1.8754264042097466e-14
5,5,0.0,4.05,2.0175899974440742e-13,1.9483380161468505e-14
5,5,0.0,4.1,2.0275149173055945e-13,2.0217084673735418e-14
5,5,0.0,4.15,2.037807888132214e-13,2.0955625254766187e-14
5,5,0.0,4.2,2.0484713897656707e-13,2.1699249052729654e-14
5,5,0.0,4.25,2.059508025506477e-13,2.2448202767553176e-14
5,5,0.0,4.3,2.0709205219091758e-13,2.3202732728295647e-14
5,5,0.0,4.35,2.0827117286159062e-13,2.3963084968429123e-14
5,5,0.0,4.4,2.094884618226866e-13,2.4729505299067923e-14
5,5,0.0,4.45,2.1074422862071682e-13,2.5502239380164464e-14
5,5,0.0,4.5,2.120387950828521e-13,2.6281532789687573e-14
5,5,0.0,4.55,2.1337249531451777e-13,2.7067631090807845e-14
5,5,0.0,4.6,2.1474567570028957e-13,2.7860779897114008e-14
5,5,0.0,4.65,2.1615869490800645e-13,2.8661224935872545e-14
5,5,0.0,4.7,2.1761192389599115e-13,2.946921210935834e-14
5,5,0.0,4.75,2.1910574592330286e-13,3.028498755426758e-14
5,5,0.0,4.8,2.2064055656289427e-13,3.1108797699233686e-14
5,5,0.0,4.85,2.2221676371760745e-13,3.194088932046842e-14
5,5,0.0,4.9,2.238347876389187e-13,3.278150959553477e-14
5,5,0.0,4.95,2.2549506094829323e-13,3.363090615527484e-14
5,5,0.0,5.0,2.271980286611213e-13,3.4489327133901983e-14
5,5,1.0,0.0,1.0962630620939132e-13,1.0721705196514705e-12
5,5,1.0,0.05,1.695462121102132e-13,1.3076051189068114e-12
5,5,1.0,0.1,2.383284036555423e-13,1.4211294885371752e-12
5,5,1.0,0.15,3.094362289786141e-13,1.402561582632108e-12
5,5,1.0,0.2,3.7681933082198676e-13,1.2785915824909151e-12
5,5,1.0,0.25,4.362506505636725e-13,1.0918162629131825e-12
5,5,1.0,0.3,4.856314992668289e-13,8.824637786142359e-13
5,5,1.0,0.35,5.246095625905755e-13,6.794324571930294e-13
5,5,1.0,0.4,5.53959006243318e-13,4.991281444422853e-13
5,5,1.0,0.45,5.750148306421993e-13,3.4816608391057316e-13
5,5,1.0,0.5,5.892726695950865e-13,2.2692187078745376e-13
5,5,1.0,0.55,5.981544640778865e-13,1.324845292155739e-13
5,5,1.0,0.6,6.028977831110532e-13,6.064406180452486e-14
5,5,1.0,0.65,6.045225417098318e-13,7.0389919512071805e-15
5,5,1.0,0.7,6.038394344282315e-13,-3.227941703554938e-14
5,5,1.0,0.75,6.014769451453341e-13,-6.063519959629283e-14
5,5,1.0,0.8,5.979136971870315e-13,-8.070445714388911e-14
5,5,1.0,0.85,5.935094631598592e-13,-9.457960314468021e-14
5,5,1.0,0.9,5.885320262003728e-13,-1.0386438363344183e-13
5,5,1.0,0.95,5.831791596260861e-13,-1.0977096659966231e-13
5,5,1.0,1.0,5.775959855743548e-13,-1.1320647435855001e-13
5,5,1.0,1.05,5.718883672495483e-13,-1.1484486677886826e-13
5,5,1.0,1.1,5.661330773128056e-13,-1.151842140807071e-13
5,5,1.0,1.15,5.603854327608882e-13,-1.1459112569243152e-13
5,5,1.0,1.2,5.546849823149738e-13,-1.1333460423659913e-13
5,5,1.0,1.25,5.490597191055039e-13,-1.1161152548205768e-13
5,5,1.0,1.3,5.435291882718015e-13,-1.0956565036597647e-13
5,5,1.0,1.35,5.38106772543541e-13,-1.0730172400229047e-13
5,5,1.0,1.4,5.328013695722526e-13,-1.0489588541795913e-13
5,5,1.0,1.45,5.276186208838796e-13,-1.0240332917300157e-13
5,5,1.0,1.5,5.225618111974274e-13,-9.98639315857443e-14
5,5,1.0,1.55,5.176325258780657e-13,-9.730637557570994e-14
5,5,1.0,1.6,5.128311311710847e-13,-9.475117125903804e-14
5,5,1.0,1.65,5.081571247135221e-13,-9.221286607746164e-14
5,5,1.0,1.7,5.036093911578007e-13,-8.970166096585798e-14
5,5,1.0,1.75,4.991863884227406e-13,-8.722459168337236e-14
5,5,1.0,1.8,4.948862832447851e-13,-8.478639203509293e-14
5,5,1.0,1.85,4.907070496862643e-13,-8.239012449280663e-14
5,5,1.0,1.9,4.866465405849235e-13,-8.00376407940268e-14
5,5,1.0,1.95,4.827025392419615e-13,-7.77299182874098e-14
5,5,1.0,2.0,4.788727966811828e-13,-7.54673054827921e-14
5,5,1.0,2.05,4.751550583758244e-13,-7.324970125811743e-14
5,5,1.0,2.1,4.715470832902114e-13,-7.107668559086617e-14
5,5,1.0,2.15,4.680466573165677e-13,-6.894761486896751e-14
5,5,1.0,2.2,4.646516026270913e-13,-6.686169131974858e-14
5,5,1.0,2.25,4.613597840521229e-13,-6.4818013526474e-14
5,5,1.0,2.3,4.581691132959777e-13,-6.281561312519064e-14
5,5,1.0,2.35,4.550775515835571e-13,-6.0853481403565e-14
5,5,1.0,2.4,4.5208311117115813e-13,-5.89305885217695e-14
5,5,1.0,2.45,4.491838560379542e-13,-5.704589734355602e-14
5,5,1.0,2.5,4.46377901989526e-13,-5.5198373330964545e-14
5,5,1.0,2.55,4.436634163422551e-13,-5.338699156529108e-14
5,5,1.0,2.6,4.410386173118409e-13,-5.1610741671274605e-14
5,5,1.0,2.65,4.3850177319582464e-13,-4.986863121268263e-14
5,5,1.0,2.7,4.3605120141564745e-13,-4.815968797484097e-14
5,5,1.0,2.75,4.336852674658939e-13,-4.648296143797821e-14
