W,L,VD,VG,ID,gm
5,5,0.1,-5.0,3.513034670416473e-12,-2.9173587234195245e-12
5,5,0.1,-4.95,3.3715984964756587e-12,-2.741670931783954e-12
5,5,0.1,-4.9,3.238713908498529e-12,-2.5752041217544665e-12
5,5,0.1,-4.85,3.1139333204173388e-12,-2.4174239641643434e-12
5,5,0.1,-4.8,2.996835243266879e-12,-2.2678207184870823e-12
5,5,0.1,-4.75,2.88702308326291e-12,-2.125908139032014e-12
5,5,0.1,-4.7,2.7841239935675947e-12,-1.991222421499521e-12
5,5,0.1,-4.65,2.687787777685299e-12,-1.863321191526434e-12
5,5,0.1,-4.6,2.5976858423397223e-12,-1.7417825372580233e-12
5,5,0.1,-4.55,2.513510197570532e-12,-1.6262040884617348e-12
5,5,0.1,-4.5,2.434972501647898e-12,-1.516202145256513e-12
5,5,0.1,-4.45,2.3618031482342385e-12,-1.4114108601828361e-12
5,5,0.1,-4.4,2.2937503930171854e-12,-1.3114814780915496e-12
5,5,0.1,-4.35,2.230579516793353e-12,-1.2160816391967768e-12
5,5,0.1,-4.3,2.1720720216905065e-12,-1.1248947516300345e-12
5,5,0.1,-4.25,2.1180248568716893e-12,-1.0376194409586516e-12
5,5,0.1,-4.2,2.0682496696599583e-12,-9.539690854004012e-13
5,5,0.1,-4.15,2.0225720775520646e-12,-8.736714468828653e-13
5,5,0.1,-4.1,1.980830956042177e-12,-7.964684096591119e-13
5,5,0.1,-4.05,1.942877736550414e-12,-7.221158398963918e-13
5,5,0.1,-4.0,1.9085757080336398e-12,-6.503835814810475e-13
5,5,0.1,-3.95,1.877799315047548e-12,-5.81055605204195e-13
5,5,0.1,-3.9,1.8504334441200325e-12,-5.139303304558919e-13
5,5,0.1,-3.85,1.8263726892927273e-12,-4.488211404919941e-13
5,5,0.1,-3.8,1.8055205865864183e-12,-3.855571141416209e-13
5,5,0.1,-3.75,1.787788805964818e-12,-3.2398399835545017e-13
5,5,0.1,-3.7,1.773096288120451e-12,-2.6396544706671307e-13
5,5,0.1,-3.65,1.7613683121208973e-12,-2.053845522034867e-13
5,5,0.1,-3.6,1.7525354786730048e-12,-1.4814569204036484e-13
5,5,0.1,-3.55,1.7465325925473486e-12,-9.217672002004169e-14
5,5,0.1,-3.5,1.743297426639108e-12,-3.7431513234285615e-14
5,5,0.1,-3.45,1.7427693493295258e-12,1.6107106640772854e-14
5,5,0.1,-3.4,1.7448877963963323e-12,6.84240766729441e-14
5,5,0.1,-3.35,1.7495905688738543e-12,1.1946843036863494e-13
5,5,0.1,-3.3,1.7568119391995183e-12,1.6914929791848237e-13
5,5,0.1,-3.25,1.7664805499587186e-12,2.1733162081848661e-13
5,5,0.1,-3.2,1.7785170928539196e-12,2.638316627332258e-13
5,5,0.1,-3.15,1.7928317605156716e-12,3.084124356503675e-13
5,5,0.1,-3.1,1.8093214708143537e-12,3.507792052187989e-13
5,5,0.1,-3.05,1.827866872809844e-12,3.905752918048589e-13
5,5,0.1,-3.0,1.8483291557741762e-12,4.273784438007596e-13
5,5,0.1,-2.95,1.8705466981804313e-12,4.606981258107304e-13
5,5,0.1,-2.9,1.8943316124178702e-12,4.89974134151637e-13
5,5,0.1,-2.85,1.919466263370324e-12,5.145770218634301e-13
5,5,0.1,-2.8,1.945699864746775e-12,5.338108796639108e-13
5,5,0.1,-2.75,1.972745285730155e-12,5.469190706133797e-13
5,5,0.1,-2.7,2.0002762312390638e-12,5.53093545249814e-13
5,5,0.1,-2.65,2.027924990483336e-12,5.514883592359817e-13
5,5,0.1,-2.6,2.0552809785350257e-12,5.41237964180518e-13
5,5,0.1,-2.55,2.0818903216553977e-12,5.214807305269979e-13
5,5,0.1,-2.5,2.1072567557603765e-12,4.913879760087258e-13
5,5,0.1,-2.45,2.1308441147031905e-12,4.501985032207224e-13
5,5,0.1,-2.4,2.1520806765943384e-12,3.9725828912619047e-13
5,5,0.1,-2.35,2.1703656076214976e-12,3.320645190481181e-13
5,5,0.1,-2.3,2.185077689540742e-12,2.543126296464802e-13
5,5,0.1,-2.25,2.1955864358636916e-12,1.6394444457912164e-13
5,5,0.1,-2.2,2.2012655910658834e-12,6.119489330841471e-14
5,5,0.1,-2.15,2.2015088676072996e-12,-5.336574603068846e-14
5,5,0.1,-2.1,2.1957476110744064e-12,-1.787975744406825e-13
5,5,0.1,-2.05,2.183469901985792e-12,-3.1376850739235317e-13
5,5,0.1,-2.0,2.164240415470707e-12,-4.565471218581444e-13
5,5,0.1,-1.95,2.1377201827320247e-12,-6.050142400863337e-13
5,5,0.1,-1.9,2.1036852496081373e-12,-7.566958006993212e-13
5,5,0.1,-1.85,2.0620431279008345e-12,-9.088183860706557e-13
5,5,0.1,-1.8,2.012845904082082e-12,-1.058387223632248e-12
5,5,0.1,-1.75,1.956298923897562e-12,-1.2022846524310255e-12
5,5,0.1,-1.7,1.892764120424929e-12,-1.3373850969508323e-12
5,5,0.1,-1.65,1.822757298635875e-12,-1.4606807179288164e-12
5,5,0.1,-1.6,1.7469390219649922e-12,-1.569410342486311e-12
5,5,0.1,-1.55,1.6660991448276819e-12,-1.6611832397543085e-12
5,5,0.1,-1.5,1.5811354679134545e-12,-1.7340889931712474e-12
5,5,0.1,-1.45,1.493027421031446e-12,-1.7867852450699014e-12
5,5,0.1,-1.4,1.4028060584083393e-12,-1.818556471612355e-12
5,5,0.1,-1.35,1.3115219426434662e-12,-1.8293390907735954e-12
5,5,0.1,-1.3,1.2202126626392986e-12,-1.8197109064382164e-12
5,5,0.1,-1.25,1.1298717570122765e-12,-1.7908458540602902e-12
5,5,0.1,-1.2,1.0414206930662308e-12,-1.744437897299283e-12
5,5,0.1,-1.15,9.556852948368913e-13,-1.682600394213101e-12
5,5,0.1,-1.1,8.73377650076719e-13,-1.6077490254105325e-12
5,5,0.1,-1.05,7.950840951426058e-13,-1.5224772729500185e-12
5,5,0.1,-1.0,7.212594244457285e-13,-1.4294333993406254e-12
5,5,0.1,-0.95,6.52227043005439e-13,-1.3312069693714324e-12
5,5,0.1,-0.9,5.88184416035848e-13,-1.2302313608155855e-12
5,5,0.1,-0.85,5.292128968479558e-13,-1.1287066735953565e-12
5,5,0.1,-0.8,4.752908487078553e-13,-1.0285452497653256e-12
5,5,0.1,-0.75,4.2630891895480784e-13,-9.313399222580171e-13
5,5,0.1,-0.7,3.8208636393244207e-13,-8.383533309914276e-13
5,5,0.1,-0.65,3.423874415692216e-13,-7.505253193139891e-13
5,5,0.1,-0.6,3.06937060289684e-13,-6.684946100999825e-13
5,5,0.1,-0.55,2.7543507284865905e-13,-5.926306440205756e-13
5,5,0.1,-0.5,2.475688084063525e-13,-5.230715712410004e-13
5,5,0.1,-0.45,2.230236269743482e-13,-4.597648163524911e-13
5,5,0.1,-0.4,2.0149144420915497e-13,-4.025072667629678e-13
5,5,0.1,-0.35,1.8267730417166915e-13,-3.509828551892932e-13
5,5,0.1,-0.3,1.6630417102966452e-13,-3.047960242981851e-13
5,5,0.1,-0.25,1.5211616970963114e-13,-2.6350020828490506e-13
5,5,0.1,-0.2,1.3988053487351325e-13,-2.2662100107321345e-13
5,5,0.1,-0.15,1.2938853342637886e-13,-1.936740862483343e-13
5,5,0.1,-0.1,1.2045561457143172e-13,-1.6417828055000778e-13
5,5,0.1,-0.05,1.1292101936563057e-13,-1.3766420389232088e-13
5,5,0.1,-0.0,1.0664705409177025e-13,-1.1367915431622684e-13
5,5,0.1,0.05,1.0151820278738599e-13,-9.178875801189465e-14
5,5,0.1,0.1,9.744022711282371e-14,-7.157590335446828e-14
5,5,0.1,0.15,9.433937859217368e-14,-5.2637371296746555e-14
5,5,0.1,0.2,9.216183054174813e-14,-3.457845570879248e-14
5,5,0.1,0.25,9.087342558173655e-14,-1.7005735101433278e-14
5,5,0.1,0.3,9.045983004835614e-14,4.819838882879415e-16
5,5,0.1,0.35,9.092718929932575e-14,1.8304680140353783e-14
5,5,0.1,0.4,9.230338829766408e-14,3.6914377796544226e-14
5,5,0.1,0.45,9.46400406342959e-14,5.6811117471307075e-14
5,5,0.1,0.5,9.801535731708594e-14,7.856230513976248e-14
5,5,0.1,0.55,1.0253808569308756e-13,1.0282634096523004e-13
5,5,0.1,0.6,1.0835276086822273e-13,1.3038171510536218e-13
5,5,0.1,0.65,1.1564657978280022e-13,1.6216310769599223e-13
5,5,0.1,0.7,1.2465829545346717e-13,1.9930646610924914e-13
5,5,0.1,0.75,1.3568964068865004e-13,2.4320557899362416e-13
5,5,0.1,0.8,1.491199330783915e-13,2.9558335359691467e-13
5,5,0.1,0.85,1.6542469416031493e-13,3.585818667846724e-13
5,5,0.1,0.9,1.8519934527504686e-13,4.3487634462415565e-13
5,5,0.1,0.95,2.0918933303568231e-13,5.27819582317098e-13
5,5,0.1,1.0,2.383284036555423e-13,6.41625006656982e-13
5,5,0.1,1.05,2.737872060062154e-13,7.815986776899252e-13
5,5,0.1,1.1,3.1703498038419687e-13,9.544331050164307e-13
5,5,0.1,1.15,3.699178099463896e-13,1.1685789058172075e-12
5,5,0.1,1.2,4.347578056269193e-13,1.4347141509470816e-12
5,5,0.1,1.25,5.144786988677085e-13,1.7663358288108331e-12
5,5,0.1,1.3,6.127646702123626e-13,2.18050329555236e-12
5,5,0.1,1.35,7.342608904875721e-13,2.6987699502383433e-12
5,5,0.1,1.4,8.848262428044459e-13,3.348346721132651e-12
5,5,0.1,1.45,1.071851076983816e-12,4.16354927031739e-12
5,5,0.1,1.5,1.3046556703479443e-12,5.1875900406381105e-12
5,5,0.1,1.55,1.5949883708174076e-12,6.474786197137226e-12
5,5,0.1,1.6,1.957646207979002e-12,8.09326482759023e-12
5,5,0.1,1.65,2.411245082517153e-12,1.0128256951064856e-11
5,5,0.1,1.7,2.979171460206902e-12,1.2686081196977109e-11
5,5,0.1,1.75,3.690752735819815e-12,1.589892544288438e-11
5,5,0.1,1.8,4.582688968529036e-12,1.9930538907515337e-11
5,5,0.1,1.85,5.700794322592043e-12,2.498294651898093e-11
5,5,0.1,1.9,7.1021019821967736e-12,3.130428980938518e-11
5,5,0.1,1.95,8.857391146027503e-12,3.919788180964198e-11
5,5,0.1,2.0,1.105419842190224e-11,4.903253488242316e-11
5,5,0.1,2.05,1.380037788063049e-11,6.12541774862332e-11
5,5,0.1,2.1,1.7228273405840095e-11,7.63987159565388e-11
5,5,0.1,2.15,2.149956288799455e-11,9.510601833473573e-11
5,5,0.1,2.2,2.6810825258015182e-11,1.181347975927138e-10
