W,L,Ion_A,Ioff_A,on_off_ratio,max_gm_S,gds_negative_fraction,worst_gds_S,has_measured_data,n_meas_points,rmse_log10ID_vs_meas
5,5,1.667970176591762e-05,2.1639499619801043e-12,7707988.65915319,9.302527701170862e-06,0.033003300330033,-1.1036089783352157e-10,True,306,0.34915260205761106
10,5,2.151120072052933e-05,2.4159848998074975e-12,8903698.3311623,1.2072626430994189e-05,0.033003300330033,-1.1007196800616296e-10,True,306,0.27563503722538113
10,10,1.4985298825205291e-05,4.677205973823158e-12,3203899.701888962,8.173709507125167e-06,0.037953795379537955,-6.522298811722473e-12,True,306,0.257867229378903
20,5,3.5723475851750354e-05,2.848961227560666e-12,12539123.20959786,2.0174970846419218e-05,0.03135313531353135,-1.0860494494461436e-10,True,306,0.2084306930873337
20,10,2.226699921640307e-05,4.004930751021535e-12,5559896.1881484315,1.2730292591382206e-05,0.0429042904290429,-6.2593638496119076e-12,True,306,0.4833348464392936
20,15,1.761411992476001e-05,3.0795655942164766e-12,5719676.813457033,1.2165490612162978e-05,0.009900990099009901,-1.3737138008395553e-08,True,306,0.26238655548349904
20,20,1.3069547854591914e-05,3.344568292062001e-12,3907693.523738529,8.192204286264519e-06,0.04950495049504951,-2.138297280122234e-07,True,306,0.3066467675381691
40,5,9.468374760877132e-05,3.0316368812451664e-12,31231889.344835527,5.325805938130499e-05,0.0231023102310231,-9.320986893700441e-11,True,306,0.3065844062883379
40,10,4.34899657844979e-05,2.5042273745278328e-12,17366620.230600204,2.796817901767988e-05,0.037953795379537955,-3.4619789624047175e-12,True,306,0.40248414281425426
40,15,1.9248954466304606e-05,2.849762777115492e-12,6754581.335990447,1.4090320470438593e-05,0.0,1.2065742387438244e-12,True,306,0.7075481919434106
40,20,1.9469049849488032e-05,3.736647498769624e-12,5210298.765376895,1.1943841139360414e-05,0.04785478547854786,-2.9229614311172484e-07,True,306,0.38717523937833775
80,5,0.0003642504174970024,1.5696364349219718e-12,232060373.59543687,0.00021542818128987844,0.0,4.5011030248861896e-11,True,306,0.46931448320055713
80,10,7.381357469848244e-05,1.6653039501893828e-12,44324385.76158314,5.458639196308584e-05,0.0033003300330033004,-2.5229676116667704e-13,True,306,0.9046109463503815
80,15,3.383533648724083e-05,2.6924679862235902e-12,12566662.504573619,2.3270937381316437e-05,0.0,6.667229065490182e-13,True,306,0.737441341367508
80,20,5.158308701341525e-05,3.976283423437686e-12,12972688.694514442,3.234772965192452e-05,0.04785478547854786,-2.503624394049002e-07,True,306,0.5591988635393244
160,5,0.00024143131280524466,2.4477766852807875e-12,98632899.91159867,0.00011874651462403913,0.0,2.068579313345833e-10,True,306,0.3425478859222979
160,10,0.00022847498360868525,3.2663858394324775e-12,69947334.7118055,0.00015680408528683312,0.0033003300330033004,-1.5453158109324677e-11,True,306,0.28110760791965406
160,15,0.00013937236273008606,3.1714243091742875e-12,43946299.56228502,0.000108159605150196,0.009900990099009901,-1.304932516306996e-11,True,306,0.3956194667821196
160,20,9.764698681571807e-05,3.955970123959742e-12,24683449.003901467,6.378588289926824e-05,0.034653465346534656,-2.0363132269021197e-11,True,306,0.23336347506962082
