W,L,VG,VD,ID,gds
5,5,0.0,0.0,3.942327402674177e-11,2.260473100858317e-09
5,5,0.0,0.05,3.806167888673498e-10,1.2483400031310067e-08
5,5,0.0,0.1,1.1790075959423678e-09,1.68877535047648e-08
5,5,0.0,0.15,1.8859047672481974e-09,1.0809351491909572e-08
5,5,0.0,0.2,2.2799614674503868e-09,5.476000891800726e-09
5,5,0.0,0.25,2.4815927262451975e-09,2.9563433873825645e-09
5,5,0.0,0.3,2.600767099188234e-09,1.9703038290800693e-09
5,5,0.0,0.35,2.688782889699564e-09,1.6111416650015391e-09
5,5,0.0,0.4,2.7656496340297126e-09,1.4855461740234243e-09
5,5,0.0,0.45,2.838680094886336e-09,1.4433479753595113e-09
5,5,0.0,0.5,2.910440205884565e-09,1.429536411332654e-09
5,5,0.0,0.55,2.9817695617501755e-09,1.4242501683942289e-09
5,5,0.0,0.6,3.0528863309509903e-09,1.42036572961656e-09
5,5,0.0,0.65,3.123786469421287e-09,1.4153502198034836e-09
5,5,0.0,0.7,3.1943875998482862e-09,1.408327349630226e-09
5,5,0.0,0.75,3.264581087276057e-09,1.399024145454442e-09
5,5,0.0,0.8,3.334251170052696e-09,1.3873929637833025e-09
5,5,0.0,0.85,3.403282257441277e-09,1.3734754296311397e-09
5,5,0.0,0.9,3.471561952148804e-09,1.3573529100492042e-09
5,5,0.0,0.95,3.538982499407886e-09,1.3391278845150706e-09
5,5,0.0,1.0,3.605441626239774e-09,1.3189163181782323e-09
5,5,0.0,1.05,3.6708431136180327e-09,1.2968439414302534e-09
5,5,0.0,1.1,3.7350972231598325e-09,1.2730439174552771e-09
5,5,0.0,1.15,3.798121021853059e-09,1.247655015269481e-09
5,5,0.0,1.2,3.8598386212444864e-09,1.2208199887517632e-09
5,5,0.0,1.25,3.920181338583383e-09,1.1926840685039535e-09
5,5,0.0,1.3,3.979087784860201e-09,1.1633935449748583e-09
5,5,0.0,1.35,4.036503884301376e-09,1.1330944446874038e-09
5,5,0.0,1.4,4.092382830167808e-09,1.1019313076121564e-09
5,5,0.0,1.45,4.146684982124544e-09,1.070046073861794e-09
5,5,0.0,1.5,4.199377710812823e-09,1.0375770859611175e-09
5,5,0.0,1.55,4.250435195509506e-09,1.0046582104544237e-09
5,5,0.0,1.6,4.299838180880838e-09,9.714180801019679e-10
