W,L,VD,VG,ID,gm
5,5,0.1,-5.0,1.220107105228854e-12,-1.0655052725952503e-12
5,5,0.1,-4.95,1.168521974021178e-12,-9.981055183703464e-13
5,5,0.1,-4.9,1.1202746124177756e-12,-9.320210130992997e-13
5,5,0.1,-4.85,1.0752955779043246e-12,-8.673930395988956e-13
5,5,0.1,-4.8,1.03350923758093e-12,-8.043282279776729e-13
5,5,0.1,-4.75,9.948354530494924e-13,-7.429005261374563e-13
5,5,0.1,-4.7,9.591911581450794e-13,-6.831535065705352e-13
5,5,0.1,-4.65,9.264918139870642e-13,-6.251029589203188e-13
5,5,0.1,-4.6,8.966527281708704e-13,-5.687397253767083e-13
5,5,0.1,-4.55,8.695902268384655e-13,-5.140327454241323e-13
5,5,0.1,-4.5,8.452226697725708e-13,-4.609322873367309e-13
5,5,0.1,-4.45,8.234712994974813e-13,-4.093733556419562e-13
5,5,0.1,-4.4,8.042609156029053e-13,-3.5927927598573105e-13
5,5,0.1,-4.35,7.875203651349675e-13,-3.1056547076360254e-13
5,5,0.1,-4.3,7.731828389522136e-13,-2.6314344973058565e-13
5,5,0.1,-4.25,7.611859625036989e-13,-2.1692504859693009e-13
5,5,0.1,-4.2,7.514716676801677e-13,-1.7182695417631323e-13
5,5,0.1,-4.15,7.439858304159834e-13,-1.277755555527454e-13
5,5,0.1,-4.1,7.386776568520404e-13,-8.471215528421393e-14
5,5,0.1,-4.05,7.3549879947359e-13,-4.259856092196446e-14
5,5,0.1,-4.0,7.344021841790118e-13,-1.4230529560946074e-15
5,5,0.1,-3.95,7.353405302930518e-13,3.8793311501944275e-14
5,5,0.1,-3.9,7.38264548794246e-13,7.799015145680369e-14
5,5,0.1,-3.85,7.431208102559259e-13,1.1606113099001145e-13
5,5,0.1,-3.8,7.498492840295071e-13,1.5284748855909569e-13
5,5,0.1,-3.75,7.583805648403871e-13,1.8813207053945605e-13
5,5,0.1,-3.7,7.686328229147931e-13,2.216343245513011e-13
5,5,0.1,-3.65,7.805085394469822e-13,2.5300682471315925e-13
5,5,0.1,-3.6,7.938911206433354e-13,2.8183401164139765e-13
5,5,0.1,-3.55,8.086415200826547e-13,3.076339194339869e-13
5,5,0.1,-3.5,8.245950391721347e-13,3.2986371031693106e-13
5,5,0.1,-3.45,8.415585164375674e-13,3.479298219010406e-13
5,5,0.1,-3.4,8.593081544408624e-13,3.612034274586099e-13
5,5,0.1,-3.35,8.775882632418319e-13,3.690416935478562e-13
5,5,0.1,-3.3,8.961112154943846e-13,3.708149754967085e-13
5,5,0.1,-3.25,9.145589039392145e-13,3.6593961567716664e-13
5,5,0.1,-3.2,9.325859609000538e-13,3.5391541612666237e-13
5,5,0.1,-3.15,9.498249363377352e-13,3.343661827462577e-13
5,5,0.1,-3.1,9.658935334645942e-13,3.070810451315292e-13
5,5,0.1,-3.05,9.804038699829934e-13,2.720536297370725e-13
