W,L,has_data,gds_negative_fraction,worst_gds_S,n_meas_points,rmse_log10ID,mae_log10ID
5,5,True,0.0,4.3484024873007903e-10,306,0.1452277575929214,0.1034001105833575
10,5,True,0.0,6.324496992401665e-10,306,0.11451526238302549,0.05801987188571865
20,5,True,0.0,9.31339401720022e-10,306,0.1842032121306283,0.09525170692174406
40,5,True,0.0,1.0272878132735049e-09,306,0.107147774386618,0.07487382801046362
80,5,True,0.0,1.1761542337374575e-09,306,0.07166602729228214,0.04675849273778621
160,5,True,0.0725,-8.043215213601725e-10,306,0.09459485653435201,0.06413894425473642
10,10,True,0.0,3.3657130939142715e-11,306,0.1951975087653468,0.15337874920253292
20,10,True,0.0,6.191318475806194e-11,306,0.171306747506541,0.11531516961989656
40,10,True,0.0,1.9165987693958354e-12,306,0.06078791729912524,0.028517459319243463
80,10,True,0.0,3.531932482843021e-14,306,0.22429352251159956,0.1242082756366006
160,10,True,0.0,1.2521461899875218e-10,306,0.13079207908833707,0.06438338741977592
20,15,True,0.0,2.7640896986402355e-12,306,0.14514878620735644,0.12442970459100898
40,15,True,0.0,6.182612809326546e-14,306,0.2591477027638404,0.1954166204198327
80,15,True,0.0,5.6345463234068735e-14,306,0.21638092589279526,0.12011977290138769
160,15,True,0.0,6.908368005946869e-11,306,0.12175706214528242,0.0693082432808512
20,20,True,0.0,2.299058726271551e-15,306,0.09479755138561671,0.07237415357134655
40,20,True,0.02,-1.4092742038176446e-12,306,0.09391928339752326,0.06884735738810582
80,20,True,0.0,1.413477330338567e-13,306,0.1187650019517669,0.09367018434698952
160,20,True,0.0,3.3426285690350724e-12,306,0.09233007096611315,0.06751777150323
